code,name,source
AUSRECM,OECD based Recession Indicators for Australia from the Peak through the Trough,https://fred.stlouisfed.org/series/AUSRECM
CHNRECM,OECD based Recession Indicators for China from the Peak through the Trough ,https://fred.stlouisfed.org/series/CHNRECM
CSUSHPINSA,S&P/Case-Shiller U.S. National Home Price Index,https://fred.stlouisfed.org/series/CSUSHPINSA
DEUREC,OECD based Recession Indicators for Germany from the Period following the Peak through the Trough,https://fred.stlouisfed.org/series/DEUREC
EUROREC, OECD based Recession Indicators for Euro Area from the Period following the Peak through the Trough (EUROREC),https://fred.stlouisfed.org/series/EUROREC
GBRRECM, OECD based Recession Indicators for the United Kingdom from the Peak through the Trough (GBRRECM),https://fred.stlouisfed.org/series/GBRRECM
JPNRECP, OECD based Recession Indicators for Japan from the Peak through the Period preceding the Trough (JPNRECP),https://fred.stlouisfed.org/series/JPNRECP
LXXRNSA, S&P/Case-Shiller CA-Los Angeles Home Price Index (LXXRNSA),https://fred.stlouisfed.org/series/LXXRNSA
NYXRNSA, S&P/Case-Shiller NY-New York Home Price Index (NYXRNSA),https://fred.stlouisfed.org/series/NYXRNSA
SFTPAGRM158SFRBSF, San Francisco Tech Pulse (SFTPAGRM158SFRBSF),https://fred.stlouisfed.org/series/SFTPAGRM158SFRBSF
SFTPGR12M159SFRBSF,San Francisco Tech Pulse (SFTPGR12M159SFRBSF),
SFTPGRM157SFRBSF,San Francisco Tech Pulse (SFTPGRM157SFRBSF),https://fred.stlouisfed.org/series/SFTPGRM157SFRBSF
SFTPINDM114SFRBSF, San Francisco Tech Pulse (SFTPINDM114SFRBSF),https://fred.stlouisfed.org/series/SFTPINDM114SFRBSF
SFXRNSA,S&P/Case-Shiller CA-San Francisco Home Price Index (SFXRNSA),https://fred.stlouisfed.org/series/SFXRNSA
SPCS10RNSA, S&P/Case-Shiller 10-City Composite Home Price Index (SPCS10RNSA),https://fred.stlouisfed.org/series/SPCS10RNSA
USARECM, OECD based Recession Indicators for the United States from the Peak through the Trough (USARECM),https://fred.stlouisfed.org/series/USARECM
USPHCI, Coincident Economic Activity Index for the United States (USPHCI),https://fred.stlouisfed.org/series/USPHCI
USREC, NBER based Recession Indicators for the United States from the Period following the Peak through the Trough (USREC),https://fred.stlouisfed.org/series/USREC
USRECM, NBER based Recession Indicators for the United States from the Peak through the Trough (USRECM),https://fred.stlouisfed.org/series/USRECM
USRECP, NBER based Recession Indicators for the United States from the Peak through the Period preceding the Trough (USRECP),https://fred.stlouisfed.org/series/USRECP
IBEVERAGES,Beverages World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
IFOOD,Food World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
IFATS_OILS,Fats and Oils World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
IGRAINS,Grains World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
IOTHERFOOD,Other Food World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
IRAW_MATERIAL,Raw Materials World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
ITIMBER,Timber World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
IOTHERRAWMAT,Other Raw Materials World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
IAGRICULTURE,Agriculture World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
ALUMINUM,Aluminum World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
BANANA_US,Banana USA World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
BARLEY,Barley World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
COAL_AUS,Coal Australia World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
COAL_SAFRICA,Coal South Africa World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
COCOA,Cocoa World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
COCONUT_OIL,Coconut Oil World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
COFFEE_ARABIC,Coffee Arabic World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
COFFEE_ROBUS,Coffee Robus World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
COPPER,Copper World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
COPRA,Copra World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
COTTON_A_INDX,,http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
CRUDE_PETRO,Crude Oil Average World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
CRUDE_BRENT,Crude Brent World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
CRUDE_DUBAI,Crude Dubai World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
CRUDE_WTI,Crude WTI World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
DAP,,http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
IENERGY,Energy World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
IFERTILIZERS,,http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
FISH_MEAL,Fish Meal World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
GOLD,Gold World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
GRNUT_OIL,Groundnut Oil World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
IRON_ORE,Iron Ore World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
LEAD,Lead World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
LOGS_CMR,Logs Cameroon Bank Commodity Price Data (The Pink Sheet),
LOGS_MYS,Logs Malaysian World Bank Commodity Price Data ,
MAIZE,Maize World Bank Commodity Price Data,
BEEF,Beef World Bank Commodity Price Data,
CHICKEN,Chicken World Bank Commodity Price Data,
LAMB,Lamb World Bank Commodity Price Data,
IMETMIN,Metals and Minerals World Bank Commodity Price Data,
NGAS_JP,Liquefied Natural Gas Japan World Bank Commodity Price Data,
NGAS_EUR,Natural Gas Europe World Bank Commodity Price Data,
NGAS_US,Natural Gas USA World Bank Commodity Price Data,
NICKEL,Nickel World Bank Commodity Price Data,
INONFUEL,Non-Energy (Fuels) World Bank Commodity Price Data,
ORANGE,Oranges World Bank Commodity Price Data,
PALM_OIL,Palm Oil World Bank Commodity Price Data,
PHOSROCK,Phosporus Rock World Bank Commodity Price Data,
PLATINUM,Platinum World Bank Commodity Price Data,
PLYWOOD,Plywood World Bank Commodity Price Data,
POTASH,Potash World Bank Commodity Price Data,
RICE_A1,Rice Thai A.1 World Bank Commodity Price Data,
RICE_25,Rice Thai 25% World Bank Commodity Price Data,
RICE_05,Rice Thai 05% World Bank Commodity Price Data,
RUBBER1_MYSG,Rubber Malaysian World Bank Commodity Price Data,
