Timestamp,Food 17,restaurants 17,Vegetables ,Other ,Meat,Dairy products and eggs,Bakery,Fruit,All-items,Food purchased from stores,Fresh or frozen beef,Fresh or frozen pork,Fresh or frozen chicken,Dairy products,Eggs,Coffee,Baby foods,Shelter 18,Transportation,Gasoline,Energy 25,Fish seafood
1999-01-01,92.3,91.1,92.3,96.9,85.6,92.2,95.4,97.7,91.5,92.8,77,86.5,94.1,92.3,92.2,116.4,92.2,91.8,89.4,74.4,79.5,93.1
1999-02-01,91.8,91.3,89.9,97,85.7,92.2,95.7,92.6,91.6,92.1,77.1,89,94.6,92.2,92.1,117.2,92.8,91.8,89.2,73.2,78.9,94
1999-03-01,92,91.4,92.1,97.1,85.9,92.8,94.7,91.7,92,92.2,78.1,86.4,91.4,92.8,92.6,115.6,92.7,91.8,90.2,75.8,80,94.3
1999-04-01,92.2,91.7,90.7,97,85.1,92.7,95.3,95.4,92.5,92.4,78.1,86.1,91.2,92.8,92.2,116.1,91.6,92,91.9,82.3,83,94.7
1999-05-01,92.4,91.8,90.3,96.4,86.3,92.6,93.9,97.7,92.7,92.6,78,89.5,95,92.6,91.6,115.4,92.2,91.9,92.3,83.3,83.6,95.7
1999-06-01,92.7,91.9,94.1,97.4,86.5,92.4,93.6,96.8,92.9,93,79.3,89.6,94.5,92.7,90.1,114.7,93.8,92,92,82.1,83,95.4
1999-07-01,92.5,92,91.1,96.9,87.4,92.5,93.7,95.5,93.1,92.7,80,89.4,94.3,92.6,91.2,115,94.5,92.1,92.7,85.5,84.8,96.2
1999-08-01,91.8,92.3,82.2,97,87.4,92.3,93.3,94.2,93.3,91.6,79.2,89.9,95.5,92.5,90,114.9,94.4,92.3,94,90.8,87.8,96
1999-09-01,91.2,92.3,76.7,97.4,87.7,92.3,93.7,91,93.6,90.8,79.6,90.1,97.9,92.6,89.8,113.9,94.8,92.8,94.5,92.7,89,96.1
1999-10-01,91.4,92.7,78.2,97.2,86.8,92.4,95.2,90,93.7,90.9,79.4,89.8,93.1,92.5,91.4,113.6,94.1,92.9,94.5,93.2,90.1,96
1999-11-01,92,93,81.1,96.9,87.8,92.5,95.4,91.4,93.6,91.5,78.2,90.6,95.6,92.6,91.4,111.1,92.7,93.1,94.7,91.7,89.3,95.9
1999-12-01,92.2,93,83.6,96.2,88.1,92.4,96.4,91.5,93.7,91.9,79.2,87.8,97.4,92.5,91.4,110.1,94.2,93.4,95.5,93.9,91.3,96.4
2000-01-01,92.1,93.1,87.4,97.1,87.7,92.3,93.7,89.7,93.5,91.7,78.9,88.1,95.5,92.4,91.8,109,94.2,93.7,94.7,93.3,91.5,95.7
2000-02-01,91.9,93.2,82.7,97.6,87.9,93.2,93.4,89,94.1,91.4,80.7,87.2,92.7,93.3,91.6,110.5,94.1,94.4,95.6,96.2,94.2,95.1
2000-03-01,92.3,93.4,84.9,97.8,88.9,93.6,93.9,87.8,94.8,91.9,81.1,90,93.3,93.8,91.5,110.4,94.7,94.5,97.5,104.7,97.9,94.6
2000-04-01,92.5,93.6,86.1,97.4,89.5,93.6,94,87.9,94.5,92.1,83.4,91,94.5,93.8,91.4,108.9,96.4,94.5,96.1,98.8,94.3,94.8
2000-05-01,93.2,93.6,90.5,97.2,90.2,93.9,93.8,90.2,94.9,93,83.6,94.7,93.9,94.1,92.3,109.6,96.9,94.7,96.6,100.7,95.4,96
2000-06-01,93.8,93.9,93.3,97.8,90.9,93.8,94.2,92,95.5,93.8,84.3,96.2,93.8,94.1,91.2,109.2,95.6,95,98,107.1,99.1,96.1
2000-07-01,94.3,94,94.7,97,92.3,94.2,94.4,93.4,95.8,94.4,85.3,98.9,94.7,94.3,92.8,108.7,95.9,95.5,97.6,106.7,99.9,96.1
2000-08-01,94,94.4,89,97.1,92.6,94.2,94.4,93,95.7,93.9,85.8,97.4,95,94.3,92.7,108.8,96.3,95.7,96.7,103,98.2,96.8
2000-09-01,93.3,94.5,81.5,97.3,92.4,94.6,94.2,90.4,96.1,92.8,85.9,97.8,93.8,94.7,93.5,107.4,96.5,96.3,98.1,109.1,102.5,96.4
2000-10-01,93.1,94.6,81.4,96.8,91.9,94.3,94.7,89.7,96.3,92.5,85,96.9,97,94.4,93.2,107.3,96.7,97.2,97.8,108.3,103.8,96.3
2000-11-01,93.9,94.7,86.4,97.3,92.3,94.7,95.3,91.3,96.6,93.6,84.7,95.8,96.5,94.8,94.5,106.1,97.5,97.7,99.7,109.2,105.4,96.8
2000-12-01,95.1,94.9,97.5,96.7,92.6,94.7,96.4,94.6,96.7,95.2,86.9,98.1,96.5,94.7,94.7,106.9,97.1,98.1,98.5,104.8,103.7,97.5
2001-01-01,95.3,95.3,92.7,98.5,94.3,95.1,95.4,93.6,96.3,95.3,88.9,97.9,98.7,95.1,94.8,106,95.7,97.5,97.5,103.1,101,98.1
2001-02-01,96.1,95.5,96.3,98.7,95.4,96.5,96.1,92.9,96.8,96.3,92.4,95.6,97.8,96.6,95.2,106.4,96.9,97.3,97.8,103.8,100.2,98.9
2001-03-01,96.9,95.7,100.4,98.9,97.3,97.1,96.1,92.9,97.1,97.3,96.3,98.8,97.6,97.2,96,107.1,96.1,98.4,96.8,101.4,101.5,99.2
2001-04-01,97.2,95.9,97.7,99.2,98.1,96.9,96.2,97.2,97.8,97.7,98.4,107.1,97.8,97,96.1,106.1,96.4,98.9,98.3,106.9,105.2,98.8
2001-05-01,98,96.2,99.2,99.2,99.5,97.4,96.7,100,98.6,98.7,99.6,104.4,98.7,97.4,97,106.7,97.4,100,99.6,112.8,110.7,99.3
2001-06-01,98.2,96.7,98.5,98.9,99.9,97.7,97.1,100,98.7,98.8,99.4,103.7,98.8,97.7,97.1,106.5,99.6,100.3,98.9,108,109.3,99.5
