DATE,BAMLCC8A015PYTRIV
1973-04-01,100.35
1973-05-01,100.35
1973-06-01,100.15
1973-07-01,100.15
1973-08-01,100.15
1973-09-01,102.06
1973-10-01,102.06
1973-11-01,102.06
1973-12-01,101.41
1974-01-01,101.41
1974-02-01,101.41
1974-03-01,98.49
1974-04-01,98.49
1974-05-01,98.49
1974-06-01,92.23
1974-07-01,92.23
1974-08-01,92.23
1974-09-01,89.18
1974-10-01,89.18
1974-11-01,89.18
1974-12-01,94.64
1975-01-01,94.64
1975-02-01,94.64
1975-03-01,100.01
1975-04-01,100.01
1975-05-01,100.01
1975-06-01,103.71
1975-07-01,103.71
1975-08-01,103.71
1975-09-01,101.49
1975-10-01,101.49
1975-11-01,101.49
1975-12-01,110.44
1976-01-01,113.43
1976-02-01,114.66
1976-03-01,117.35
1976-04-01,117.02
1976-05-01,115.99
1976-06-01,117.98
1976-07-01,119.6
1976-08-01,122.54
1976-09-01,124.72
1976-10-01,125.86
1976-11-01,129.59
1976-12-01,133.17
1977-01-01,129.94
1977-02-01,129.93
1977-03-01,131.07
1977-04-01,132.67
1977-05-01,134.12
1977-06-01,136.27
1977-07-01,136.62
1977-08-01,138.84
1977-09-01,138.47
1977-10-01,137.72
1977-11-01,138.8
1977-12-01,137.51
1978-01-01,136.69
1978-02-01,136.93
1978-03-01,137.57
1978-04-01,137.41
1978-05-01,136.03
1978-06-01,136.5
1978-07-01,138.34
1978-08-01,141.35
1978-09-01,140.88
1978-10-01,137.83
1978-11-01,139.71
1978-12-01,137.1
1979-01-01,140.22
1979-02-01,138.48
1979-03-01,139.78
1979-04-01,138.83
1979-05-01,141.78
1979-06-01,145.41
1979-07-01,145.51
1979-08-01,145.59
1979-09-01,142.04
1979-10-01,130.36
1979-11-01,132.04
1979-12-01,130.97
1980-01-01,124.73
1980-02-01,114.1
1980-03-01,113.97
1980-04-01,129.86
1980-05-01,137.15
1980-06-01,141.15
1980-07-01,136.35
1980-08-01,129.51
1980-09-01,125.96
1980-10-01,125.06
1980-11-01,125.91
1980-12-01,128.7
1981-01-01,126.96
1981-02-01,123.33
1981-03-01,126.6
1981-04-01,118.69
1981-05-01,125.23
1981-06-01,125.3
1981-07-01,121.26
1981-08-01,116.94
1981-09-01,113.89
1981-10-01,120.32
1981-11-01,136.12
1981-12-01,128
1982-01-01,127.2
1982-02-01,129.6
1982-03-01,131.88
1982-04-01,136.68
1982-05-01,139.34
1982-06-01,134.33
1982-07-01,141.44
1982-08-01,152.33
1982-09-01,162.06
1982-10-01,173.62
1982-11-01,177.49
1982-12-01,179.35
1983-01-01,179.16
1983-02-01,185.79
1983-03-01,189.34
1983-04-01,199.42
1983-05-01,193.56
1983-06-01,193.57
1983-07-01,184.49
1983-08-01,186.72
1983-09-01,194.38
1983-10-01,193.94
1983-11-01,195.8
1983-12-01,194.94
1984-01-01,200.98
1984-02-01,196.58
1984-03-01,192.41
1984-04-01,191.2
1984-05-01,181.88
1984-06-01,185.43
1984-07-01,195.96
1984-08-01,201.87
1984-09-01,209.17
1984-10-01,221.13
1984-11-01,225.1
1984-12-01,227.82
1985-01-01,235.37
1985-02-01,227.4
1985-03-01,231.71
1985-04-01,238.09
1985-05-01,257.23
1985-06-01,258.12
1985-07-01,256.09
1985-08-01,265.27
1985-09-01,263.83
1985-10-01,272.13
1985-11-01,282.51
1985-12-01,294.86
1986-01-01,296.02
1986-02-01,318.4
1986-03-01,323.67
1986-04-01,323.03
1986-05-01,320.45
1986-06-01,327.23
1986-07-01,325.7
1986-08-01,335.98
1986-09-01,332.44
1986-10-01,338.45
1986-11-01,341.342
1986-12-01,349.3168182
1987-01-01,356.5136364
1987-02-01,358.3025
1987-03-01,361.0590909
1987-04-01,349.6204762
1987-05-01,338.5361905
1987-06-01,344.2890909
1987-07-01,346.0586364
1987-08-01,342.1771429
1987-09-01,331.6857143
1987-10-01,329.3195652
1987-11-01,345.0125
1987-12-01,347.2154545
1988-01-01,358.0442857
1988-02-01,373.216
1988-03-01,373.0421739
1988-04-01,367.3990476
1988-05-01,361.1419048
1988-06-01,367.6336364
1988-07-01,369.2442857
1988-08-01,371.2895652
1988-09-01,382.732381
1988-10-01,389.8914286
1988-11-01,391.6352381
1988-12-01,393.7286364
1989-01-01,396.317619
1989-02-01,397.3810526
1989-03-01,397.0790476
1989-04-01,402.6816667
1989-05-01,411.8327273
1989-06-01,433.3614286
1989-07-01,440.2425
1989-08-01,440.3473913
1989-09-01,441.9885714
1989-10-01,448.9322727
1989-11-01,450.3685714
1989-12-01,453.3480952
1990-01-01,448.6833333
1990-02-01,444.1936842
1990-03-01,444.9682609
1990-04-01,444.1355
1990-05-01,448.2290909
1990-06-01,461.6818182
1990-07-01,463.8285714
1990-08-01,457.0486957
1990-09-01,454.4675
1990-10-01,460.8852174
1990-11-01,471.1114286
1990-12-01,483.729
1991-01-01,487.05
1991-02-01,500.6063158
1991-03-01,499.3709524
1991-04-01,509.36
1991-05-01,513.095
1991-06-01,510.2185714
1991-07-01,516.0954545
1991-08-01,534.5152174
1991-09-01,545.1865
1991-10-01,550.0121739
1991-11-01,556.7171429
1991-12-01,569.5790476
1992-01-01,577.1268182
1992-02-01,572.8442105
1992-03-01,573.8463636
1992-04-01,582.1033333
1992-05-01,590.3019048
1992-06-01,597.8681818
1992-07-01,614.1254545
1992-08-01,625.747619
1992-09-01,632.1190476
1992-10-01,626.8121739
1992-11-01,625.9915
1992-12-01,637.9968182
1993-01-01,647.9709524
1993-02-01,662.836
1993-03-01,678.5604348
1993-04-01,681.9971429
1993-05-01,683.262381
1993-06-01,692.4536364
1993-07-01,705.54
1993-08-01,723.0654545
1993-09-01,741.1357143
1993-10-01,744.8404545
1993-11-01,732.2461905
1993-12-01,736.6977273
1994-01-01,741.732381
1994-02-01,739.0626316
1994-03-01,719.046087
1994-04-01,699.7995
1994-05-01,693.9480952
1994-06-01,699.9281818
1994-07-01,696.9604762
1994-08-01,704.21
1994-09-01,694.6209524
1994-10-01,686.3095238
1994-11-01,682.9085714
1994-12-01,700.4404545
1995-01-01,706.5671429
1995-02-01,725.8326316
1995-03-01,742.6813043
1995-04-01,755.333
1995-05-01,787.1459091
1995-06-01,814.09
1995-07-01,811.5575
1995-08-01,806.2173913
1995-09-01,830.5838095
1995-10-01,848.4577273
1995-11-01,857.8080952
1995-12-01,877.9219048
1996-01-01,883.9027273
1996-02-01,873.7375
1996-03-01,851.6827273
1996-04-01,843.1018182
1996-05-01,839.3959091
1996-06-01,837.8533333
1996-07-01,846.295
1996-08-01,865.386087
1996-09-01,856.733
1996-10-01,884.0443478
1996-11-01,915.227619
1996-12-01,913.13
1997-01-01,899.0718182
1997-02-01,917.4215789
1997-03-01,902.2855
1997-04-01,894.2504545
1997-05-01,913.7440909
1997-06-01,935.5057143
1997-07-01,967.9868182
1997-08-01,965.4595455
1997-09-01,978.8166667
1997-10-01,998.9926087
1997-11-01,1011.437619
1997-12-01,1026.76
1998-01-01,1047.521364
1998-02-01,1042.91
1998-03-01,1045.206364
1998-04-01,1055.640952
1998-05-01,1063.245909
1998-06-01,1086.771364
