DATE,CANDH
1967-03-01,-0.04
1967-04-01,-0.01
1967-05-01,-0.06
1967-06-01,0.08
1967-07-01,-0.07
1967-08-01,0.00
1967-09-01,0.13
1967-10-01,-0.11
1967-11-01,0.12
1967-12-01,0.16
1968-01-01,-0.03
1968-02-01,0.04
1968-03-01,0.19
1968-04-01,-0.02
1968-05-01,0.05
1968-06-01,0.11
1968-07-01,0.11
1968-08-01,0.06
1968-09-01,-0.05
1968-10-01,0.11
1968-11-01,0.13
1968-12-01,-0.03
1969-01-01,0.14
1969-02-01,0.11
1969-03-01,-0.04
1969-04-01,0.07
1969-05-01,0.11
1969-06-01,-0.03
1969-07-01,-0.03
1969-08-01,0.09
1969-09-01,0.06
1969-10-01,0.05
1969-11-01,-0.06
1969-12-01,-0.02
1970-01-01,-0.04
1970-02-01,0.02
1970-03-01,-0.10
1970-04-01,0.00
1970-05-01,0.06
1970-06-01,0.04
1970-07-01,0.04
1970-08-01,0.03
1970-09-01,0.06
1970-10-01,0.00
1970-11-01,-0.09
1970-12-01,0.24
1971-01-01,0.26
1971-02-01,0.11
1971-03-01,0.10
1971-04-01,0.2
1971-05-01,0.10
1971-06-01,0.22
1971-07-01,0.11
1971-08-01,0.20
1971-09-01,0.26
1971-10-01,0.19
1971-11-01,0.21
1971-12-01,0.20
1972-01-01,0.17
1972-02-01,0.20
1972-03-01,0.36
1972-04-01,0.18
1972-05-01,0.21
1972-06-01,0.20
1972-07-01,0.22
1972-08-01,0.24
1972-09-01,0.23
1972-10-01,0.35
1972-11-01,0.22
1972-12-01,0.26
1973-01-01,0.29
1973-02-01,0.23
1973-03-01,0.17
1973-04-01,0.06
1973-05-01,0.15
1973-06-01,0.13
1973-07-01,0.18
1973-08-01,-0.01
1973-09-01,0.24
1973-10-01,-0.01
1973-11-01,0.07
1973-12-01,-0.15
1974-01-01,0.01
1974-02-01,-0.01
1974-03-01,0.05
1974-04-01,0.07
1974-05-01,0.02
1974-06-01,-0.02
1974-07-01,0.01
1974-08-01,0.03
1974-09-01,-0.26
1974-10-01,-0.17
1974-11-01,-0.25
1974-12-01,-0.19
1975-01-01,0.02
1975-02-01,-0.05
1975-03-01,-0.24
1975-04-01,-0.08
1975-05-01,0.17
1975-06-01,-0.11
1975-07-01,-0.01
1975-08-01,-0.03
1975-09-01,-0.03
1975-10-01,-0.02
1975-11-01,0.03
1975-12-01,0.06
1976-01-01,0.12
1976-02-01,-0.02
1976-03-01,0.05
1976-04-01,0.08
1976-05-01,-0.10
1976-06-01,0.13
1976-07-01,0.02
1976-08-01,0.00
1976-09-01,0.06
1976-10-01,0.06
1976-11-01,0.10
1976-12-01,0.23
1977-01-01,-0.05
1977-02-01,0.16
1977-03-01,0.11
1977-04-01,0.11
1977-05-01,0.09
1977-06-01,0.08
1977-07-01,0.19
1977-08-01,0.08
1977-09-01,0.12
1977-10-01,0.21
1977-11-01,0.15
1977-12-01,0.12
1978-01-01,-0.09
1978-02-01,0.21
1978-03-01,0.23
1978-04-01,0.22
1978-05-01,0.13
1978-06-01,0.17
1978-07-01,0.03
1978-08-01,0.19
1978-09-01,0.08
1978-10-01,0.13
1978-11-01,0.15
1978-12-01,0.17
1979-01-01,-0.03
1979-02-01,0.05
1979-03-01,0.11
1979-04-01,-0.02
1979-05-01,0.09
1979-06-01,0.08
1979-07-01,0.01
1979-08-01,0.22
1979-09-01,0.09
1979-10-01,-0.02
1979-11-01,0.05
1979-12-01,-0.04
1980-01-01,0.06
1980-02-01,-0.17
1980-03-01,-0.25
1980-04-01,-0.29
1980-05-01,-0.22
1980-06-01,0.0
1980-07-01,0.06
1980-08-01,-0.01
1980-09-01,-0.01
1980-10-01,0.14
1980-11-01,-0.03
1980-12-01,0.03
1981-01-01,0.05
1981-02-01,-0.08
1981-03-01,-0.02
1981-04-01,-0.11
1981-05-01,-0.11
1981-06-01,-0.05
1981-07-01,-0.12
1981-08-01,-0.06
1981-09-01,-0.24
1981-10-01,-0.27
1981-11-01,-0.22
1981-12-01,-0.11
1982-01-01,-0.25
1982-02-01,-0.05
1982-03-01,-0.19
1982-04-01,-0.13
1982-05-01,-0.08
1982-06-01,-0.27
1982-07-01,-0.01
1982-08-01,-0.12
1982-09-01,0.03
1982-10-01,-0.02
1982-11-01,0.08
1982-12-01,-0.01
1983-01-01,0.00
1983-02-01,0.05
1983-03-01,0.17
1983-04-01,0.05
1983-05-01,0.13
1983-06-01,0.18
1983-07-01,0.12
1983-08-01,0.04
1983-09-01,0.10
1983-10-01,0.14
1983-11-01,0.10
1983-12-01,0.14
1984-01-01,0.18
1984-02-01,0.01
1984-03-01,0.08
1984-04-01,0.16
1984-05-01,0.12
1984-06-01,0.16
1984-07-01,-0.03
1984-08-01,0.04
1984-09-01,0.13
1984-10-01,0.00
1984-11-01,0.22
1984-12-01,0.03
1985-01-01,0.14
1985-02-01,0.08
1985-03-01,0.06
1985-04-01,0.12
1985-05-01,0.17
1985-06-01,-0.01
1985-07-01,0.11
1985-08-01,0.18
1985-09-01,0.24
1985-10-01,-0.13
1985-11-01,0.08
1985-12-01,0.20
1986-01-01,0.12
1986-02-01,0.05
1986-03-01,0.12
1986-04-01,0.19
1986-05-01,0.16
1986-06-01,0.05
1986-07-01,0.14
1986-08-01,0.13
1986-09-01,0.36
1986-10-01,-0.17
1986-11-01,0.00
1986-12-01,0.36
1987-01-01,-0.30
1987-02-01,0.34
1987-03-01,0.09
1987-04-01,0.09
1987-05-01,0.04
1987-06-01,0.09
1987-07-01,0.08
1987-08-01,0.14
1987-09-01,-0.03
1987-10-01,0.00
1987-11-01,0.05
1987-12-01,0.09
1988-01-01,0.04
1988-02-01,0.03
1988-03-01,0.13
1988-04-01,-0.03
1988-05-01,0.07
1988-06-01,0.04
1988-07-01,0.02
1988-08-01,0.06
1988-09-01,-0.03
1988-10-01,0.13
1988-11-01,0.06
1988-12-01,0.08
1989-01-01,0.06
1989-02-01,-0.06
1989-03-01,-0.02
1989-04-01,0.05
1989-05-01,-0.03
1989-06-01,0.00
1989-07-01,0.03
1989-08-01,0.1
1989-09-01,-0.06
1989-10-01,-0.06
1989-11-01,0.00
1989-12-01,0.03
1990-01-01,0.11
1990-02-01,-0.08
1990-03-01,-0.01
1990-04-01,-0.05
1990-05-01,-0.08
1990-06-01,-0.04
1990-07-01,-0.05
1990-08-01,-0.09
1990-09-01,-0.11
1990-10-01,-0.19
1990-11-01,-0.1
1990-12-01,-0.22
1991-01-01,-0.33
1991-02-01,-0.05
1991-03-01,-0.02
1991-04-01,-0.16
1991-05-01,-0.09
1991-06-01,-0.11
1991-07-01,-0.06
1991-08-01,-0.15
1991-09-01,-0.11
1991-10-01,-0.16
1991-11-01,-0.06
1991-12-01,-0.08
1992-01-01,0.11
1992-02-01,-0.03
1992-03-01,-0.06
1992-04-01,-0.08
1992-05-01,-0.01
1992-06-01,-0.06
1992-07-01,-0.04
1992-08-01,-0.04
1992-09-01,0.01
1992-10-01,0.00
1992-11-01,-0.05
1992-12-01,0.03
1993-01-01,-0.05
1993-02-01,-0.07
1993-03-01,-0.15
1993-04-01,0.06
1993-05-01,-0.01
1993-06-01,-0.02
1993-07-01,0.02
1993-08-01,-0.04
1993-09-01,0.04
1993-10-01,0.00
1993-11-01,0.03
1993-12-01,0.06
1994-01-01,-0.03
1994-02-01,0.08
1994-03-01,0.05
1994-04-01,0.03
1994-05-01,-0.02
1994-06-01,0.06
1994-07-01,-0.01
1994-08-01,0.08
1994-09-01,0.03
1994-10-01,0.07
1994-11-01,0.01
1994-12-01,0.03
1995-01-01,0.00
1995-02-01,-0.09
1995-03-01,0.02
1995-04-01,-0.05
1995-05-01,0.05
1995-06-01,0.07
1995-07-01,-0.04
1995-08-01,0.05
1995-09-01,0.01
1995-10-01,-0.06
1995-11-01,0.10
1995-12-01,0.06
1996-01-01,-0.08
1996-02-01,0.11
1996-03-01,0.05
1996-04-01,0.05
1996-05-01,0.04
1996-06-01,0.02
1996-07-01,0.03
1996-08-01,0.05
1996-09-01,0.04
1996-10-01,0.03
1996-11-01,0.02
1996-12-01,0.02
1997-01-01,0.05
1997-02-01,0.04
1997-03-01,0.04
1997-04-01,-0.01
1997-05-01,-0.01
1997-06-01,0.09
1997-07-01,0.11
1997-08-01,0.05
1997-09-01,0.02
1997-10-01,0.05
1997-11-01,0.07
1997-12-01,0.07
1998-01-01,0.02
1998-02-01,0.10
1998-03-01,0.09
1998-04-01,0.10
1998-05-01,0.09
1998-06-01,0.11
1998-07-01,0.03
1998-08-01,0.06
1998-09-01,0.12
1998-10-01,0.13
1998-11-01,0.09
1998-12-01,0.16
1999-01-01,0.05
1999-02-01,0.12
1999-03-01,0.10
1999-04-01,0.06
1999-05-01,0.10
1999-06-01,0.07
1999-07-01,0.07
1999-08-01,0.11
1999-09-01,0.07
1999-10-01,0.05
1999-11-01,0.11
1999-12-01,0.21
2000-01-01,-0.03
2000-02-01,0.16
2000-03-01,0.09
2000-04-01,-0.01
2000-05-01,0.07
2000-06-01,0.04
2000-07-01,0.00
2000-08-01,0.08
2000-09-01,0.10
2000-10-01,0.01
2000-11-01,0.01
2000-12-01,0.05
2001-01-01,0.04
2001-02-01,0.03
2001-03-01,-0.01
2001-04-01,0.08
2001-05-01,0.05
2001-06-01,0.01
2001-07-01,0.06
2001-08-01,0.09
2001-09-01,-0.13
2001-10-01,0.39
2001-11-01,-0.06
2001-12-01,-0.02
2002-01-01,0.06
2002-02-01,0.10
2002-03-01,0.01
2002-04-01,0.08
2002-05-01,-0.02
2002-06-01,0.11
2002-07-01,0.11
2002-08-01,0.05
