DATE,CFNAI
1967-03-01,-0.50
1967-04-01,-0.17
1967-05-01,-0.67
1967-06-01,-0.01
1967-07-01,-0.35
1967-08-01,1.55
1967-09-01,-0.16
1967-10-01,0.04
1967-11-01,2.12
1967-12-01,1.40
1968-01-01,-0.82
1968-02-01,0.84
1968-03-01,0.45
1968-04-01,0.41
1968-05-01,0.95
1968-06-01,0.42
1968-07-01,0.31
1968-08-01,0.21
1968-09-01,0.62
1968-10-01,0.89
1968-11-01,1.25
1968-12-01,0.20
1969-01-01,0.51
1969-02-01,0.88
1969-03-01,0.81
1969-04-01,0.09
1969-05-01,0.06
1969-06-01,0.74
1969-07-01,0.31
1969-08-01,0.72
1969-09-01,-0.32
1969-10-01,0.36
1969-11-01,-1.14
1969-12-01,-0.29
1970-01-01,-2.03
1970-02-01,-0.27
1970-03-01,-0.74
1970-04-01,-1.2
1970-05-01,-0.77
1970-06-01,-0.59
1970-07-01,-0.01
1970-08-01,-0.99
1970-09-01,-1.02
1970-10-01,-2.71
1970-11-01,-1.57
1970-12-01,2.29
1971-01-01,0.72
1971-02-01,-0.12
1971-03-01,-0.18
1971-04-01,0.69
1971-05-01,0.7
1971-06-01,0.36
1971-07-01,-0.12
1971-08-01,-0.17
1971-09-01,1.49
1971-10-01,0.60
1971-11-01,0.85
1971-12-01,1.3
1972-01-01,2.23
1972-02-01,0.7
1972-03-01,1.49
1972-04-01,1.19
1972-05-01,0.76
1972-06-01,0.87
1972-07-01,-0.12
1972-08-01,2.22
1972-09-01,1.17
1972-10-01,2.14
1972-11-01,2.0
1972-12-01,1.88
1973-01-01,1.61
1973-02-01,2.03
1973-03-01,0.82
1973-04-01,0.2
1973-05-01,0.73
1973-06-01,0.47
1973-07-01,0.63
1973-08-01,-0.32
1973-09-01,1.00
1973-10-01,1.54
1973-11-01,1.24
1973-12-01,-0.45
1974-01-01,-0.4
1974-02-01,-0.35
1974-03-01,0.08
1974-04-01,-0.53
1974-05-01,0.75
1974-06-01,-0.36
1974-07-01,-0.48
1974-08-01,-1.15
