DATE,CSCICP03CAM665S
1980-01-01,99.95511626
1980-02-01,99.87295861
1980-03-01,99.74790832
1980-04-01,99.57633776
1980-05-01,99.51893463
1980-06-01,99.61568374
1980-07-01,99.84327019
1980-08-01,100.0183303
1980-09-01,100.1469843
1980-10-01,100.2497764
1980-11-01,100.233021
1980-12-01,100.0465581
1981-01-01,99.70050935
1981-02-01,99.4517405
1981-03-01,99.25452153
1981-04-01,99.00929542
1981-05-01,98.75989707
1981-06-01,98.38180337
1981-07-01,97.83153148
1981-08-01,97.52473258
1981-09-01,97.46121966
1981-10-01,97.53176645
1981-11-01,97.5816203
1981-12-01,97.55411911
1982-01-01,97.44083751
1982-02-01,97.30908801
1982-03-01,97.11782123
1982-04-01,96.84937542
1982-05-01,96.70074326
1982-06-01,96.68636968
1982-07-01,96.78678415
1982-08-01,96.96297412
1982-09-01,97.31593512
1982-10-01,97.91048072
1982-11-01,98.42228157
1982-12-01,99.01829991
1983-01-01,99.84498878
1983-02-01,100.4322736
1983-03-01,100.916121
1983-04-01,101.4512535
1983-05-01,101.727303
1983-06-01,101.7832978
1983-07-01,101.7316137
1983-08-01,101.7019792
1983-09-01,101.7405503
1983-10-01,101.839546
1983-11-01,101.8986762
1983-12-01,101.9034942
1984-01-01,101.8662662
1984-02-01,101.8211532
1984-03-01,101.7571796
1984-04-01,101.6633464
1984-05-01,101.5926047
1984-06-01,101.5240798
1984-07-01,101.4338128
1984-08-01,101.3632858
1984-09-01,101.2929549
1984-10-01,101.212777
1984-11-01,101.1925412
1984-12-01,101.2540964
1985-01-01,101.391587
1985-02-01,101.5098979
1985-03-01,101.634141
1985-04-01,101.7913444
1985-05-01,101.8862097
1985-06-01,101.9411737
1985-07-01,102.0015438
1985-08-01,102.0805334
1985-09-01,102.2149182
1985-10-01,102.3860467
1985-11-01,102.3854551
1985-12-01,102.1337506
1986-01-01,101.6812031
1986-02-01,101.4594493
1986-03-01,101.5309632
1986-04-01,101.81081
1986-05-01,101.9951315
1986-06-01,102.0513229
1986-07-01,102.0337109
1986-08-01,102.0273623
1986-09-01,102.0799594
1986-10-01,102.2081489
1986-11-01,102.3449447
1986-12-01,102.5369766
1987-01-01,102.8076948
1987-02-01,102.965338
1987-03-01,103.0105401
1987-04-01,102.9786868
1987-05-01,102.8947136
1987-06-01,102.7239029
1987-07-01,102.4558562
1987-08-01,102.2753057
1987-09-01,102.1693056
1987-10-01,102.1077829
1987-11-01,102.1495372
1987-12-01,102.3238524
1988-01-01,102.5887421
1988-02-01,102.6566347
1988-03-01,102.4463948
1988-04-01,102.0154313
1988-05-01,101.7699367
1988-06-01,101.7523793
1988-07-01,101.8869976
1988-08-01,101.9973581
1988-09-01,102.0597363
1988-10-01,102.0927562
1988-11-01,102.0950124
1988-12-01,102.0432095
1989-01-01,101.8899061
1989-02-01,101.615318
1989-03-01,101.0664043
1989-04-01,100.231456
1989-05-01,99.78900926
1989-06-01,99.76540022
1989-07-01,99.97721148
1989-08-01,100.0548812
1989-09-01,99.87266926
1989-10-01,99.47098722
1989-11-01,99.23861058
1989-12-01,99.20653776
1990-01-01,99.28036678
1990-02-01,99.27236806
1990-03-01,99.08176914
1990-04-01,98.7027534
1990-05-01,98.41505897
1990-06-01,98.17035922
1990-07-01,97.87995718
1990-08-01,97.6594853
1990-09-01,97.44512266
1990-10-01,97.21406684
1990-11-01,97.19889658
1990-12-01,97.4947681
1991-01-01,98.07458535
1991-02-01,98.49312851
1991-03-01,98.79349485
1991-04-01,99.08855564
1991-05-01,99.26058971
1991-06-01,99.35361792
1991-07-01,99.40136896
1991-08-01,99.33425124
1991-09-01,99.08221319
1991-10-01,98.64186104
1991-11-01,98.32849686
1991-12-01,98.11558939
1992-01-01,97.94813832
1992-02-01,97.95558164
1992-03-01,98.1907634
1992-04-01,98.6224903
1992-05-01,98.90034998
1992-06-01,99.0116178
1992-07-01,99.00339711
1992-08-01,98.87135149
1992-09-01,98.55945691
1992-10-01,98.09204734
1992-11-01,97.88570934
1992-12-01,97.98780158
1993-01-01,98.28279287
1993-02-01,98.39016992
1993-03-01,98.20008969
1993-04-01,97.7660024
1993-05-01,97.49473172
1993-06-01,97.419776
1993-07-01,97.47257895
1993-08-01,97.55748535
1993-09-01,97.69167777
1993-10-01,97.92027019
1993-11-01,98.18211557
1993-12-01,98.59147943
1994-01-01,99.17619446
1994-02-01,99.46829665
1994-03-01,99.44995114
1994-04-01,99.26134998
1994-05-01,99.21905767
1994-06-01,99.43587556
1994-07-01,99.86313416
1994-08-01,100.0738753
1994-09-01,99.99222594
1994-10-01,99.68265755
1994-11-01,99.43163494
1994-12-01,99.21617456
1995-01-01,98.95486709
1995-02-01,98.72333779
1995-03-01,98.43206445
1995-04-01,98.05790673
1995-05-01,97.93537947
1995-06-01,98.11053619
1995-07-01,98.46349633
1995-08-01,98.53328854
1995-09-01,98.17539472
1995-10-01,97.49195782
1995-11-01,97.18967564
1995-12-01,97.40653077
1996-01-01,98.01407277
1996-02-01,98.40056302
1996-03-01,98.51489066
1996-04-01,98.48008233
1996-05-01,98.47897453
1996-06-01,98.59716016
1996-07-01,98.82409633
1996-08-01,98.93491871
1996-09-01,98.90137513
1996-10-01,98.78100317
1996-11-01,98.75067379
1996-12-01,98.88257759
1997-01-01,99.17455418
1997-02-01,99.41818841
1997-03-01,99.67375793
1997-04-01,100.026599
1997-05-01,100.3315368
1997-06-01,100.6867657
1997-07-01,101.1289109
1997-08-01,101.2777998
1997-09-01,101.0702989
1997-10-01,100.6114246
1997-11-01,100.3818445
1997-12-01,100.4583642
1998-01-01,100.7435082
1998-02-01,100.8889996
1998-03-01,100.8043269
1998-04-01,100.5112527
1998-05-01,100.2284861
1998-06-01,99.8978946
1998-07-01,99.46727047
