DATE,CURRNS
1984-12-01,158.4
1985-01-01,155.5
1985-02-01,155.9
1985-03-01,157.3
1985-04-01,158.6
1985-05-01,160.6
1985-06-01,162.5
1985-07-01,164
1985-08-01,165
1985-09-01,164.7
1985-10-01,165.5
1985-11-01,167.8
1985-12-01,170.1
1986-01-01,167.1
1986-02-01,167.4
1986-03-01,169.3
1986-04-01,170.7
1986-05-01,172.9
1986-06-01,174.4
1986-07-01,176
1986-08-01,176.8
1986-09-01,176.3
1986-10-01,177.6
1986-11-01,180
1986-12-01,182.9
1987-01-01,180.6
1987-02-01,181.3
1987-03-01,182.7
1987-04-01,184.6
1987-05-01,186.8
1987-06-01,188.4
1987-07-01,190.3
1987-08-01,190.7
1987-09-01,190.7
1987-10-01,192.4
1987-11-01,195.7
1987-12-01,199.1
1988-01-01,196.8
1988-02-01,196.9
1988-03-01,198.9
1988-04-01,201.4
1988-05-01,203.4
1988-06-01,205.5
1988-07-01,207.8
1988-08-01,207.7
1988-09-01,207.8
1988-10-01,208.8
1988-11-01,211.1
1988-12-01,214.6
1989-01-01,211.5
1989-02-01,211.7
1989-03-01,213.7
1989-04-01,215
1989-05-01,216.5
1989-06-01,218.2
1989-07-01,219.5
1989-08-01,219
1989-09-01,218.4
1989-10-01,218.7
1989-11-01,220.8
1989-12-01,225
1990-01-01,222.5
1990-02-01,223.9
1990-03-01,226.7
1990-04-01,229.2
1990-05-01,231.4
1990-06-01,234.4
1990-07-01,236.8
1990-08-01,238.9
1990-09-01,240.5
1990-10-01,242.3
1990-11-01,245.2
1990-12-01,249
1991-01-01,249.1
1991-02-01,252.1
1991-03-01,255
1991-04-01,255.5
1991-05-01,256.8
1991-06-01,258.5
1991-07-01,260.3
1991-08-01,261.5
1991-09-01,261.2
1991-10-01,262.7
1991-11-01,265.8
1991-12-01,269.5
1992-01-01,267.3
1992-02-01,269
1992-03-01,270.6
1992-04-01,272.9
1992-05-01,275.2
1992-06-01,276.8
1992-07-01,280.3
1992-08-01,282.5
1992-09-01,284.2
1992-10-01,286.6
1992-11-01,289.6
1992-12-01,294.5
1993-01-01,293.1
1993-02-01,294.9
1993-03-01,297.5
1993-04-01,300.9
1993-05-01,303.9
1993-06-01,306.8
1993-07-01,310.4
1993-08-01,312.2
1993-09-01,314.2
1993-10-01,316.8
1993-11-01,319.2
1993-12-01,324.3
1994-01-01,323.4
1994-02-01,326.8
1994-03-01,330.1
1994-04-01,333.9
1994-05-01,336.7
1994-06-01,340.2
1994-07-01,344.8
1994-08-01,345.7
1994-09-01,347
1994-10-01,349.5
1994-11-01,353.2
1994-12-01,357.6
1995-01-01,355.9
1995-02-01,357.1
1995-03-01,361.4
1995-04-01,365.6
1995-05-01,367.9
1995-06-01,368.2
1995-07-01,369.1
1995-08-01,369
1995-09-01,369.3
1995-10-01,370
1995-11-01,371.7
1995-12-01,376.3
1996-01-01,371.8
1996-02-01,371
1996-03-01,374.4
1996-04-01,376
1996-05-01,377.7
1996-06-01,380.6
1996-07-01,383.8
1996-08-01,385.9
1996-09-01,386.8
1996-10-01,388.9
1996-11-01,392.9
1996-12-01,398
1997-01-01,395.6
1997-02-01,397.6
1997-03-01,401
1997-04-01,403.4
1997-05-01,406.2
1997-06-01,408.5
1997-07-01,411.3
1997-08-01,413.4
1997-09-01,414.2
1997-10-01,417.3
1997-11-01,422.4
1997-12-01,429
1998-01-01,426.4
1998-02-01,429
1998-03-01,431.6
1998-04-01,433.8
1998-05-01,436.2
1998-06-01,438.4
1998-07-01,442.8
1998-08-01,444.5
1998-09-01,448.5
1998-10-01,452.7
1998-11-01,457.6
1998-12-01,464.3
1999-01-01,462.5
1999-02-01,466.6
1999-03-01,471.4
1999-04-01,475.9
1999-05-01,480
1999-06-01,483.2
1999-07-01,487.7
1999-08-01,490
1999-09-01,492.9
1999-10-01,498.3
1999-11-01,505.5
1999-12-01,522.1
2000-01-01,523.6
2000-02-01,517.4
2000-03-01,517.1
2000-04-01,518.3
2000-05-01,519.2
2000-06-01,521
2000-07-01,523
2000-08-01,522.2
2000-09-01,522.9
2000-10-01,524.7
2000-11-01,528.2
2000-12-01,535.6
2001-01-01,532.6
2001-02-01,536.3
2001-03-01,539.7
2001-04-01,542.9
2001-05-01,546
2001-06-01,549
2001-07-01,554.7
2001-08-01,562
2001-09-01,566.3
2001-10-01,569.8
2001-11-01,575.6
2001-12-01,585.2
2002-01-01,585
2002-02-01,591.1
2002-03-01,596.1
2002-04-01,599.7
2002-05-01,605.3
2002-06-01,610.6
2002-07-01,615.6
2002-08-01,616.6
2002-09-01,616.3
2002-10-01,618.1
2002-11-01,622.9
2002-12-01,630.2
2003-01-01,628.5
2003-02-01,635
2003-03-01,639.8
2003-04-01,643.2
2003-05-01,646.4
2003-06-01,647.6
2003-07-01,648.5
2003-08-01,650.2
2003-09-01,650.5
2003-10-01,655.4
2003-11-01,659.9
2003-12-01,666.7
2004-01-01,662.3
2004-02-01,665.6
2004-03-01,667.3
2004-04-01,670
2004-05-01,673.7
2004-06-01,678
2004-07-01,685.7
2004-08-01,686
2004-09-01,687.9
2004-10-01,691.7
2004-11-01,697.4
2004-12-01,702.4
2005-01-01,697.3
2005-02-01,700.7
2005-03-01,702.7
2005-04-01,704
2005-05-01,705.2
2005-06-01,708.5
2005-07-01,711.4
2005-08-01,712.2
2005-09-01,714.3
2005-10-01,715.9
2005-11-01,720.6
2005-12-01,729.2
2006-01-01,727.5
2006-02-01,733.8
2006-03-01,737
2006-04-01,738.8
2006-05-01,742
2006-06-01,741.3
2006-07-01,741.3
2006-08-01,740.6
2006-09-01,739.7
2006-10-01,740.8
2006-11-01,746.2
2006-12-01,754.8
2007-01-01,748.6
2007-02-01,750.9
2007-03-01,753.1
2007-04-01,754.3
2007-05-01,756.2
2007-06-01,756.6
2007-07-01,758.4
2007-08-01,757.4
2007-09-01,756.8
2007-10-01,759.7
2007-11-01,762.4
2007-12-01,764
2008-01-01,755.7
2008-02-01,758.9
2008-03-01,762
2008-04-01,759.8
2008-05-01,764.1
2008-06-01,768.9
2008-07-01,774.9
2008-08-01,775.5
2008-09-01,776.8
2008-10-01,793.6
2008-11-01,806.3
2008-12-01,818.9
2009-01-01,826.1
2009-02-01,839
2009-03-01,846.7
2009-04-01,849.5
2009-05-01,851.3
2009-06-01,852.8
2009-07-01,855
2009-08-01,855.9
2009-09-01,857.2
2009-10-01,859.7
2009-11-01,861.3
2009-12-01,865.8
2010-01-01,860.6
2010-02-01,869.8
2010-03-01,875.7
2010-04-01,879.4
2010-05-01,882.5
2010-06-01,884
2010-07-01,887.4
2010-08-01,890.4
2010-09-01,895.1
2010-10-01,904.8
2010-11-01,913.9
2010-12-01,920.7
2011-01-01,917.8
2011-02-01,931.4
2011-03-01,942.8
2011-04-01,952.5
2011-05-01,960.1
2011-06-01,964.6
2011-07-01,970
2011-08-01,973.5
2011-09-01,978.2
2011-10-01,983
2011-11-01,993.6
2011-12-01,1003.5
2012-01-01,1003.5
2012-02-01,1020.5
2012-03-01,1033.9
2012-04-01,1039.3
2012-05-01,1043.6
2012-06-01,1048.1
2012-07-01,1051.6
2012-08-01,1056.4
2012-09-01,1064.1
2012-10-01,1073.4
2012-11-01,1081.8
