DATE,EUANDH
1967-03-01,-0.07
1967-04-01,-0.26
1967-05-01,0.11
1967-06-01,0.1
1967-07-01,0.19
1967-08-01,0.42
1967-09-01,-0.07
1967-10-01,-0.05
1967-11-01,0.76
1967-12-01,0.31
1968-01-01,-0.53
1968-02-01,0.72
1968-03-01,0.09
1968-04-01,0.41
1968-05-01,0.27
1968-06-01,0.2
1968-07-01,0.23
1968-08-01,0.29
1968-09-01,0.25
1968-10-01,0.38
1968-11-01,0.41
1968-12-01,0.35
1969-01-01,0.16
1969-02-01,0.46
1969-03-01,0.35
1969-04-01,0.22
1969-05-01,0.25
1969-06-01,0.4
1969-07-01,0.07
1969-08-01,0.39
1969-09-01,-0.33
1969-10-01,0.18
1969-11-01,-0.14
1969-12-01,0.1
1970-01-01,-0.49
1970-02-01,-0.11
1970-03-01,-0.12
1970-04-01,-0.71
1970-05-01,-0.71
1970-06-01,-0.45
1970-07-01,-0.11
1970-08-01,-0.52
1970-09-01,-0.38
1970-10-01,-0.99
1970-11-01,-0.6
1970-12-01,0.43
1971-01-01,0.07
1971-02-01,-0.24
1971-03-01,-0.18
1971-04-01,0.21
1971-05-01,0.29
1971-06-01,-0.25
1971-07-01,0.02
1971-08-01,-0.09
1971-09-01,0.33
1971-10-01,-0.02
1971-11-01,0.25
1971-12-01,0.35
1972-01-01,0.58
1972-02-01,0.34
1972-03-01,0.48
1972-04-01,0.32
1972-05-01,0.39
1972-06-01,0.45
1972-07-01,-0.26
1972-08-01,0.7
1972-09-01,0.12
1972-10-01,0.62
1972-11-01,0.59
1972-12-01,0.6
1973-01-01,0.59
1973-02-01,0.77
1973-03-01,0.44
1973-04-01,0.16
1973-05-01,0.2
1973-06-01,0.33
1973-07-01,0
1973-08-01,0.18
1973-09-01,0.14
1973-10-01,0.49
1973-11-01,0.33
1973-12-01,-0.08
1974-01-01,-0.08
1974-02-01,0.02
1974-03-01,-0.03
1974-04-01,-0.18
1974-05-01,0.25
1974-06-01,-0.19
1974-07-01,-0.2
1974-08-01,-0.32
1974-09-01,-0.54
1974-10-01,-0.47
1974-11-01,-1.38
1974-12-01,-1.81
1975-01-01,-1.52
1975-02-01,-1.28
1975-03-01,-0.95
1975-04-01,-0.58
1975-05-01,0.02
1975-06-01,-0.18
1975-07-01,0.39
1975-08-01,0.7
1975-09-01,0.16
1975-10-01,0.37
1975-11-01,0.23
1975-12-01,0.55
1976-01-01,0.96
1976-02-01,0.62
1976-03-01,0.36
1976-04-01,0.22
1976-05-01,0.14
1976-06-01,-0.15
1976-07-01,0.17
1976-08-01,0.14
1976-09-01,0.28
1976-10-01,-0.21
1976-11-01,0.43
1976-12-01,0.31
1977-01-01,0.41
1977-02-01,0.43
1977-03-01,0.82
1977-04-01,0.57
1977-05-01,0.55
1977-06-01,0.46
1977-07-01,0.43
1977-08-01,0.28
1977-09-01,0.62
1977-10-01,0.3
1977-11-01,0.58
1977-12-01,0.53
1978-01-01,0.07
1978-02-01,0.46
1978-03-01,0.72
1978-04-01,1.01
1978-05-01,0.44
1978-06-01,0.72
1978-07-01,0.05
1978-08-01,0.43
1978-09-01,0.26
1978-10-01,0.52
1978-11-01,0.59
1978-12-01,0.25
1979-01-01,0.16
1979-02-01,0.25
1979-03-01,0.52
1979-04-01,-0.53
1979-05-01,0.76
1979-06-01,0.27
1979-07-01,-0.1
1979-08-01,-0.28
1979-09-01,0.14
1979-10-01,0.07
1979-11-01,-0.15
1979-12-01,0
1980-01-01,-0.13
1980-02-01,-0.14
1980-03-01,-0.23
1980-04-01,-1.29
1980-05-01,-1.15
1980-06-01,-0.79
1980-07-01,-0.66
1980-08-01,0.4
1980-09-01,0.22
1980-10-01,0.38
1980-11-01,0.34
1980-12-01,0.26
1981-01-01,-0.05
1981-02-01,-0.03
1981-03-01,0.18
1981-04-01,0.19
1981-05-01,-0.09
1981-06-01,-0.08
1981-07-01,0.13
1981-08-01,-0.25
1981-09-01,-0.54
1981-10-01,-0.58
1981-11-01,-0.77
1981-12-01,-0.93
1982-01-01,-0.86
1982-02-01,-0.18
1982-03-01,-0.64
1982-04-01,-0.84
1982-05-01,-0.29
1982-06-01,-0.87
1982-07-01,-0.74
1982-08-01,-0.61
1982-09-01,-0.73
1982-10-01,-0.87
1982-11-01,-0.52
1982-12-01,-0.18
1983-01-01,0.3
1983-02-01,-0.26
1983-03-01,0.2
1983-04-01,0.4
1983-05-01,0.45
1983-06-01,0.64
1983-07-01,0.87
1983-08-01,-0.27
1983-09-01,1.42
1983-10-01,0.57
1983-11-01,0.64
1983-12-01,0.56
1984-01-01,0.71
1984-02-01,0.79
1984-03-01,0.3
1984-04-01,0.42
1984-05-01,0.49
1984-06-01,0.5
1984-07-01,0.16
1984-08-01,0.04
1984-09-01,0.29
1984-10-01,0.21
1984-11-01,0.34
1984-12-01,0.1
1985-01-01,0.07
1985-02-01,0.02
1985-03-01,0.33
1985-04-01,-0.08
1985-05-01,0.2
1985-06-01,-0.16
1985-07-01,0.01
1985-08-01,0.16
1985-09-01,0.14
1985-10-01,0.09
1985-11-01,0.15
1985-12-01,0.07
1986-01-01,0.13
1986-02-01,-0.29
1986-03-01,-0.01
1986-04-01,0.05
1986-05-01,-0.04
1986-06-01,-0.19
1986-07-01,0.26
1986-08-01,0.04
1986-09-01,0.14
1986-10-01,0.02
1986-11-01,0.13
1986-12-01,0.19
1987-01-01,0.02
1987-02-01,0.31
1987-03-01,0.2
1987-04-01,0.31
1987-05-01,0.3
1987-06-01,0.06
1987-07-01,0.37
1987-08-01,0.2
1987-09-01,0.21
1987-10-01,0.41
1987-11-01,0.24
1987-12-01,0.21
1988-01-01,-0.04
1988-02-01,0.4
1988-03-01,0.13
1988-04-01,0.31
1988-05-01,0.01
1988-06-01,0.37
1988-07-01,0.14
1988-08-01,-0.15
1988-09-01,0.21
1988-10-01,0.26
1988-11-01,0.22
1988-12-01,0.22
1989-01-01,0.2
1989-02-01,0.16
1989-03-01,0.1
1989-04-01,-0.01
1989-05-01,-0.09
1989-06-01,-0.09
1989-07-01,-0.11
1989-08-01,-0.14
1989-09-01,-0.11
1989-10-01,-0.05
1989-11-01,0.09
1989-12-01,-0.12
1990-01-01,0.32
1990-02-01,0.12
1990-03-01,-0.06
1990-04-01,-0.36
1990-05-01,-0.18
1990-06-01,-0.11
1990-07-01,-0.42
1990-08-01,-0.48
1990-09-01,-0.41
1990-10-01,-0.51
1990-11-01,-0.72
1990-12-01,-0.36
1991-01-01,-0.51
1991-02-01,-0.85
1991-03-01,-0.58
1991-04-01,-0.38
1991-05-01,-0.51
1991-06-01,-0.05
1991-07-01,-0.29
1991-08-01,-0.19
1991-09-01,-0.08
1991-10-01,-0.29
1991-11-01,-0.31
1991-12-01,-0.33
1992-01-01,-0.23
1992-02-01,-0.3
1992-03-01,-0.02
1992-04-01,0.01
1992-05-01,-0.07
1992-06-01,-0.18
1992-07-01,-0.12
1992-08-01,-0.03
1992-09-01,-0.16
1992-10-01,0.13
1992-11-01,0.07
1992-12-01,0.1
1993-01-01,0.28
1993-02-01,0.22
1993-03-01,-0.24
1993-04-01,0.17
1993-05-01,0.21
1993-06-01,-0.02
1993-07-01,0.17
1993-08-01,0.15
1993-09-01,0.13
1993-10-01,0.19
1993-11-01,0.24
1993-12-01,0.27
1994-01-01,0.16
1994-02-01,0.07
1994-03-01,0.49
1994-04-01,0.25
1994-05-01,0.39
1994-06-01,0.16
1994-07-01,0.24
1994-08-01,0.23
1994-09-01,0.31
1994-10-01,0.21
1994-11-01,0.34
1994-12-01,0.23
1995-01-01,0.12
1995-02-01,0.04
1995-03-01,-0.02
1995-04-01,-0.21
1995-05-01,-0.31
1995-06-01,0.11
1995-07-01,-0.07
1995-08-01,0.12
1995-09-01,0.12
1995-10-01,0.02
1995-11-01,-0.14
1995-12-01,-0.04
1996-01-01,-0.31
1996-02-01,0.41
1996-03-01,0.01
1996-04-01,0.03
1996-05-01,0.21
1996-06-01,0.33
1996-07-01,0.04
1996-08-01,0.21
1996-09-01,0.04
1996-10-01,0.12
1996-11-01,0.13
1996-12-01,0.02
1997-01-01,0.1
1997-02-01,0.24
1997-03-01,0.26
1997-04-01,0.17
1997-05-01,0.19
1997-06-01,0.05
1997-07-01,0.2
1997-08-01,-0.01
1997-09-01,0.34
1997-10-01,0.26
1997-11-01,0.32
1997-12-01,0.1
1998-01-01,0.18
1998-02-01,0.08
1998-03-01,-0.04
1998-04-01,0.19
1998-05-01,0.17
1998-06-01,-0.07
