DATE,EXDNUS
1971-01-01,7.4846
1971-02-01,7.4854
1971-03-01,7.4808
1971-04-01,7.4887
1971-05-01,7.4998
1971-06-01,7.4949
1971-07-01,7.4993
1971-08-01,7.444
1971-09-01,7.3141
1971-10-01,7.2634
1971-11-01,7.2594
1971-12-01,7.1465
1972-01-01,7.0331
1972-02-01,6.99
1972-03-01,6.9635
1972-04-01,6.9924
1972-05-01,6.9775
1972-06-01,6.9767
1972-07-01,6.9597
1972-08-01,6.9261
1972-09-01,6.9521
1972-10-01,6.9189
1972-11-01,6.8921
1972-12-01,6.849
1973-01-01,6.8797
1973-02-01,6.5097
1973-03-01,6.1449
1973-04-01,6.2121
1973-05-01,6.1551
1973-06-01,5.8387
1973-07-01,5.5435
1973-08-01,5.7101
1973-09-01,5.7211
1973-10-01,5.6527
1973-11-01,5.9752
1973-12-01,6.2156
1974-01-01,6.6775
1974-02-01,6.425
1974-03-01,6.2391
1974-04-01,6.0632
1974-05-01,5.8788
1974-06-01,5.9693
1974-07-01,5.9323
1974-08-01,6.0442
1974-09-01,6.2074
1974-10-01,6.0275
1974-11-01,5.884
1974-12-01,5.7762
1975-01-01,5.6136
1975-02-01,5.537
1975-03-01,5.4359
1975-04-01,5.5195
1975-05-01,5.4651
1975-06-01,5.4373
1975-07-01,5.7248
1975-08-01,5.9583
1975-09-01,6.0824
1975-10-01,6.0243
1975-11-01,6.0377
1975-12-01,6.1529
1976-01-01,6.1611
1976-02-01,6.1434
1976-03-01,6.1458
1976-04-01,6.0413
1976-05-01,6.0656
1976-06-01,6.1297
1976-07-01,6.1633
1976-08-01,6.08
1976-09-01,5.9907
1976-10-01,5.8936
1976-11-01,5.9053
1976-12-01,5.833
1977-01-01,5.8945
1977-02-01,5.9204
1977-03-01,5.8692
1977-04-01,5.9845
1977-05-01,6.0103
1977-06-01,6.0443
1977-07-01,5.9639
1977-08-01,6.0285
1977-09-01,6.1773
1977-10-01,6.1128
1977-11-01,6.125
1977-12-01,5.9427
1978-01-01,5.7726
1978-02-01,5.6791
1978-03-01,5.6059
1978-04-01,5.6165
1978-05-01,5.7029
1978-06-01,5.6424
1978-07-01,5.6036
1978-08-01,5.5038
1978-09-01,5.4321
1978-10-01,5.1113
1978-11-01,5.2579
1978-12-01,5.2478
1979-01-01,5.1318
1979-02-01,5.1488
1979-03-01,5.1896
1979-04-01,5.275
1979-05-01,5.3882
1979-06-01,5.436
1979-07-01,5.2436
1979-08-01,5.2731
1979-09-01,5.1876
1979-10-01,5.2336
1979-11-01,5.2543
1979-12-01,5.3712
1980-01-01,5.3859
1980-02-01,5.4567
1980-03-01,5.7759
1980-04-01,5.8509
1980-05-01,5.5998
1980-06-01,5.49
1980-07-01,5.4096
1980-08-01,5.5343
1980-09-01,5.5348
1980-10-01,5.6712
1980-11-01,5.896
1980-12-01,6.0348
1981-01-01,6.184
1981-02-01,6.6006
1981-03-01,6.6198
1981-04-01,6.8122
1981-05-01,7.2143
1981-06-01,7.4727
1981-07-01,7.6492
1981-08-01,7.8562
1981-09-01,7.3835
1981-10-01,7.2348
1981-11-01,7.172
1981-12-01,7.321
1982-01-01,7.4977
1982-02-01,7.795
1982-03-01,8.0396
1982-04-01,8.1591
1982-05-01,7.8444
1982-06-01,8.3481
1982-07-01,8.5402
1982-08-01,8.6482
1982-09-01,8.8038
1982-10-01,8.9192
1982-11-01,8.9595
1982-12-01,8.5275
1983-01-01,8.4171
1983-02-01,8.5811
1983-03-01,8.6223
1983-04-01,8.6663
1983-05-01,8.8003
1983-06-01,9.1287
1983-07-01,9.3142
1983-08-01,9.6308
1983-09-01,9.5926
1983-10-01,9.4172
1983-11-01,9.6791
1983-12-01,9.953
1984-01-01,10.1793
1984-02-01,9.8549
1984-03-01,9.5175
1984-04-01,9.7311
1984-05-01,10.0618
1984-06-01,10.0501
1984-07-01,10.4179
1984-08-01,10.5174
1984-09-01,10.9753
1984-10-01,11.0896
1984-11-01,10.8244
1984-12-01,11.1258
1985-01-01,11.3304
1985-02-01,11.8071
1985-03-01,11.7971
1985-04-01,11.1142
1985-05-01,11.2244
1985-06-01,10.9963
1985-07-01,10.4563
1985-08-01,10.1459
1985-09-01,10.2906
1985-10-01,9.588
1985-11-01,9.3918
1985-12-01,9.1221
1986-01-01,8.9468
1986-02-01,8.6048
1986-03-01,8.4096
1986-04-01,8.3928
1986-05-01,8.2479
