DATE,EXNOUS
1971-01-01,7.1411
1971-02-01,7.1425
1971-03-01,7.1377
1971-04-01,7.1287
1971-05-01,7.1145
1971-06-01,7.1111
1971-07-01,7.1059
1971-08-01,7.0219
1971-09-01,6.8993
1971-10-01,6.8498
1971-11-01,6.8595
1971-12-01,6.7496
1972-01-01,6.7056
1972-02-01,6.6538
1972-03-01,6.5959
1972-04-01,6.6003
1972-05-01,6.573
1972-06-01,6.5349
1972-07-01,6.5076
1972-08-01,6.5211
1972-09-01,6.5751
1972-10-01,6.6046
1972-11-01,6.6034
1972-12-01,6.5847
1973-01-01,6.6101
1973-02-01,6.2437
1973-03-01,5.899
1973-04-01,5.9155
1973-05-01,5.8093
1973-06-01,5.4986
1973-07-01,5.2827
1973-08-01,5.5134
1973-09-01,5.541
1973-10-01,5.4694
1973-11-01,5.5963
1973-12-01,5.6657
1974-01-01,5.9749
1974-02-01,5.7648
1974-03-01,5.6401
1974-04-01,5.5045
1974-05-01,5.3283
1974-06-01,5.432
1974-07-01,5.3999
1974-08-01,5.4814
1974-09-01,5.5579
1974-10-01,5.5052
1974-11-01,5.4343
1974-12-01,5.2991
1975-01-01,5.1085
1975-02-01,5.0067
1975-03-01,4.9124
1975-04-01,4.9881
1975-05-01,4.9513
1975-06-01,4.9038
1975-07-01,5.2011
1975-08-01,5.4635
1975-09-01,5.6082
1975-10-01,5.5291
1975-11-01,5.5202
1975-12-01,5.5594
1976-01-01,5.5581
1976-02-01,5.5256
1976-03-01,5.5488
1976-04-01,5.4943
1976-05-01,5.4996
1976-06-01,5.5494
1976-07-01,5.5869
1976-08-01,5.5097
1976-09-01,5.4275
1976-10-01,5.316
1976-11-01,5.2763
1976-12-01,5.2102
1977-01-01,5.2791
1977-02-01,5.2899
1977-03-01,5.2534
1977-04-01,5.2887
1977-05-01,5.2754
1977-06-01,5.287
1977-07-01,5.2572
1977-08-01,5.302
1977-09-01,5.4867
1977-10-01,5.4849
1977-11-01,5.4564
1977-12-01,5.2488
1978-01-01,5.1548
1978-02-01,5.2589
1978-03-01,5.3263
1978-04-01,5.3708
1978-05-01,5.4468
1978-06-01,5.4055
1978-07-01,5.3984
1978-08-01,5.2588
1978-09-01,5.2116
1978-10-01,4.9228
1978-11-01,5.0676
1978-12-01,5.1102
1979-01-01,5.0686
1979-02-01,5.0996
1979-03-01,5.0972
1979-04-01,5.1431
1979-05-01,5.1895
1979-06-01,5.1555
1979-07-01,5.0445
1979-08-01,5.031
1979-09-01,4.9803
1979-10-01,4.9652
1979-11-01,5.0183
1979-12-01,4.9774
1980-01-01,4.9086
1980-02-01,4.8822
1980-03-01,5.0476
1980-04-01,5.0677
1980-05-01,4.9077
1980-06-01,4.8525
1980-07-01,4.8167
1980-08-01,4.8651
1980-09-01,4.8367
1980-10-01,4.8973
1980-11-01,5.0156
1980-12-01,5.1629
1981-01-01,5.241
1981-02-01,5.4101
1981-03-01,5.3943
1981-04-01,5.4735
1981-05-01,5.6656
1981-06-01,5.9155
1981-07-01,6.1025
1981-08-01,6.1822
1981-09-01,5.961
1981-10-01,5.9195
1981-11-01,5.8164
1981-12-01,5.7801
1982-01-01,5.8623
1982-02-01,5.9697
1982-03-01,6.0255
1982-04-01,6.082
1982-05-01,5.9676
1982-06-01,6.1869
1982-07-01,6.3557
1982-08-01,6.6785
1982-09-01,6.8999
1982-10-01,7.1735
1982-11-01,7.2397
1982-12-01,7.0347
1983-01-01,7.0447
1983-02-01,7.1171
1983-03-01,7.1852
1983-04-01,7.146
1983-05-01,7.1154
1983-06-01,7.2678
1983-07-01,7.3281
1983-08-01,7.4641
1983-09-01,7.4271
1983-10-01,7.3244
1983-11-01,7.4696
1983-12-01,7.7237
1984-01-01,7.8763
1984-02-01,7.6955
1984-03-01,7.5028
1984-04-01,7.5992
1984-05-01,7.81
1984-06-01,7.8162
1984-07-01,8.2151
1984-08-01,8.2991
1984-09-01,8.6246
1984-10-01,8.8721
1984-11-01,8.7175
1984-12-01,8.9805
1985-01-01,9.1765
1985-02-01,9.4695
1985-03-01,9.4608
1985-04-01,8.9314
1985-05-01,8.9442
1985-06-01,8.8255
1985-07-01,8.4338
1985-08-01,8.2487
1985-09-01,8.3337
1985-10-01,7.9099
1985-11-01,7.8076
1985-12-01,7.6524
1986-01-01,7.5541
1986-02-01,7.2789
1986-03-01,7.1711
1986-04-01,7.1603
1986-05-01,7.4106
1986-06-01,7.6117
1986-07-01,7.48
1986-08-01,7.3534
1986-09-01,7.3429
1986-10-01,7.361
1986-11-01,7.5401
1986-12-01,7.5294
1987-01-01,7.1731
1987-02-01,7.0067
1987-03-01,6.9335
1987-04-01,6.7756
1987-05-01,6.6632
1987-06-01,6.7148
1987-07-01,6.7632
1987-08-01,6.7911
1987-09-01,6.6505
1987-10-01,6.6311
1987-11-01,6.4233
1987-12-01,6.382
1988-01-01,6.3538
1988-02-01,6.4167
1988-03-01,6.3337
1988-04-01,6.214
1988-05-01,6.1875
1988-06-01,6.3951
1988-07-01,6.7207
1988-08-01,6.9016
1988-09-01,6.915
1988-10-01,6.74
1988-11-01,6.5796
1988-12-01,6.5235
1989-01-01,6.6808
1989-02-01,6.7254
1989-03-01,6.8059
1989-04-01,6.7964
1989-05-01,7.0337
1989-06-01,7.1852
1989-07-01,6.9479
1989-08-01,7.048
1989-09-01,7.1265
