DATE,EXSDUS
1971-01-01,5.1639
1971-02-01,5.1726
1971-03-01,5.1628
1971-04-01,5.163
1971-05-01,5.166
1971-06-01,5.1625
1971-07-01,5.1623
1971-08-01,5.1279
1971-09-01,5.0681
1971-10-01,5.0217
1971-11-01,5.0028
1971-12-01,4.8939
1972-01-01,4.8238
1972-02-01,4.7944
1972-03-01,4.772
1972-04-01,4.7831
1972-05-01,4.7546
1972-06-01,4.7391
1972-07-01,4.7316
1972-08-01,4.7258
1972-09-01,4.7292
1972-10-01,4.7442
1972-11-01,4.7448
1972-12-01,4.7438
1973-01-01,4.7411
1973-02-01,4.5624
1973-03-01,4.4294
1973-04-01,4.5124
1973-05-01,4.4328
1973-06-01,4.2121
1973-07-01,4.0438
1973-08-01,4.1557
1973-09-01,4.2072
1973-10-01,4.1769
1973-11-01,4.3459
1973-12-01,4.5403
1974-01-01,4.813
1974-02-01,4.6793
1974-03-01,4.5648
1974-04-01,4.4004
1974-05-01,4.2763
1974-06-01,4.3699
1974-07-01,4.3745
1974-08-01,4.4257
1974-09-01,4.4778
1974-10-01,4.3943
1974-11-01,4.3154
1974-12-01,4.1855
1975-01-01,4.0409
1975-02-01,3.9769
1975-03-01,3.9245
1975-04-01,3.973
1975-05-01,3.9337
1975-06-01,3.9166
1975-07-01,4.1329
1975-08-01,4.3153
1975-09-01,4.4453
1975-10-01,4.3924
1975-11-01,4.3884
1975-12-01,4.4081
1976-01-01,4.3799
1976-02-01,4.3744
1976-03-01,4.4049
1976-04-01,4.4035
1976-05-01,4.4146
1976-06-01,4.4495
1976-07-01,4.4684
1976-08-01,4.4132
1976-09-01,4.3486
1976-10-01,4.2534
1976-11-01,4.2196
1976-12-01,4.1579
1977-01-01,4.2141
1977-02-01,4.2476
1977-03-01,4.2148
1977-04-01,4.3473
1977-05-01,4.3551
1977-06-01,4.4199
1977-07-01,4.3498
1977-08-01,4.455
1977-09-01,4.8539
1977-10-01,4.797
1977-11-01,4.7966
1977-12-01,4.7524
1978-01-01,4.6702
1978-02-01,4.6396
1978-03-01,4.6099
1978-04-01,4.6019
1978-05-01,4.6532
1978-06-01,4.6106
1978-07-01,4.543
1978-08-01,4.4403
1978-09-01,4.4264
1978-10-01,4.2846
1978-11-01,4.3758
1978-12-01,4.3852
1979-01-01,4.3505
1979-02-01,4.3673
1979-03-01,4.3667
1979-04-01,4.3915
1979-05-01,4.3946
1979-06-01,4.343
1979-07-01,4.222
1979-08-01,4.2206
1979-09-01,4.1913
1979-10-01,4.2115
1979-11-01,4.2236
1979-12-01,4.178
1980-01-01,4.1474
1980-02-01,4.1713
1980-03-01,4.3476
1980-04-01,4.3743
1980-05-01,4.2141
1980-06-01,4.1676
1980-07-01,4.1258
1980-08-01,4.1749
1980-09-01,4.1542
1980-10-01,4.194
1980-11-01,4.303
1980-12-01,4.4014
1981-01-01,4.4477
1981-02-01,4.6013
1981-03-01,4.6078
1981-04-01,4.6934
1981-05-01,4.8905
1981-06-01,5.0503
1981-07-01,5.1835
1981-08-01,5.3
1981-09-01,5.4303
1981-10-01,5.5492
1981-11-01,5.4894
1981-12-01,5.5411
1982-01-01,5.6207
1982-02-01,5.7579
1982-03-01,5.8361
1982-04-01,5.9144
1982-05-01,5.7888
1982-06-01,6.0245
1982-07-01,6.1159
1982-08-01,6.1441
1982-09-01,6.2314
1982-10-01,7.1543
1982-11-01,7.5095
1982-12-01,7.3555
1983-01-01,7.3227
1983-02-01,7.4385
1983-03-01,7.4882
1983-04-01,7.4941
1983-05-01,7.4979
1983-06-01,7.6351
1983-07-01,7.6937
1983-08-01,7.8585
1983-09-01,7.8773
1983-10-01,7.7844
1983-11-01,7.9202
1983-12-01,8.0608
1984-01-01,8.1782
1984-02-01,7.9977
1984-03-01,7.7323
1984-04-01,7.8444
1984-05-01,8.0782
1984-06-01,8.0993
1984-07-01,8.3063
1984-08-01,8.3489
1984-09-01,8.5892
1984-10-01,8.6887
1984-11-01,8.5957
1984-12-01,8.8614
1985-01-01,9.0716
1985-02-01,9.3364
1985-03-01,9.4135
1985-04-01,8.9946
1985-05-01,8.9895
1985-06-01,8.8566
1985-07-01,8.4703
1985-08-01,8.3106
1985-09-01,8.3908
1985-10-01,7.9558
1985-11-01,7.8127
1985-12-01,7.6817
1986-01-01,7.5939
1986-02-01,7.3997
1986-03-01,7.261
1986-04-01,7.2433
1986-05-01,7.1458
1986-06-01,7.2125
1986-07-01,7.0715
1986-08-01,6.9365
1986-09-01,6.9191
1986-10-01,6.8901
1986-11-01,6.9683
1986-12-01,6.9081
1987-01-01,6.6188
1987-02-01,6.5016
1987-03-01,6.4202
1987-04-01,6.3194
1987-05-01,6.2606
1987-06-01,6.3482
1987-07-01,6.4466
1987-08-01,6.4898
1987-09-01,6.3844
1987-10-01,6.356
1987-11-01,6.0744
1987-12-01,5.9473
1988-01-01,5.9749
1988-02-01,6.0524
1988-03-01,5.9497
1988-04-01,5.8892
1988-05-01,5.9091
1988-06-01,6.1074
1988-07-01,6.3542
1988-08-01,6.4878
1988-09-01,6.4448
1988-10-01,6.2694
1988-11-01,6.0968
1988-12-01,6.0888
1989-01-01,6.2725
1989-02-01,6.3238
1989-03-01,6.3933
1989-04-01,6.3689
1989-05-01,6.5756
1989-06-01,6.6872
1989-07-01,6.4653
1989-08-01,6.5481
1989-09-01,6.6103
1989-10-01,6.458
1989-11-01,6.4306
1989-12-01,6.292
1990-01-01,6.1776
1990-02-01,6.125
1990-03-01,6.1683
1990-04-01,6.116
1990-05-01,6.056
1990-06-01,6.0896
1990-07-01,5.947
1990-08-01,5.7754
1990-09-01,5.7663
1990-10-01,5.6411
1990-11-01,5.5633
1990-12-01,5.6338
1991-01-01,5.6345
1991-02-01,5.5516
1991-03-01,5.9081
1991-04-01,6.1145
1991-05-01,6.1578
1991-06-01,6.4235
1991-07-01,6.4609
1991-08-01,6.3311
1991-09-01,6.1652
1991-10-01,6.1552
1991-11-01,5.9246
1991-12-01,5.7158
1992-01-01,5.7461
1992-02-01,5.8764
1992-03-01,6.0263
1992-04-01,5.9667
1992-05-01,5.8462
1992-06-01,5.6792
1992-07-01,5.4084
1992-08-01,5.2745
1992-09-01,5.3685
1992-10-01,5.6006
1992-11-01,6.2528
1992-12-01,6.8903
1993-01-01,7.2536
1993-02-01,7.5566
1993-03-01,7.7362
1993-04-01,7.45
1993-05-01,7.3271
1993-06-01,7.4541
1993-07-01,7.9802
1993-08-01,8.0466
1993-09-01,8.017
1993-10-01,8.0195
1993-11-01,8.2661
1993-12-01,8.3501
1994-01-01,8.1185
1994-02-01,7.9869
1994-03-01,7.9156
1994-04-01,7.885
1994-05-01,7.7181
1994-06-01,7.7968
1994-07-01,7.7471
1994-08-01,7.742
1994-09-01,7.5227
1994-10-01,7.2631
1994-11-01,7.3637
1994-12-01,7.5161
1995-01-01,7.4775
1995-02-01,7.3914
1995-03-01,7.2787
1995-04-01,7.3455
1995-05-01,7.3072
1995-06-01,7.2631
1995-07-01,7.1749
1995-08-01,7.2383
1995-09-01,7.1227
1995-10-01,6.8301
1995-11-01,6.6088
1995-12-01,6.6393
1996-01-01,6.7405
1996-02-01,6.8775
1996-03-01,6.7318
1996-04-01,6.7141
1996-05-01,6.7984
1996-06-01,6.6807
1996-07-01,6.6394
1996-08-01,6.6211
1996-09-01,6.6427
1996-10-01,6.6006
1996-11-01,6.6269
1996-12-01,6.8283
1997-01-01,7.0692
1997-02-01,7.4069
1997-03-01,7.6502
1997-04-01,7.6942
1997-05-01,7.6856
1997-06-01,7.7506
1997-07-01,7.8188
1997-08-01,7.9886
1997-09-01,7.6887
1997-10-01,7.5765
1997-11-01,7.5595
1997-12-01,7.7977
1998-01-01,8.0193
1998-02-01,8.0723
1998-03-01,7.9677
1998-04-01,7.8238
1998-05-01,7.7026
1998-06-01,7.9174
1998-07-01,7.9942
1998-08-01,8.1282
1998-09-01,7.8816
1998-10-01,7.8395
1998-11-01,8.014
1998-12-01,8.0716
1999-01-01,7.8188
1999-02-01,7.9532
1999-03-01,8.2144
1999-04-01,8.3293
1999-05-01,8.4432
1999-06-01,8.5065
1999-07-01,8.4431
1999-08-01,8.2589
1999-09-01,8.2264
1999-10-01,8.1492
1999-11-01,8.3586
1999-12-01,8.491
2000-01-01,8.4918
2000-02-01,8.648
2000-03-01,8.6971
2000-04-01,8.7486
2000-05-01,9.0925
2000-06-01,8.7471
2000-07-01,8.964
2000-08-01,9.2771
2000-09-01,9.6853
2000-10-01,9.993
2000-11-01,10.0965
2000-12-01,9.6604
2001-01-01,9.491
2001-02-01,9.7518
2001-03-01,10.0516
2001-04-01,10.2035
2001-05-01,10.3513
2001-06-01,10.793
2001-07-01,10.7603
2001-08-01,10.3329
2001-09-01,10.6353
2001-10-01,10.5661
2001-11-01,10.6117
2001-12-01,10.5753
2002-01-01,10.4561
2002-02-01,10.5501
2002-03-01,10.3324
2002-04-01,10.307
2002-05-01,10.0642
2002-06-01,9.5376
2002-07-01,9.3474
2002-08-01,9.461
2002-09-01,9.34
2002-10-01,9.2846
2002-11-01,9.0652
2002-12-01,8.9303
2003-01-01,8.6368
2003-02-01,8.4837
2003-03-01,8.544
2003-04-01,8.4314
2003-05-01,7.9213
2003-06-01,7.8116
2003-07-01,8.0929
2003-08-01,8.2821
2003-09-01,8.0426
2003-10-01,7.6957
2003-11-01,7.6799
2003-12-01,7.3395
2004-01-01,7.2334
2004-02-01,7.263
2004-03-01,7.5322
2004-04-01,7.6496
2004-05-01,7.6097
2004-06-01,7.5323
2004-07-01,7.5027
2004-08-01,7.5362
2004-09-01,7.4356
2004-10-01,7.2453
2004-11-01,6.9257
2004-12-01,6.6969
2005-01-01,6.8991
2005-02-01,6.98
2005-03-01,6.8954
2005-04-01,7.0814
2005-05-01,7.2382
2005-06-01,7.6229
2005-07-01,7.8263
2005-08-01,7.5951
2005-09-01,7.63
2005-10-01,7.8433
2005-11-01,8.1157
2005-12-01,7.9518
2006-01-01,7.6697
2006-02-01,7.8226
2006-03-01,7.8109
2006-04-01,7.6005
2006-05-01,7.305
2006-06-01,7.2949
2006-07-01,7.2654
2006-08-01,7.189
2006-09-01,7.2844
2006-10-01,7.3338
2006-11-01,7.0612
2006-12-01,6.8398
2007-01-01,6.9901
2007-02-01,7.02
2007-03-01,7.0171
2007-04-01,6.8371
2007-05-01,6.8094
2007-06-01,6.9485
