DATE,EXSFUS
1971-01-01,0.7153
1971-02-01,0.7117
1971-03-01,0.7114
1971-04-01,0.7117
1971-05-01,0.7114
1971-06-01,0.7114
1971-07-01,0.7115
1971-08-01,0.707
1971-09-01,0.7098
1971-10-01,0.7121
1971-11-01,0.7122
1971-12-01,0.7296
1972-01-01,0.7616
1972-02-01,0.752
1972-03-01,0.7476
1972-04-01,0.7501
1972-05-01,0.7473
1972-06-01,0.7541
1972-07-01,0.7987
1972-08-01,0.7982
1972-09-01,0.7983
1972-10-01,0.8036
1972-11-01,0.7842
1972-12-01,0.7839
1973-01-01,0.784
1973-02-01,0.7428
1973-03-01,0.7071
1973-04-01,0.7057
1973-05-01,0.706
1973-06-01,0.6755
1973-07-01,0.6728
1973-08-01,0.6733
1973-09-01,0.6734
1973-10-01,0.6732
1973-11-01,0.6736
1973-12-01,0.6727
1974-01-01,0.6727
1974-02-01,0.6722
1974-03-01,0.6717
1974-04-01,0.6718
1974-05-01,0.6721
1974-06-01,0.6718
1974-07-01,0.6679
1974-08-01,0.6812
1974-09-01,0.7008
1974-10-01,0.7005
1974-11-01,0.695
1974-12-01,0.6911
1975-01-01,0.6894
1975-02-01,0.6795
1975-03-01,0.6725
1975-04-01,0.6802
1975-05-01,0.6817
1975-06-01,0.6836
1975-07-01,0.7156
1975-08-01,0.7157
1975-09-01,0.7676
1975-10-01,0.8708
1975-11-01,0.8719
1975-12-01,0.8714
1976-01-01,0.8711
1976-02-01,0.8711
1976-03-01,0.8708
1976-04-01,0.8708
1976-05-01,0.8707
1976-06-01,0.87
1976-07-01,0.8709
1976-08-01,0.8708
1976-09-01,0.8713
1976-10-01,0.8707
1976-11-01,0.8705
1976-12-01,0.8699
1977-01-01,0.87
1977-02-01,0.8696
1977-03-01,0.8696
1977-04-01,0.8701
1977-05-01,0.8696
1977-06-01,0.8705
1977-07-01,0.8697
1977-08-01,0.8696
1977-09-01,0.8696
1977-10-01,0.8693
1977-11-01,0.8692
1977-12-01,0.8693
1978-01-01,0.8695
1978-02-01,0.8692
1978-03-01,0.8692
1978-04-01,0.8692
1978-05-01,0.8695
1978-06-01,0.8701
1978-07-01,0.8696
1978-08-01,0.8696
1978-09-01,0.8696
1978-10-01,0.8696
1978-11-01,0.8693
1978-12-01,0.8695
1979-01-01,0.8699
1979-02-01,0.8565
