DATE,EXSLUS
1973-01-01,6.7094
1973-02-01,6.496
1973-03-01,6.3398
1973-04-01,6.3383
1973-05-01,6.2953
1973-06-01,6.0467
1973-07-01,6.0872
1973-08-01,6.2706
1973-09-01,6.3425
1973-10-01,6.4596
1973-11-01,6.4512
1973-12-01,6.6484
1974-01-01,6.9368
1974-02-01,6.9575
1974-03-01,6.8346
1974-04-01,6.5976
1974-05-01,6.5509
1974-06-01,6.4831
1974-07-01,6.4754
1974-08-01,6.5161
1974-09-01,6.75
1974-10-01,6.7157
1974-11-01,6.6893
1974-12-01,6.7114
1975-01-01,6.7114
1975-02-01,6.5631
1975-03-01,6.4935
1975-04-01,6.4935
1975-05-01,6.4935
1975-06-01,6.5946
1975-07-01,7.0414
1975-08-01,7.2818
1975-09-01,7.4406
1975-10-01,7.5033
1975-11-01,7.5239
1975-12-01,7.6487
1976-01-01,7.7183
1976-02-01,7.718
1976-03-01,7.8555
1976-04-01,8.1772
1976-05-01,8.4004
1976-06-01,8.6702
1976-07-01,8.7195
1976-08-01,8.6926
1976-09-01,8.6838
1976-10-01,8.7318
1976-11-01,8.7117
1976-12-01,8.8929
1977-01-01,8.7555
1977-02-01,8.7396
1977-03-01,7.8605
1977-04-01,7.3121
1977-05-01,7.2993
1977-06-01,7.319
1977-07-01,7.2993
1977-08-01,7.2884
1977-09-01,8.1799
1977-10-01,8.6074
1977-11-01,12.5619
1977-12-01,16.129
1978-01-01,16.086
1978-02-01,15.6239
1978-03-01,15.3846
1978-04-01,15.3966
1978-05-01,15.8879
1978-06-01,15.9091
1978-07-01,15.8136
1978-08-01,15.6442
1978-09-01,15.6607
1978-10-01,15.6846
1978-11-01,15.4638
1978-12-01,15.4607
1979-01-01,15.5065
1979-02-01,15.5186
1979-03-01,15.4817
1979-04-01,15.5148
1979-05-01,15.567
1979-06-01,15.6105
1979-07-01,15.6796
1979-08-01,15.585
1979-09-01,15.5945
1979-10-01,15.625
1979-11-01,15.6123
1979-12-01,15.5521
1980-01-01,15.5466
1980-02-01,15.54
1980-03-01,15.6036
1980-04-01,16.2603
1980-05-01,16.1551
1980-06-01,16.0811
1980-07-01,15.8048
1980-08-01,15.881
1980-09-01,15.8281
1980-10-01,16.7641
1980-11-01,17.2
1980-12-01,17.4323
1981-01-01,16.8029
1981-02-01,17.865
1981-03-01,18.01
1981-04-01,18.4614
1981-05-01,18.37
1981-06-01,18.5291
1981-07-01,18.6952
1981-08-01,19.2613
1981-09-01,19.9864
1981-10-01,20.6736
1981-11-01,20.8256
1981-12-01,20.2595
1982-01-01,20.2285
1982-02-01,20.6111
1982-03-01,20.7
1982-04-01,20.575
1982-05-01,20.365
1982-06-01,20.75
1982-07-01,20.8952
1982-08-01,20.8955
1982-09-01,20.9181
1982-10-01,20.898
1982-11-01,21.0089
1982-12-01,21.1657
1983-01-01,21.3776
1983-02-01,22.3555
1983-03-01,22.9817
1983-04-01,22.9714
1983-05-01,22.97
1983-06-01,23.0505
1983-07-01,24.0825
1983-08-01,24.257
1983-09-01,24.3971
1983-10-01,24.4104
1983-11-01,24.5716
1983-12-01,24.7671
1984-01-01,25.181
1984-02-01,25.2705
1984-03-01,25.1773
1984-04-01,25.1333
1984-05-01,25.1614
1984-06-01,25.1762
1984-07-01,25.2229
1984-08-01,25.2848
1984-09-01,25.6046
1984-10-01,25.9061
1984-11-01,26.0747
1984-12-01,26.2132
1985-01-01,26.3924
1985-02-01,26.6047
1985-03-01,26.8358
1985-04-01,27.1134
1985-05-01,27.4046
1985-06-01,27.433
1985-07-01,27.3273
1985-08-01,27.3767
1985-09-01,27.43
1985-10-01,27.4213
1985-11-01,27.4487
1985-12-01,27.4205
1986-01-01,27.5202
1986-02-01,27.5962
1986-03-01,27.6235
1986-04-01,27.7911
1986-05-01,27.9318
1986-06-01,27.9549
1986-07-01,28.0648
1986-08-01,28.1867
1986-09-01,28.2971
1986-10-01,28.4072
1986-11-01,28.4711
1986-12-01,28.5317
1987-01-01,28.5783
1987-02-01,28.6624
1987-03-01,28.8234
1987-04-01,28.9048
1987-05-01,28.9883
1987-06-01,29.171
1987-07-01,29.4049
1987-08-01,29.643
1987-09-01,29.9022
1987-10-01,30.3471
1987-11-01,30.5188
1987-12-01,30.6442
1988-01-01,30.8246
1988-02-01,30.8589
1988-03-01,30.8924
1988-04-01,30.9393
1988-05-01,30.9926
1988-06-01,31.1327
1988-07-01,31.8325
1988-08-01,32.5029
1988-09-01,32.9536
1988-10-01,32.9891
1988-11-01,32.9887
1988-12-01,33.0162
1989-01-01,33.1323
1989-02-01,33.1154
1989-03-01,33.4165
1989-04-01,34.021
1989-05-01,34.1448
1989-06-01,34.4295
1989-07-01,34.7636
1989-08-01,36.0494
1989-09-01,39.5719
1989-10-01,40.0175
1989-11-01,40.0166
1989-12-01,40.0175
1990-01-01,40.0175
1990-02-01,40.0175
1990-03-01,40.0175
1990-04-01,40.0175
1990-05-01,40.0225
1990-06-01,40.0175
1990-07-01,40.0175
1990-08-01,40.0066
1990-09-01,39.9525
1990-10-01,40.2853
1990-11-01,40.355
1990-12-01,40.2435
1991-01-01,40.3004
1991-02-01,40.5983
1991-03-01,40.7499
1991-04-01,40.8363
1991-05-01,40.9875
1991-06-01,41.2114
1991-07-01,41.2125
1991-08-01,41.723
1991-09-01,41.935
1991-10-01,42.1789
1991-11-01,42.3739
1991-12-01,42.5225
1992-01-01,42.6653
1992-02-01,42.8788
1992-03-01,42.7442
1992-04-01,43.2308
1992-05-01,43.445
1992-06-01,43.9413
1992-07-01,44.014
1992-08-01,44.05
1992-09-01,44.1591
1992-10-01,44.2758
1992-11-01,44.4044
1992-12-01,45.0463
1993-01-01,46.3071
1993-02-01,46.3507
1993-03-01,47.0685
1993-04-01,47.7115
1993-05-01,47.965
1993-06-01,48.0733
1993-07-01,48.643
1993-08-01,48.8056
1993-09-01,48.8538
1993-10-01,48.9538
1993-11-01,49.1873
1993-12-01,49.3222
1994-01-01,49.4595
1994-02-01,49.1129
1994-03-01,48.9308
1994-04-01,48.9251
1994-05-01,49.0667
1994-06-01,49.2323
1994-07-01,49.01
1994-08-01,49.2413
1994-09-01,49.26
1994-10-01,49.112
1994-11-01,49.1628
1994-12-01,49.5314
1995-01-01,49.87
1995-02-01,49.8953
1995-03-01,49.627
1995-04-01,49.3705
1995-05-01,49.5582
1995-06-01,50.21
1995-07-01,50.8985
1995-08-01,51.2265
1995-09-01,52.5465
1995-10-01,52.5386
1995-11-01,53.1986
1995-12-01,53.8075
1996-01-01,53.8738
1996-02-01,53.716
1996-03-01,53.7476
1996-04-01,54.1632
1996-05-01,54.8677
1996-06-01,55.5285
1996-07-01,55.2932
1996-08-01,55.6027
1996-09-01,56.05
1996-10-01,57.0155
1996-11-01,56.9874
1996-12-01,56.7295
1997-01-01,57.2776
1997-02-01,57.7721
1997-03-01,57.8729
1997-04-01,58.8255
1997-05-01,58.8619
1997-06-01,58.531
1997-07-01,58.7323
1997-08-01,59.1886
1997-09-01,59.7129
1997-10-01,59.7232
1997-11-01,60.1322
1997-12-01,61.5914
1998-01-01,62.2805
1998-02-01,62.3632
1998-03-01,62.0834
1998-04-01,62.9032
1998-05-01,64.2605
1998-06-01,65.1495
1998-07-01,65.9084
1998-08-01,66.6424
1998-09-01,66.26
1998-10-01,66.3452
1998-11-01,67.5784
1998-12-01,68.1173
