DATE,EXTHUS
1981-01-01,20.6611
1981-02-01,20.6587
1981-03-01,20.5491
1981-04-01,20.7227
1981-05-01,20.875
1981-06-01,20.9864
1981-07-01,22.1465
1981-08-01,23.05
1981-09-01,23.05
1981-10-01,23.05
1981-11-01,23.05
1981-12-01,23.05
1982-01-01,23.05
1982-02-01,23.05
1982-03-01,23.05
1982-04-01,23.025
1982-05-01,23
1982-06-01,23
1982-07-01,23
1982-08-01,23
1982-09-01,23
1982-10-01,23
1982-11-01,23
1982-12-01,23
1983-01-01,23
1983-02-01,22.9995
1983-03-01,22.9909
1983-04-01,22.99
1983-05-01,22.9881
1983-06-01,22.99
1983-07-01,22.99
1983-08-01,22.99
1983-09-01,22.99
1983-10-01,22.99
1983-11-01,22.99
1983-12-01,22.9924
1984-01-01,23.0057
1984-02-01,23
1984-03-01,23.0036
1984-04-01,23.01
1984-05-01,23.01
1984-06-01,23.0105
1984-07-01,23.02
1984-08-01,23.0183
1984-09-01,23.0126
1984-10-01,23.02
1984-11-01,26.7363
1984-12-01,27.091
1985-01-01,27.33
1985-02-01,27.9606
1985-03-01,28.0967
1985-04-01,27.4662
1985-05-01,27.5539
1985-06-01,27.4333
1985-07-01,27.0533
1985-08-01,26.8895
1985-09-01,27.0505
1985-10-01,26.569
1985-11-01,26.3153
1985-12-01,26.7152
1986-01-01,26.6757
1986-02-01,26.4916
1986-03-01,26.4176
1986-04-01,26.4286
1986-05-01,26.3271
1986-06-01,26.4005
1986-07-01,26.2036
1986-08-01,26.0929
1986-09-01,26.12
1986-10-01,26.1291
1986-11-01,26.2778
1986-12-01,26.2395
1987-01-01,25.9875
1987-02-01,25.9332
1987-03-01,25.8814
1987-04-01,25.6905
1987-05-01,25.6295
1987-06-01,25.7795
1987-07-01,26.0413
1987-08-01,25.9257
1987-09-01,25.7652
1987-10-01,25.7833
1987-11-01,25.4953
1987-12-01,25.2495
1988-01-01,25.2353
1988-02-01,25.3244
1988-03-01,25.2317
1988-04-01,25.171
1988-05-01,25.17
1988-06-01,25.2805
1988-07-01,25.523
1988-08-01,25.56
1988-09-01,25.5486
1988-10-01,25.365
1988-11-01,25.1456
1988-12-01,25.1461
1989-01-01,25.322
1989-02-01,25.3863
1989-03-01,25.4857
1989-04-01,25.524
1989-05-01,25.7571
1989-06-01,25.9086
1989-07-01,25.821
1989-08-01,25.8687
1989-09-01,26.0121
1989-10-01,25.8681
1989-11-01,25.8771
1989-12-01,25.7775
1990-01-01,25.7447
1990-02-01,25.7326
1990-03-01,25.9255
1990-04-01,26.0242
1990-05-01,25.9279
1990-06-01,25.8757
1990-07-01,25.7058
1990-08-01,25.5791
1990-09-01,25.3763
1990-10-01,25.1298
1990-11-01,25.078
1990-12-01,25.2075
1991-01-01,25.2435
1991-02-01,25.1412
1991-03-01,25.4468
1991-04-01,25.5784
1991-05-01,25.6453
1991-06-01,25.7655
1991-07-01,25.7452
1991-08-01,25.7195
1991-09-01,25.6172
1991-10-01,25.5553
1991-11-01,25.4967
1991-12-01,25.4309
1992-01-01,25.3281
1992-02-01,25.4625
1992-03-01,25.6368
1992-04-01,25.6435
1992-05-01,25.5497
1992-06-01,25.3995
1992-07-01,25.2932
1992-08-01,25.265
1992-09-01,25.2088
1992-10-01,25.2533
1992-11-01,25.4616
1992-12-01,25.4875
1993-01-01,25.5234
1993-02-01,25.5076
1993-03-01,25.4252
1993-04-01,25.2514
1993-05-01,25.2342
1993-06-01,25.2138
1993-07-01,25.3312
1993-08-01,25.191
1993-09-01,25.1956
1993-10-01,25.2693
1993-11-01,25.3823
1993-12-01,25.4596
1994-01-01,25.5431
