DATE,INTGSBCAM193N
1984-12-01,11.66
1985-01-01,11.38
1985-02-01,12.3
1985-03-01,11.93
1985-04-01,11.5
1985-05-01,10.76
1985-06-01,10.88
1985-07-01,10.91
1985-08-01,10.79
1985-09-01,10.96
1985-10-01,10.72
1985-11-01,10.34
1985-12-01,10.06
1986-01-01,10.49
1986-02-01,9.96
1986-03-01,9.54
1986-04-01,9.32
1986-05-01,9.52
1986-06-01,9.42
1986-07-01,9.36
1986-08-01,9.16
1986-09-01,9.45
1986-10-01,9.53
1986-11-01,9.26
1986-12-01,9.23
1987-01-01,8.94
1987-02-01,9.1
1987-03-01,8.98
1987-04-01,9.82
1987-05-01,9.92
1987-06-01,9.78
1987-07-01,10.23
1987-08-01,10.44
1987-09-01,11.14
1987-10-01,10.21
1987-11-01,10.5
1987-12-01,10.34
1988-01-01,9.74
1988-02-01,9.61
1988-03-01,10.13
1988-04-01,10.36
1988-05-01,10.38
1988-06-01,10.13
1988-07-01,10.42
1988-08-01,10.65
1988-09-01,10.46
1988-10-01,10.13
1988-11-01,10.32
1988-12-01,10.36
1989-01-01,10.18
1989-02-01,10.55
1989-03-01,10.49
1989-04-01,10.19
1989-05-01,9.85
1989-06-01,9.6
1989-07-01,9.62
1989-08-01,9.62
1989-09-01,9.91
1989-10-01,9.54
1989-11-01,9.8
1989-12-01,9.69
1990-01-01,10.04
1990-02-01,10.64
1990-03-01,10.91
1990-04-01,11.54
1990-05-01,10.86
1990-06-01,10.72
1990-07-01,10.78
1990-08-01,10.83
1990-09-01,11.54
1990-10-01,11.15
1990-11-01,10.7
1990-12-01,10.51
1991-01-01,10.22
1991-02-01,9.89
1991-03-01,9.88
1991-04-01,9.91
1991-05-01,9.91
1991-06-01,10.36
1991-07-01,10.17
1991-08-01,9.97
1991-09-01,9.59
1991-10-01,9.12
1991-11-01,9.18
1991-12-01,8.97
1992-01-01,8.92
1992-02-01,8.97
1992-03-01,9.28
1992-04-01,9.51
1992-05-01,9.17
1992-06-01,8.87
1992-07-01,8.21
1992-08-01,8.19
1992-09-01,8.53
1992-10-01,8.33
1992-11-01,8.66
1992-12-01,8.54
1993-01-01,8.67
1993-02-01,8.19
1993-03-01,8.27
1993-04-01,8.27
1993-05-01,8.12
1993-06-01,7.96
1993-07-01,7.79
1993-08-01,7.4
1993-09-01,7.55
1993-10-01,7.35
1993-11-01,7.45
1993-12-01,7.12
1994-01-01,6.86
1994-02-01,7.33
1994-03-01,8.25
1994-04-01,8.18
1994-05-01,8.55
1994-06-01,9.29
1994-07-01,9.5
1994-08-01,8.89
1994-09-01,9.04
1994-10-01,9.29
1994-11-01,9.24
1994-12-01,9.16
1995-01-01,9.41
1995-02-01,8.86
1995-03-01,8.7
1995-04-01,8.44
1995-05-01,8.11
1995-06-01,8.02
1995-07-01,8.5
1995-08-01,8.24
1995-09-01,8.11
1995-10-01,8.11
