DATE,LFEAINTTCAM647N
1976-01-01,2025400.0
1976-02-01,2030700.0
1976-03-01,2071199.9999999998
1976-04-01,2059699.9999999998
1976-05-01,2119100.0
1976-06-01,2187700.0
1976-07-01,2241300.0
1976-08-01,2245900.0
1976-09-01,2187400.0
1976-10-01,2156700.0
1976-11-01,2144600.0
1976-12-01,2090600.0
1977-01-01,2054199.9999999998
1977-02-01,2053100.0
1977-03-01,2041600.0
1977-04-01,2037900.0
1977-05-01,2088100.0
1977-06-01,2132300.0
1977-07-01,2120200.0
1977-08-01,2163300.0
1977-09-01,2139300.0
1977-10-01,2108300.0
1977-11-01,2113400.0
1977-12-01,2077199.9999999998
1978-01-01,2019700.0
1978-02-01,2045400.0
1978-03-01,2070400.0
1978-04-01,2092100.0
1978-05-01,2172900.0
1978-06-01,2244000
1978-07-01,2279400.0
1978-08-01,2315600.0
1978-09-01,2234300.0
1978-10-01,2244700.0
1978-11-01,2255000
1978-12-01,2235300.0
1979-01-01,2190200.0
1979-02-01,2204800.0
1979-03-01,2217700.0
1979-04-01,2231600.0
1979-05-01,2258700.0
1979-06-01,2325200.0
1979-07-01,2408000
1979-08-01,2440700.0
1979-09-01,2365700.0
1979-10-01,2378800.0
1979-11-01,2351500.0
1979-12-01,2321900.0
1980-01-01,2267000
1980-02-01,2290300.0
1980-03-01,2322100.0
1980-04-01,2317300.0
1980-05-01,2364700.0
1980-06-01,2470900.0
1980-07-01,2477700.0
1980-08-01,2476200.0
1980-09-01,2428600.0
1980-10-01,2432400.0
1980-11-01,2380200.0
1980-12-01,2336500.0
1981-01-01,2284300.0
1981-02-01,2321000
1981-03-01,2338400.0
1981-04-01,2340800.0
1981-05-01,2435700.0
1981-06-01,2474000
1981-07-01,2536200.0
1981-08-01,2552100.0
1981-09-01,2466700.0
1981-10-01,2427500.0
1981-11-01,2393800.0
1981-12-01,2275000
1982-01-01,2204200.0
1982-02-01,2215600.0
1982-03-01,2207600.0
1982-04-01,2173700.0
1982-05-01,2211400.0
1982-06-01,2229100.0
1982-07-01,2246700.0
1982-08-01,2245200.0
1982-09-01,2150600.0
1982-10-01,2115900.0
1982-11-01,2054199.9999999998
1982-12-01,2005100.0
1983-01-01,1965700.0
1983-02-01,1972300.0
1983-03-01,2002600.0
1983-04-01,1994000
1983-05-01,2082100.0
1983-06-01,2137600.0
1983-07-01,2194100.0
1983-08-01,2222700.0
1983-09-01,2186600.0
1983-10-01,2171700.0
1983-11-01,2156200.0
1983-12-01,2113300.0
1984-01-01,2048400.0
1984-02-01,2095199.9999999998
1984-03-01,2111300.0
1984-04-01,2132100.0
1984-05-01,2215100.0
1984-06-01,2282900.0
1984-07-01,2329600.0
1984-08-01,2332800.0
1984-09-01,2258900.0
1984-10-01,2276100.0
1984-11-01,2231800.0
1984-12-01,2189200.0
1985-01-01,2079600.0
1985-02-01,2100100.0
1985-03-01,2128400.0
1985-04-01,2128100.0
1985-05-01,2224700.0
1985-06-01,2244300.0
1985-07-01,2308900.0
1985-08-01,2314500.0
1985-09-01,2221600.0
1985-10-01,2253200.0
1985-11-01,2257800.0
1985-12-01,2219100.0
1986-01-01,2191400.0
1986-02-01,2230600.0
1986-03-01,2227800.0
1986-04-01,2215400.0
1986-05-01,2234300.0
1986-06-01,2302900.0
1986-07-01,2316100.0
1986-08-01,2300400.0
1986-09-01,2242600.0
1986-10-01,2245000
1986-11-01,2216200.0
1986-12-01,2196800.0
1987-01-01,2214500.0
1987-02-01,2229300.0
1987-03-01,2251800.0
1987-04-01,2275800.0
1987-05-01,2365500.0
1987-06-01,2415300.0
1987-07-01,2438400.0
1987-08-01,2439100.0
1987-09-01,2368400.0
1987-10-01,2380400.0
1987-11-01,2365000
1987-12-01,2338700.0
1988-01-01,2302500.0
1988-02-01,2332600.0
1988-03-01,2332200.0
1988-04-01,2367500.0
1988-05-01,2438900.0
1988-06-01,2482600.0
1988-07-01,2516600.0
1988-08-01,2513100.0
1988-09-01,2441900.0
1988-10-01,2451100.0
1988-11-01,2427200.0
1988-12-01,2405700.0
1989-01-01,2386400.0
1989-02-01,2400000
1989-03-01,2393500.0
1989-04-01,2423600.0
1989-05-01,2474800.0
1989-06-01,2537800.0
1989-07-01,2560700.0
1989-08-01,2563400.0
1989-09-01,2471200.0
1989-10-01,2465700.0
1989-11-01,2440800.0
1989-12-01,2403000
1990-01-01,2341600.0
1990-02-01,2366800.0
1990-03-01,2358800.0
1990-04-01,2375700.0
1990-05-01,2410100.0
1990-06-01,2475900.0
1990-07-01,2479900.0
1990-08-01,2490400.0
1990-09-01,2388100.0
1990-10-01,2358400.0
1990-11-01,2296600.0
1990-12-01,2250100.0
1991-01-01,2200100.0
1991-02-01,2164500.0
1991-03-01,2152400.0
1991-04-01,2172200.0
1991-05-01,2241400.0
1991-06-01,2297100.0
1991-07-01,2297500.0
1991-08-01,2297600.0
1991-09-01,2258400.0
1991-10-01,2230200.0
1991-11-01,2175200.0
1991-12-01,2145100.0
1992-01-01,2091300.0000000002
1992-02-01,2089199.9999999998
1992-03-01,2073699.9999999998
1992-04-01,2108900.0
1992-05-01,2156900.0
1992-06-01,2205200.0
1992-07-01,2227400.0
1992-08-01,2212700.0
1992-09-01,2152500.0
1992-10-01,2124600.0
1992-11-01,2083500.0
1992-12-01,2051300.0000000002
1993-01-01,1999000
1993-02-01,2020800.0
1993-03-01,2031500.0
1993-04-01,2043300.0
1993-05-01,2075800.0000000002
1993-06-01,2142700.0
1993-07-01,2165100.0
1993-08-01,2151500.0
1993-09-01,2107700.0
1993-10-01,2099300.0
1993-11-01,2086600.0
1993-12-01,2042500.0
1994-01-01,1975400.0
1994-02-01,1993600.0
1994-03-01,2028500.0
1994-04-01,2055500.0
1994-05-01,2111900.0
1994-06-01,2179900.0
1994-07-01,2209800.0
1994-08-01,2206400.0
1994-09-01,2166800.0
1994-10-01,2169300.0
1994-11-01,2160200.0
1994-12-01,2137100.0
1995-01-01,2105300.0
1995-02-01,2122900.0
1995-03-01,2131700.0
1995-04-01,2152300.0
1995-05-01,2227500.0
1995-06-01,2267200.0
1995-07-01,2276700.0
1995-08-01,2280100.0
1995-09-01,2241300.0
1995-10-01,2226100.0
1995-11-01,2207600.0
1995-12-01,2169100.0
1996-01-01,2126000
1996-02-01,2137600.0
1996-03-01,2138200.0
1996-04-01,2168400.0
1996-05-01,2227200.0
1996-06-01,2265500.0
1996-07-01,2304000
1996-08-01,2336200.0
1996-09-01,2294500.0
1996-10-01,2260600.0
1996-11-01,2251100.0
1996-12-01,2226100.0
1997-01-01,2199400.0
1997-02-01,2215400.0
1997-03-01,2237300.0
1997-04-01,2248600.0
1997-05-01,2319400.0
1997-06-01,2378800.0
1997-07-01,2395700.0
1997-08-01,2417800.0
1997-09-01,2378600.0
1997-10-01,2370200.0
1997-11-01,2359100.0
1997-12-01,2350800.0
1998-01-01,2297600.0
1998-02-01,2325600.0
1998-03-01,2326400.0
1998-04-01,2347900.0
1998-05-01,2400100.0
1998-06-01,2460600.0
1998-07-01,2476200.0
1998-08-01,2493600.0
1998-09-01,2424300.0
1998-10-01,2426800.0
1998-11-01,2418300.0
1998-12-01,2380900.0
1999-01-01,2353700.0
1999-02-01,2362400.0
1999-03-01,2375600.0
1999-04-01,2385600.0
1999-05-01,2447200.0
1999-06-01,2505300.0
1999-07-01,2539600.0
1999-08-01,2541700.0
1999-09-01,2504000
1999-10-01,2520500.0
1999-11-01,2479400.0
1999-12-01,2471400.0
2000-01-01,2438500.0
2000-02-01,2435700.0
2000-03-01,2446400.0
2000-04-01,2477300.0
2000-05-01,2540500.0
2000-06-01,2565400.0
2000-07-01,2566000
2000-08-01,2584100.0
2000-09-01,2537900.0
2000-10-01,2553900.0
2000-11-01,2535100.0
2000-12-01,2527000
2001-01-01,2480500.0
2001-02-01,2467500.0
2001-03-01,2484800.0
2001-04-01,2490500.0
2001-05-01,2541400.0
2001-06-01,2569700.0
2001-07-01,2590700.0
2001-08-01,2610800.0
2001-09-01,2546800.0
2001-10-01,2533000
2001-11-01,2481600.0
2001-12-01,2457600.0
2002-01-01,2439300.0
2002-02-01,2481500.0
2002-03-01,2516100.0
2002-04-01,2521700.0
2002-05-01,2589600.0
2002-06-01,2647100.0
2002-07-01,2675400.0
2002-08-01,2714900.0
2002-09-01,2648900.0
2002-10-01,2623100.0
2002-11-01,2631200.0
2002-12-01,2585100.0
2003-01-01,2535600.0
2003-02-01,2560000
2003-03-01,2539300.0
2003-04-01,2546000
2003-05-01,2600800.0
2003-06-01,2629500.0
2003-07-01,2659200.0
2003-08-01,2661400.0
2003-09-01,2583900.0
2003-10-01,2582500.0
2003-11-01,2581600.0
2003-12-01,2542700.0
2004-01-01,2520100.0
2004-02-01,2546400.0
2004-03-01,2569400.0
2004-04-01,2591100.0
2004-05-01,2643400.0
2004-06-01,2674600.0
2004-07-01,2702700.0
2004-08-01,2706900.0
2004-09-01,2645200.0
2004-10-01,2635500.0
2004-11-01,2597100.0
2004-12-01,2558200.0
2005-01-01,2539500.0
2005-02-01,2518700.0
2005-03-01,2524300.0
2005-04-01,2512100.0
