DATE,LFEASETTCAM647N
1970-01-01,4715000
1970-02-01,4745000
1970-03-01,4763000
1970-04-01,4842000
1970-05-01,4927000
1970-06-01,5048000
1970-07-01,5120000
1970-08-01,5072000
1970-09-01,4991000
1970-10-01,5061000
1970-11-01,5107000
1970-12-01,5064000
1971-01-01,4919000
1971-02-01,4955000
1971-03-01,4931000
1971-04-01,4906000
1971-05-01,5059000
1971-06-01,5211000
1971-07-01,5323000
1971-08-01,5210000
1971-09-01,5114000
1971-10-01,5194000
1971-11-01,5221000
1971-12-01,5300000
1972-01-01,5074000
1972-02-01,5126000
1972-03-01,5158000
1972-04-01,5179000
1972-05-01,5237000
1972-06-01,5373000
1972-07-01,5531000
1972-08-01,5494000
1972-09-01,5334000
1972-10-01,5386000
1972-11-01,5456000
1972-12-01,5511000
1973-01-01,5333000
1973-02-01,5424000
1973-03-01,5402000
1973-04-01,5454000
1973-05-01,5568000
1973-06-01,5735000
1973-07-01,5754000
1973-08-01,5701000
1973-09-01,5545000
1973-10-01,5649000
1973-11-01,5702000
1973-12-01,5750000
1974-01-01,5582000
1974-02-01,5613000
1974-03-01,5615000
1974-04-01,5700000
1974-05-01,5817000
1974-06-01,5932000
1974-07-01,6050000
1974-08-01,6062000
1974-09-01,5803000
1974-10-01,5868000
1974-11-01,5960000
1974-12-01,5998000
1975-01-01,5710000
1975-02-01,5782000
1975-03-01,5812000
1975-04-01,5822000
1975-05-01,5962000
1975-06-01,6094000
1975-07-01,6173000
1975-08-01,6121000
1975-09-01,5969000
1975-10-01,6042000
1975-11-01,6046000
1975-12-01,6089000
1976-01-01,6198300
1976-02-01,6218300
1976-03-01,6287500
1976-04-01,6278500
1976-05-01,6373800
1976-06-01,6481400
1976-07-01,6577100
1976-08-01,6527500
1976-09-01,6331500
1976-10-01,6387100
1976-11-01,6404200
1976-12-01,6453700
1977-01-01,6339800
1977-02-01,6374100
1977-03-01,6426600
1977-04-01,6436700
1977-05-01,6588800
1977-06-01,6673900
1977-07-01,6792000
1977-08-01,6777400
1977-09-01,6535100
1977-10-01,6592200
1977-11-01,6569800
1977-12-01,6599300
1978-01-01,6509100
1978-02-01,6582200
1978-03-01,6632300
1978-04-01,6639500
1978-05-01,6767100
1978-06-01,6892700
1978-07-01,7060300
1978-08-01,7038600
1978-09-01,6826700
1978-10-01,6879400
1978-11-01,6886000
1978-12-01,6893800
1979-01-01,6812000
1979-02-01,6858900
1979-03-01,6914400
1979-04-01,6943600
1979-05-01,7084800
1979-06-01,7203600
1979-07-01,7340300
1979-08-01,7311600
1979-09-01,7086700
1979-10-01,7151700
1979-11-01,7178800
1979-12-01,7188700
1980-01-01,7103200
1980-02-01,7145700
1980-03-01,7185000
1980-04-01,7198800
1980-05-01,7293000
1980-06-01,7460100
1980-07-01,7556400
1980-08-01,7543900
1980-09-01,7348000
1980-10-01,7412800
1980-11-01,7442200
1980-12-01,7432700
1981-01-01,7375300
1981-02-01,7430100
1981-03-01,7448200
1981-04-01,7485200
1981-05-01,7637200
1981-06-01,7799600
1981-07-01,7839800
1981-08-01,7819700
1981-09-01,7589700
1981-10-01,7621200
1981-11-01,7604700
1981-12-01,7592500
1982-01-01,7469900
1982-02-01,7507900
1982-03-01,7521500
1982-04-01,7521800
1982-05-01,7617300
1982-06-01,7723700
1982-07-01,7769800
1982-08-01,7683700
1982-09-01,7472900
1982-10-01,7508000
1982-11-01,7487100
1982-12-01,7490700
1983-01-01,7374200
1983-02-01,7429600
1983-03-01,7508900
1983-04-01,7544000
1983-05-01,7689000
1983-06-01,7857400
1983-07-01,7955800
1983-08-01,7921000
1983-09-01,7741400
1983-10-01,7783100
1983-11-01,7755900
1983-12-01,7797500
1984-01-01,7649800
1984-02-01,7710600
1984-03-01,7747800
1984-04-01,7739400
1984-05-01,7911600
1984-06-01,8051800
1984-07-01,8189800
1984-08-01,8128000
1984-09-01,7909900
1984-10-01,7949300
1984-11-01,7967800
1984-12-01,7998700
1985-01-01,7755500
1985-02-01,7826700
1985-03-01,7881000
1985-04-01,7938100
1985-05-01,8099000
1985-06-01,8238000
1985-07-01,8357500
1985-08-01,8297600
1985-09-01,8112800
1985-10-01,8179300
1985-11-01,8199500
1985-12-01,8222600
1986-01-01,8133900
1986-02-01,8170000
1986-03-01,8221100
1986-04-01,8275100
1986-05-01,8433500
1986-06-01,8633300
1986-07-01,8695200
1986-08-01,8645600
1986-09-01,8434600
1986-10-01,8489000
1986-11-01,8478000
1986-12-01,8504800
1987-01-01,8388400
1987-02-01,8447900
1987-03-01,8497700
1987-04-01,8554200
1987-05-01,8704700
1987-06-01,8850400
1987-07-01,8905400
1987-08-01,8894300
1987-09-01,8712900
1987-10-01,8796700
1987-11-01,8793600
1987-12-01,8843700
1988-01-01,8727500
1988-02-01,8788800
1988-03-01,8844800
1988-04-01,8858500
1988-05-01,9016200
1988-06-01,9130300
1988-07-01,9162500
1988-08-01,9114500
1988-09-01,8919500
1988-10-01,8996700
1988-11-01,8980000
1988-12-01,9021500
1989-01-01,8954100
1989-02-01,8998300
1989-03-01,9068600
1989-04-01,9040900
1989-05-01,9192200
1989-06-01,9317100
1989-07-01,9350300
1989-08-01,9343000
1989-09-01,9171400
1989-10-01,9223300
1989-11-01,9209900
1989-12-01,9236700
1990-01-01,9135500
1990-02-01,9185400
1990-03-01,9216300
1990-04-01,9264300
1990-05-01,9382800
1990-06-01,9515300
1990-07-01,9555800
1990-08-01,9492800
1990-09-01,9329400
1990-10-01,9357800
1990-11-01,9317700
1990-12-01,9295500
1991-01-01,9144300
1991-02-01,9180500
1991-03-01,9198100
1991-04-01,9249200
1991-05-01,9370900
1991-06-01,9492800
1991-07-01,9542900
1991-08-01,9522000
1991-09-01,9319000
1991-10-01,9381600
1991-11-01,9331300
1991-12-01,9329700
1992-01-01,9178700
1992-02-01,9217400
1992-03-01,9224900
1992-04-01,9229300
1992-05-01,9375800
1992-06-01,9493900
1992-07-01,9512200
1992-08-01,9466000
