DATE,MABMM301CAM189N
1970-01-01,37537000000
1970-02-01,37687000000
1970-03-01,38004000000
1970-04-01,38661000000
1970-05-01,38997000000
1970-06-01,39306000000
1970-07-01,40096000000
1970-08-01,40385000000
1970-09-01,40993000000
1970-10-01,41245000000
1970-11-01,41553000000
1970-12-01,42079000000
1971-01-01,41531000000
1971-02-01,41508000000
1971-03-01,42295000000
1971-04-01,42647000000
1971-05-01,43144000000
1971-06-01,43899000000
1971-07-01,44287000000
1971-08-01,44741000000
1971-09-01,45437000000
1971-10-01,45955000000
1971-11-01,45741000000
1971-12-01,46058000000
1972-01-01,46559000000
1972-02-01,46753000000
1972-03-01,47912000000
1972-04-01,48780000000
1972-05-01,49775000000
1972-06-01,50551000000
1972-07-01,51088000000
1972-08-01,51228000000
1972-09-01,51602000000
1972-10-01,52551000000
1972-11-01,52767000000
1972-12-01,52903000000
1973-01-01,52988000000
1973-02-01,53546000000
1973-03-01,54331000000
1973-04-01,55454000000
1973-05-01,56511000000
1973-06-01,57317000000
1973-07-01,58658000000
1973-08-01,59460000000
1973-09-01,60385000000
1973-10-01,61753000000
1973-11-01,62944000000
1973-12-01,64318000000
1974-01-01,64872000000
1974-02-01,65698000000
1974-03-01,67516000000
1974-04-01,69198000000
1974-05-01,71980000000
1974-06-01,72502000000
1974-07-01,74836000000
1974-08-01,75888000000
1974-09-01,76947000000
1974-10-01,77837000000
1974-11-01,77745000000
1974-12-01,77674000000
1975-01-01,78320000000
1975-02-01,78444000000
1975-03-01,79842000000
1975-04-01,80914000000
1975-05-01,81487000000
1975-06-01,82827000000
1975-07-01,84608000000
1975-08-01,85113000000
1975-09-01,86662000000
1975-10-01,88094000000
1975-11-01,87755000000
1975-12-01,89399000000
1976-01-01,89113000000
1976-02-01,90281000000
1976-03-01,92725000000
1976-04-01,95924000000
1976-05-01,97968000000
1976-06-01,99679000000
1976-07-01,1.01262E+11
1976-08-01,1.02485E+11
1976-09-01,1.03865E+11
1976-10-01,1.04999E+11
1976-11-01,1.05956E+11
1976-12-01,1.07452E+11
1977-01-01,1.0732E+11
1977-02-01,1.07796E+11
1977-03-01,1.10072E+11
1977-04-01,1.12535E+11
1977-05-01,1.15129E+11
1977-06-01,1.16231E+11
1977-07-01,1.17586E+11
1977-08-01,1.1906E+11
1977-09-01,1.21E+11
1977-10-01,1.22077E+11
1977-11-01,1.22957E+11
1977-12-01,1.23276E+11
1978-01-01,1.23033E+11
1978-02-01,1.23412E+11
1978-03-01,1.25963E+11
1978-04-01,1.29037E+11
1978-05-01,1.3091E+11
1978-06-01,1.32559E+11
1978-07-01,1.34801E+11
1978-08-01,1.36615E+11
1978-09-01,1.3916E+11
1978-10-01,1.39994E+11
1978-11-01,1.44953E+11
1978-12-01,1.44968E+11
1979-01-01,1.46877E+11
1979-02-01,1.47885E+11
1979-03-01,1.49162E+11
1979-04-01,1.52496E+11
1979-05-01,1.56467E+11
1979-06-01,1.5887E+11
1979-07-01,1.62598E+11
1979-08-01,1.64381E+11
1979-09-01,1.66032E+11
1979-10-01,1.67807E+11
1979-11-01,1.71377E+11
1979-12-01,1.72348E+11
1980-01-01,1.73809E+11
1980-02-01,1.75226E+11
1980-03-01,1.77565E+11
1980-04-01,1.81084E+11
1980-05-01,1.84284E+11
1980-06-01,1.87035E+11
1980-07-01,1.91313E+11
1980-08-01,1.90319E+11
1980-09-01,1.9158E+11
1980-10-01,1.94196E+11
1980-11-01,1.95963E+11
1980-12-01,1.97152E+11
1981-01-01,2.00757E+11
1981-02-01,2.04035E+11
1981-03-01,2.02868E+11
1981-04-01,2.05764E+11
1981-05-01,2.06193E+11
1981-06-01,2.10478E+11
1981-07-01,2.15376E+11
1981-08-01,2.19467E+11
1981-09-01,2.2116E+11
1981-10-01,2.2051E+11
1981-11-01,2.16352E+11
1981-12-01,2.18993E+11
1982-01-01,2.16628E+11
1982-02-01,2.14436E+11
1982-03-01,2.16326E+11
1982-04-01,2.17584E+11
1982-05-01,2.19028E+11
1982-06-01,2.21011E+11
1982-07-01,2.22732E+11
1982-08-01,2.24067E+11
1982-09-01,2.25538E+11
1982-10-01,2.25437E+11
1982-11-01,2.24763E+11
1982-12-01,2.24449E+11
1983-01-01,2.24907E+11
1983-02-01,2.24122E+11
1983-03-01,2.24519E+11
1983-04-01,2.23456E+11
1983-05-01,2.23544E+11
1983-06-01,2.24525E+11
