DATE,MAM2A3CAM189N
1970-01-01,37652000000
1970-02-01,37627000000
1970-03-01,38032000000
1970-04-01,38769000000
1970-05-01,39117000000
1970-06-01,39495000000
1970-07-01,40158000000
1970-08-01,40304000000
1970-09-01,40750000000
1970-10-01,40922000000
1970-11-01,41232000000
1970-12-01,41774000000
1971-01-01,41547000000
1971-02-01,41662000000
1971-03-01,42327000000
1971-04-01,43068000000
1971-05-01,43788000000
1971-06-01,44686000000
1971-07-01,45261000000
1971-08-01,45724000000
1971-09-01,46325000000
1971-10-01,46611000000
1971-11-01,46470000000
1971-12-01,47032000000
1972-01-01,47283000000
1972-02-01,47401000000
1972-03-01,48143000000
1972-04-01,48857000000
1972-05-01,49534000000
1972-06-01,50161000000
1972-07-01,51457000000
1972-08-01,51775000000
1972-09-01,52619000000
1972-10-01,53322000000
1972-11-01,53763000000
1972-12-01,54373000000
1973-01-01,54580000000
1973-02-01,54638000000
1973-03-01,55239000000
1973-04-01,56433000000
1973-05-01,57518000000
1973-06-01,58270000000
1973-07-01,59812000000
1973-08-01,60538000000
1973-09-01,61415000000
1973-10-01,62480000000
1973-11-01,63508000000
1973-12-01,64869000000
1974-01-01,65535000000
1974-02-01,66031000000
1974-03-01,67229000000
1974-04-01,68713000000
1974-05-01,70955000000
1974-06-01,71364000000
1974-07-01,73156000000
1974-08-01,73676000000
1974-09-01,74700000000
1974-10-01,75487000000
1974-11-01,75202000000
1974-12-01,75548000000
1975-01-01,76432000000
1975-02-01,77212000000
1975-03-01,78608000000
1975-04-01,80333000000
1975-05-01,81347000000
1975-06-01,82409000000
1975-07-01,84375000000
1975-08-01,84920000000
1975-09-01,86209000000
1975-10-01,87340000000
1975-11-01,87551000000
1975-12-01,89429000000
1976-01-01,88745000000
1976-02-01,89364000000
1976-03-01,90521000000
1976-04-01,92211000000
1976-05-01,94045000000
1976-06-01,96123000000
1976-07-01,97433000000
1976-08-01,98294000000
1976-09-01,99620000000
1976-10-01,1.00642E+11
1976-11-01,1.01957E+11
1976-12-01,1.03666E+11
1977-01-01,1.04404E+11
1977-02-01,1.04906E+11
1977-03-01,1.06305E+11
1977-04-01,1.08488E+11
1977-05-01,1.10521E+11
1977-06-01,1.12364E+11
1977-07-01,1.1378E+11
1977-08-01,1.14823E+11
1977-09-01,1.15851E+11
1977-10-01,1.17108E+11
1977-11-01,1.18157E+11
1977-12-01,1.19564E+11
1978-01-01,1.20029E+11
1978-02-01,1.20657E+11
1978-03-01,1.22127E+11
1978-04-01,1.23882E+11
1978-05-01,1.26158E+11
1978-06-01,1.27696E+11
1978-07-01,1.30168E+11
1978-08-01,1.31464E+11
1978-09-01,1.33226E+11
1978-10-01,1.34622E+11
1978-11-01,1.38083E+11
1978-12-01,1.38673E+11
1979-01-01,1.39419E+11
1979-02-01,1.40063E+11
1979-03-01,1.41004E+11
1979-04-01,1.44021E+11
1979-05-01,1.47131E+11
1979-06-01,1.49354E+11
1979-07-01,1.52564E+11
1979-08-01,1.54355E+11
1979-09-01,1.56397E+11
1979-10-01,1.5857E+11
1979-11-01,1.6113E+11
1979-12-01,1.62914E+11
1980-01-01,1.638E+11
1980-02-01,1.64914E+11
1980-03-01,1.67499E+11
1980-04-01,1.70748E+11
1980-05-01,1.73269E+11
1980-06-01,1.75416E+11
1980-07-01,1.78522E+11
1980-08-01,1.79815E+11
1980-09-01,1.82189E+11
1980-10-01,1.85154E+11
1980-11-01,1.87929E+11
1980-12-01,1.89959E+11
1981-01-01,1.89672E+11
1981-02-01,1.91523E+11
1981-03-01,1.93593E+11
1981-04-01,1.97516E+11
1981-05-01,2.00206E+11
1981-06-01,2.02499E+11
1981-07-01,2.06418E+11
1981-08-01,2.09091E+11
1981-09-01,2.1165E+11
1981-10-01,2.13095E+11
1981-11-01,2.09715E+11
1981-12-01,2.10812E+11
1982-01-01,2.1144E+11
1982-02-01,2.12352E+11
1982-03-01,2.13418E+11
1982-04-01,2.15653E+11
1982-05-01,2.19065E+11
1982-06-01,2.20627E+11
1982-07-01,2.21594E+11
1982-08-01,2.22384E+11
1982-09-01,2.23756E+11
1982-10-01,2.24864E+11
1982-11-01,2.25508E+11
1982-12-01,2.27224E+11
1983-01-01,2.28019E+11
1983-02-01,2.28925E+11
1983-03-01,2.30042E+11
1983-04-01,2.32062E+11
1983-05-01,2.34344E+11
1983-06-01,2.36022E+11
1983-07-01,2.38155E+11
1983-08-01,2.39523E+11
1983-09-01,2.40937E+11
1983-10-01,2.4192E+11
1983-11-01,2.41974E+11
1983-12-01,2.42578E+11
1984-01-01,2.4234E+11
1984-02-01,2.4312E+11
1984-03-01,2.43685E+11
1984-04-01,2.46335E+11
1984-05-01,2.50138E+11
1984-06-01,2.5221E+11
1984-07-01,2.54966E+11
1984-08-01,2.55836E+11
1984-09-01,2.57662E+11
1984-10-01,2.5974E+11
1984-11-01,2.59671E+11
1984-12-01,2.63195E+11
1985-01-01,2.64596E+11
1985-02-01,2.65293E+11
1985-03-01,2.67305E+11
1985-04-01,2.70645E+11
1985-05-01,2.75248E+11
1985-06-01,2.77086E+11
1985-07-01,2.80078E+11
1985-08-01,2.81286E+11
1985-09-01,2.83933E+11
1985-10-01,2.8663E+11
1985-11-01,2.88353E+11
1985-12-01,2.90734E+11
1986-01-01,2.91783E+11
1986-02-01,2.91631E+11
1986-03-01,2.93856E+11
1986-04-01,2.98877E+11
1986-05-01,3.03294E+11
1986-06-01,3.05944E+11
1986-07-01,3.09606E+11
1986-08-01,3.10554E+11
1986-09-01,3.12359E+11
1986-10-01,3.15607E+11
1986-11-01,3.1984E+11
1986-12-01,3.2436E+11
1987-01-01,3.24564E+11
1987-02-01,3.27153E+11
1987-03-01,3.30366E+11
1987-04-01,3.3552E+11
1987-05-01,3.3946E+11
1987-06-01,3.43068E+11
1987-07-01,3.46421E+11
1987-08-01,3.46984E+11
1987-09-01,3.49321E+11
1987-10-01,3.50891E+11
1987-11-01,3.48052E+11
1987-12-01,3.51931E+11
1988-01-01,3.51616E+11
1988-02-01,3.53489E+11
1988-03-01,3.57944E+11
1988-04-01,3.61516E+11
1988-05-01,3.65604E+11
1988-06-01,3.72223E+11
1988-07-01,3.76613E+11
1988-08-01,3.80338E+11
1988-09-01,3.8362E+11
1988-10-01,3.86599E+11
1988-11-01,3.93606E+11
1988-12-01,3.98368E+11
1989-01-01,3.99051E+11
1989-02-01,4.0171E+11
1989-03-01,4.07525E+11
1989-04-01,4.11953E+11
1989-05-01,4.18857E+11
1989-06-01,4.245E+11
1989-07-01,4.28761E+11
1989-08-01,4.32071E+11
1989-09-01,4.36676E+11
1989-10-01,4.40723E+11
1989-11-01,4.48625E+11
1989-12-01,4.55236E+11
1990-01-01,4.57226E+11
1990-02-01,4.60005E+11
1990-03-01,4.63537E+11
1990-04-01,4.69164E+11
1990-05-01,4.72529E+11
1990-06-01,4.75515E+11
1990-07-01,4.7814E+11
1990-08-01,4.79992E+11
1990-09-01,4.83142E+11
1990-10-01,4.87301E+11
1990-11-01,4.93056E+11
1990-12-01,4.98825E+11
1991-01-01,4.99819E+11
1991-02-01,5.00876E+11
1991-03-01,5.06493E+11
1991-04-01,5.10837E+11
1991-05-01,5.14452E+11
1991-06-01,5.17001E+11
1991-07-01,5.21044E+11
1991-08-01,5.20926E+11
1991-09-01,5.22696E+11
1991-10-01,5.24074E+11
1991-11-01,5.28963E+11
1991-12-01,5.33802E+11
1992-01-01,5.32837E+11
1992-02-01,5.33447E+11
1992-03-01,5.35669E+11
1992-04-01,5.40965E+11
1992-05-01,5.43078E+11
1992-06-01,5.45827E+11
1992-07-01,5.50693E+11
1992-08-01,5.52628E+11
1992-09-01,5.56053E+11
1992-10-01,5.53535E+11
1992-11-01,5.6028E+11
1992-12-01,5.61169E+11
1993-01-01,5.57287E+11
1993-02-01,5.57428E+11
1993-03-01,5.58856E+11
1993-04-01,5.64152E+11
1993-05-01,5.6719E+11
1993-06-01,5.72142E+11
1993-07-01,5.73017E+11
1993-08-01,5.73328E+11
1993-09-01,5.74514E+11
1993-10-01,5.74863E+11
1993-11-01,5.78126E+11
1993-12-01,5.80813E+11
1994-01-01,5.78108E+11
1994-02-01,5.76215E+11
1994-03-01,5.73378E+11
1994-04-01,5.74432E+11
1994-05-01,5.73772E+11
1994-06-01,5.77192E+11
1994-07-01,5.80149E+11
1994-08-01,5.8106E+11
1994-09-01,5.82939E+11
1994-10-01,5.85266E+11
1994-11-01,5.88022E+11
1994-12-01,5.90682E+11
1995-01-01,5.8942E+11
1995-02-01,5.8789E+11
1995-03-01,5.90249E+11
1995-04-01,5.95217E+11
1995-05-01,5.96865E+11
1995-06-01,6.02976E+11
1995-07-01,6.05769E+11
1995-08-01,6.07393E+11
1995-09-01,6.10011E+11
1995-10-01,6.1181E+11
1995-11-01,6.14534E+11
1995-12-01,6.18067E+11
1996-01-01,6.16784E+11
1996-02-01,6.19207E+11
1996-03-01,6.21357E+11
1996-04-01,6.24411E+11
1996-05-01,6.27095E+11
1996-06-01,6.31216E+11
1996-07-01,6.30087E+11
1996-08-01,6.3115E+11
1996-09-01,6.32093E+11
1996-10-01,6.3512E+11
1996-11-01,6.36318E+11
1996-12-01,6.39608E+11
1997-01-01,6.37331E+11
1997-02-01,6.35892E+11
1997-03-01,6.35522E+11
1997-04-01,6.36085E+11
1997-05-01,6.35849E+11
1997-06-01,6.36431E+11
1997-07-01,6.33488E+11
1997-08-01,6.32656E+11
1997-09-01,6.30468E+11
1997-10-01,6.3023E+11
1997-11-01,6.31332E+11
1997-12-01,6.3243E+11
1998-01-01,6.27241E+11
1998-02-01,6.22099E+11
1998-03-01,6.18355E+11
1998-04-01,6.20629E+11
1998-05-01,6.21022E+11
1998-06-01,6.21829E+11
1998-07-01,6.23117E+11
1998-08-01,6.26362E+11
1998-09-01,6.27705E+11
1998-10-01,6.31499E+11
1998-11-01,6.3362E+11
1998-12-01,6.38981E+11
1999-01-01,6.38595E+11
1999-02-01,6.38085E+11
1999-03-01,6.39794E+11
1999-04-01,6.44683E+11
1999-05-01,6.47888E+11
1999-06-01,6.50179E+11
1999-07-01,6.53203E+11
1999-08-01,6.56427E+11
1999-09-01,6.58211E+11
1999-10-01,6.615E+11
1999-11-01,6.66161E+11
1999-12-01,6.73911E+11
2000-01-01,6.72109E+11
2000-02-01,6.74172E+11
2000-03-01,6.79139E+11
2000-04-01,6.85899E+11
2000-05-01,6.86014E+11
2000-06-01,6.91232E+11
2000-07-01,6.93637E+11
2000-08-01,6.94764E+11
2000-09-01,6.96602E+11
2000-10-01,6.9875E+11
2000-11-01,7.02313E+11
2000-12-01,7.12777E+11
2001-01-01,7.09333E+11
2001-02-01,7.1349E+11
2001-03-01,7.18753E+11
2001-04-01,7.24101E+11
2001-05-01,7.28991E+11
2001-06-01,7.30915E+11
2001-07-01,7.34482E+11
2001-08-01,7.36853E+11
2001-09-01,7.46777E+11
2001-10-01,7.53137E+11
2001-11-01,7.63788E+11
2001-12-01,7.76214E+11
2002-01-01,7.73501E+11
2002-02-01,7.74048E+11
2002-03-01,7.75249E+11
2002-04-01,7.78602E+11
2002-05-01,7.80402E+11
2002-06-01,7.86614E+11
2002-07-01,7.89834E+11
2002-08-01,7.94913E+11
2002-09-01,7.9763E+11
2002-10-01,8.02527E+11
2002-11-01,8.06916E+11
2002-12-01,8.12813E+11
2003-01-01,8.09253E+11
2003-02-01,8.09729E+11
2003-03-01,8.11846E+11
2003-04-01,8.15551E+11
2003-05-01,8.20326E+11
2003-06-01,8.27358E+11
2003-07-01,8.32847E+11
2003-08-01,8.3528E+11
2003-09-01,8.35672E+11
2003-10-01,8.36638E+11
2003-11-01,8.4238E+11
2003-12-01,8.50406E+11
2004-01-01,8.48247E+11
2004-02-01,8.48896E+11
2004-03-01,8.49208E+11
2004-04-01,8.57817E+11
2004-05-01,8.65076E+11
2004-06-01,8.73034E+11
2004-07-01,8.75306E+11
2004-08-01,8.74755E+11
2004-09-01,8.74615E+11
2004-10-01,8.77364E+11
2004-11-01,8.79639E+11
2004-12-01,8.93155E+11
2005-01-01,8.91764E+11
2005-02-01,8.9169E+11
2005-03-01,8.92144E+11
2005-04-01,9.01766E+11
2005-05-01,9.07095E+11
2005-06-01,9.14574E+11
2005-07-01,9.14247E+11
2005-08-01,9.12435E+11
2005-09-01,9.17125E+11
2005-10-01,9.2255E+11
2005-11-01,9.26353E+11
2005-12-01,9.39465E+11
2006-01-01,9.34027E+11
2006-02-01,9.36846E+11
2006-03-01,9.39821E+11
2006-04-01,9.51067E+11
2006-05-01,9.54844E+11
2006-06-01,9.65735E+11
2006-07-01,9.73779E+11
2006-08-01,9.77634E+11
2006-09-01,9.86279E+11
2006-10-01,9.92764E+11
2006-11-01,1.00317E+12
2006-12-01,1.01812E+12
2007-01-01,1.01251E+12
2007-02-01,1.01407E+12
