DATE,MANMM101CAM189N
1955-01-01,8395198402
1955-02-01,8146908123
1955-03-01,8165576565
1955-04-01,8393331558
1955-05-01,8466138482
1955-06-01,8624820240
1955-07-01,8906713715
1955-08-01,8947784288
1955-09-01,8927249001
1955-10-01,9067262317
1955-11-01,9037392810
1955-12-01,8908580559
1956-01-01,8669624501
1956-02-01,8529611185
1956-03-01,8468005326
1956-04-01,8660290280
1956-05-01,8675225033
1956-06-01,8716295606
1956-07-01,8891778961
1956-08-01,8938450067
1956-09-01,8832039947
1956-10-01,8966452730
1956-11-01,8779768309
1956-12-01,8888045273
1957-01-01,8665890812
1957-02-01,8320524634
1957-03-01,8210380826
1957-04-01,8426934754
1957-05-01,8406399467
1957-06-01,8615486019
1957-07-01,8669624501
1957-08-01,8626687084
1957-09-01,8578149134
1957-10-01,8833906791
1957-11-01,8813371505
1957-12-01,8938450067
1958-01-01,8805904128
1958-02-01,8555747004
1958-03-01,8703227696
1958-04-01,9035525965
1958-05-01,9041126498
1958-06-01,9242745672
1958-07-01,9545174434
1958-08-01,9748660453
1958-09-01,9978282290
1958-10-01,10234039947
1958-11-01,10088426099
1958-12-01,10118295606
1959-01-01,9853203728
1959-02-01,9476101198
1959-03-01,9468633822
1959-04-01,9526505992
1959-05-01,9492902796
1959-06-01,9537707057
1959-07-01,9715057257
1959-08-01,9711323569
1959-09-01,9765462051
1959-10-01,9771062583
1959-11-01,9776663116
1959-12-01,9769195739
1960-01-01,9595579228
1960-02-01,9259547270
1960-03-01,9321153129
1960-04-01,9556375499
1960-05-01,9554508655
1960-06-01,9724391478
1960-07-01,9737459387
1960-08-01,9815866844
1960-09-01,10079091877
1960-10-01,10243374168
1960-11-01,10209770972
1960-12-01,10265776298
1961-01-01,10114561917
1961-02-01,9838268975
1961-03-01,9924143808
1961-04-01,9927877497
1961-05-01,9950279627
1961-06-01,10043621838
1961-07-01,10260175766
1961-08-01,10472996005
1961-09-01,10519667111
1961-10-01,10654079893
1961-11-01,10837030626
1961-12-01,10922905459
1962-01-01,10560737683
1962-02-01,10170567244
1962-03-01,10204170439
1962-04-01,10405789614
1962-05-01,10422591212
1962-06-01,10474862850
1962-07-01,10476729694
1962-08-01,10454327563
1962-09-01,10797826897
1962-10-01,11096521971
1962-11-01,11131992011
1962-12-01,11344812250
1963-01-01,11061051931
1963-02-01,10609275632
1963-03-01,10687683089
1963-04-01,11107723036
1963-05-01,11247736352
1963-06-01,11223467377
1963-07-01,11370948069
1963-08-01,11251470040
1963-09-01,11468023968
1963-10-01,11619238349
1963-11-01,11647241012
1963-12-01,11753651132
1964-01-01,11673376831
1964-02-01,11189864181
1964-03-01,11426953395
1964-04-01,11690178429
1964-05-01,11660308921
1964-06-01,11792854860
1964-07-01,11856327563
1964-08-01,11863794940
1964-09-01,11949669774
1964-10-01,12156889481
1964-11-01,12160623169
1964-12-01,12494788282
1965-01-01,12188625832
1965-02-01,11790988016
1965-03-01,11951536618
1965-04-01,12323038615
1965-05-01,12319304927
1965-06-01,12554527297
1965-07-01,12739344874
1965-08-01,12883091877
1965-09-01,12828953395
1965-10-01,12942830892
1965-11-01,13114580559
1965-12-01,13310599201
1966-01-01,13038039947
1966-02-01,12692673768
1966-03-01,12840154461
1966-04-01,13138849534
1966-05-01,13073509987
1966-06-01,13308732357
1966-07-01,13474881491
1966-08-01,13579424767
1966-09-01,13708237017
1966-10-01,13932258322
1966-11-01,14014399467
1966-12-01,14408303595
1967-01-01,14090940080
1967-02-01,13963994674
1967-03-01,14174948069
1967-04-01,14524047936
1967-05-01,14494178429
1967-06-01,14632324900
1967-07-01,14852612517
1967-08-01,14888082557
1967-09-01,15225981358
1967-10-01,15388396804
1967-11-01,15145707057
1967-12-01,15597483356
1968-01-01,15233448735
1968-02-01,14563251664
1968-03-01,14443773635
1968-04-01,14779805593
1968-05-01,14787272969
1968-06-01,14964623169
1968-07-01,15534010652
1968-08-01,16000721704
1968-09-01,15950316911
1968-10-01,16127667111
1968-11-01,16110865513
1968-12-01,16627981358
1969-01-01,16476766977
1969-02-01,15660956059
1969-03-01,15871909454
1969-04-01,16411427430
1969-05-01,16433829561
1969-06-01,16538372836
1969-07-01,16816532623
1969-08-01,16586910786
1969-09-01,16680252996
1969-10-01,16971480692
1969-11-01,16596245007
1969-12-01,17251507324
1970-01-01,16551440746
1970-02-01,16077262317
1970-03-01,16215408788
1970-04-01,16627981358
1970-05-01,16418894807
1970-06-01,16685853529
1970-07-01,17258974700
1970-08-01,17206703063
1970-09-01,17281376831
1970-10-01,17350450067
1970-11-01,17270175766
1970-12-01,18224133156
1971-01-01,17671547270
1971-02-01,17328047936
1971-03-01,17798492676
1971-04-01,18151326232
1971-05-01,18457488682
1971-06-01,19206093209
1971-07-01,19342372836
1971-08-01,19616798935
1971-09-01,20173118509
1971-10-01,20113379494
1971-11-01,20230990679
1971-12-01,21438838881
1972-01-01,20651030626
1972-02-01,20253392810
1972-03-01,20609960053
1972-04-01,21022532623
1972-05-01,21125209055
1972-06-01,21705797603
1972-07-01,22286386152
1972-08-01,22551478029
1972-09-01,23003254328
1972-10-01,23148868176
1972-11-01,23499834887
1972-12-01,24578870839
