DATE,NNCABIS
1964-01-01,105.16
1964-02-01,105.2
1964-03-01,105.14
1964-04-01,105.11
1964-05-01,106.38
1964-06-01,106.38
1964-07-01,106.35
1964-08-01,106.62
1964-09-01,106.83
1964-10-01,106.92
1964-11-01,107.03
1964-12-01,106.93
1965-01-01,107.01
1965-02-01,106.83
1965-03-01,106.35
1965-04-01,106.57
1965-05-01,106.61
1965-06-01,106.34
1965-07-01,106.28
1965-08-01,106.76
1965-09-01,106.98
1965-10-01,107.09
1965-11-01,107.07
1965-12-01,107
1966-01-01,107.11
1966-02-01,106.97
1966-03-01,106.98
1966-04-01,106.94
1966-05-01,106.96
1966-06-01,106.98
1966-07-01,107.13
1966-08-01,107.1
1966-09-01,107
1966-10-01,106.68
1966-11-01,106.42
1966-12-01,106.32
1967-01-01,106.63
1967-02-01,106.55
1967-03-01,106.39
1967-04-01,106.35
1967-05-01,106.36
1967-06-01,106.53
1967-07-01,106.79
1967-08-01,107.02
1967-09-01,107.06
1967-10-01,107.35
1967-11-01,107.36
1967-12-01,107.22
1968-01-01,106.83
1968-02-01,106.55
1968-03-01,106.74
1968-04-01,107.25
1968-05-01,107.49
1968-06-01,107.65
1968-07-01,107.9
1968-08-01,107.99
1968-09-01,107.94
1968-10-01,107.98
1968-11-01,107.95
1968-12-01,107.95
1969-01-01,107.99
1969-02-01,107.86
1969-03-01,107.62
1969-04-01,107.69
1969-05-01,107.53
1969-06-01,107.39
1969-07-01,107.26
1969-08-01,107.64
1969-09-01,107.68
1969-10-01,107.49
1969-11-01,107.74
1969-12-01,107.88
1970-01-01,108.03
1970-02-01,108
1970-03-01,108.02
1970-04-01,108
1970-05-01,108.01
1970-06-01,111.7
1970-07-01,112.29
1970-08-01,113.43
1970-09-01,114.07
1970-10-01,113.45
1970-11-01,113.58
1970-12-01,113.9
1971-01-01,114.53
1971-02-01,114.99
1971-03-01,115.12
1971-04-01,114.99
1971-05-01,114.8
1971-06-01,113.4
1971-07-01,113.6
1971-08-01,114.33
1971-09-01,113.66
1971-10-01,114.29
1971-11-01,114.29
1971-12-01,114.27
1972-01-01,113
1972-02-01,112.75
1972-03-01,113.32
1972-04-01,113.73
1972-05-01,114.54
1972-06-01,115.66
1972-07-01,115.31
1972-08-01,115.5
1972-09-01,115.46
1972-10-01,115.61
1972-11-01,115.15
1972-12-01,114.1
1973-01-01,113.79
1973-02-01,112.66
1973-03-01,111.28
1973-04-01,111.05
1973-05-01,110.8
1973-06-01,110.46
1973-07-01,109.8
1973-08-01,109.76
1973-09-01,109.37
1973-10-01,110.07
1973-11-01,111.3
1973-12-01,111.79
1974-01-01,114.1
1974-02-01,115.25
1974-03-01,115.07
1974-04-01,115.14
1974-05-01,115.57
1974-06-01,115.45
1974-07-01,114.52
1974-08-01,114.69
1974-09-01,114.03
1974-10-01,114.24
1974-11-01,113.5
1974-12-01,113.48
1975-01-01,112.35
1975-02-01,111.22
1975-03-01,110.94
1975-04-01,110.2
1975-05-01,108.2
1975-06-01,108.59
1975-07-01,108.93
1975-08-01,109.06
1975-09-01,110.28
1975-10-01,110.47
1975-11-01,111.66
1975-12-01,112.03
1976-01-01,112.69
1976-02-01,114.06
1976-03-01,115.39
1976-04-01,115.88
1976-05-01,116.37
1976-06-01,117.32
1976-07-01,117.36
1976-08-01,115.54
1976-09-01,116.66
1976-10-01,117.16
1976-11-01,115.73
1976-12-01,111.74
1977-01-01,112.55
1977-02-01,110.5
1977-03-01,107.89
1977-04-01,107.75
1977-05-01,108
1977-06-01,106.94
1977-07-01,106.15
1977-08-01,104.89
1977-09-01,105.11
1977-10-01,102.09
1977-11-01,100.6
1977-12-01,101.11
1978-01-01,100.52
1978-02-01,99.29
1978-03-01,97.92
1978-04-01,96.17
1978-05-01,98.69
1978-06-01,97.78
1978-07-01,96.57
1978-08-01,94.51
1978-09-01,92.41
1978-10-01,90.25
1978-11-01,91.74
1978-12-01,91.26
1979-01-01,90.4
1979-02-01,90.06
1979-03-01,91.9
1979-04-01,94.57
1979-05-01,94
1979-06-01,92.62
1979-07-01,92.67
1979-08-01,92.25
1979-09-01,92.7
1979-10-01,92.29
1979-11-01,92.4
1979-12-01,92.85
1980-01-01,93.21
1980-02-01,94.21
1980-03-01,93.66
1980-04-01,92.79
1980-05-01,92.54
1980-06-01,93.72
1980-07-01,93.7
1980-08-01,93.43
1980-09-01,92.66
1980-10-01,92.32
1980-11-01,91.55
1980-12-01,90.9
1981-01-01,91.16
1981-02-01,91.34
1981-03-01,92.09
1981-04-01,92.73
1981-05-01,92.81
1981-06-01,93.15
1981-07-01,93.34
1981-08-01,92.8
1981-09-01,93.97
1981-10-01,93.64
1981-11-01,94.21
1981-12-01,94.49
1982-01-01,94.3
1982-02-01,93.45
1982-03-01,93.32
1982-04-01,93.32
1982-05-01,92.14
1982-06-01,90.28
1982-07-01,90.78
1982-08-01,92.9
1982-09-01,93.99
1982-10-01,94.88
1982-11-01,95.31
1982-12-01,93.22
1983-01-01,93.62
1983-02-01,94.04
1983-03-01,94.4
1983-04-01,93.98
1983-05-01,94.2
1983-06-01,94.47
1983-07-01,94.65
1983-08-01,95.05
1983-09-01,95.16
1983-10-01,94.67
1983-11-01,94.59
1983-12-01,94.17
1984-01-01,94.28
1984-02-01,93.96
1984-03-01,91.74
1984-04-01,91.21
1984-05-01,90.72
1984-06-01,90.23
1984-07-01,89.58
1984-08-01,91.08
1984-09-01,91.02
1984-10-01,90.93
1984-11-01,90.71
1984-12-01,91.01
1985-01-01,91.37
1985-02-01,90.08
1985-03-01,87.92
1985-04-01,88.19
1985-05-01,87.54
1985-06-01,87.79
1985-07-01,87.95
1985-08-01,87.23
1985-09-01,86.55
1985-10-01,85.41
1985-11-01,84.27
1985-12-01,82.92
1986-01-01,82
1986-02-01,81.18
1986-03-01,80.8
1986-04-01,81.49
1986-05-01,81.77
1986-06-01,81.04
1986-07-01,80.9
1986-08-01,80
1986-09-01,80.05
1986-10-01,80
1986-11-01,80.49
1986-12-01,80.66
1987-01-01,80.76
1987-02-01,82.19
1987-03-01,82.86
1987-04-01,82.3
1987-05-01,80.56
1987-06-01,81.03
1987-07-01,82.22
1987-08-01,82.12
1987-09-01,82.23
1987-10-01,82.53
1987-11-01,81.12
1987-12-01,80.89
1988-01-01,82.3
1988-02-01,83.74
1988-03-01,84.69
1988-04-01,85.46
1988-05-01,85.34
1988-06-01,87.22
1988-07-01,88.82
1988-08-01,87.95
1988-09-01,87.65
1988-10-01,88.57
1988-11-01,86.86
1988-12-01,88.42
1989-01-01,89.33
1989-02-01,89.68
1989-03-01,89.52
1989-04-01,90.08
1989-05-01,90.5
1989-06-01,90.67
1989-07-01,90.68
1989-08-01,91.95
1989-09-01,91.79
1989-10-01,91.86
1989-11-01,92.26
1989-12-01,92.47
1990-01-01,91.47
1990-02-01,89.36
1990-03-01,91.26
1990-04-01,92.65
1990-05-01,91.44
1990-06-01,91.65
1990-07-01,92.23
1990-08-01,92.62
1990-09-01,91.13
1990-10-01,90.17
1990-11-01,89.61
1990-12-01,90.27
1991-01-01,90.69
1991-02-01,90.35
1991-03-01,91.5
1991-04-01,92.38
1991-05-01,92.84
1991-06-01,93.91
1991-07-01,93.45
1991-08-01,93.34
1991-09-01,93.57
1991-10-01,94.06
1991-11-01,93.39
1991-12-01,91.71
1992-01-01,90.69
1992-02-01,89.09
1992-03-01,89
1992-04-01,89.2
1992-05-01,88.01
1992-06-01,87.66
1992-07-01,87.39
1992-08-01,87.36
1992-09-01,85.13
1992-10-01,83.98
1992-11-01,83.43
1992-12-01,83.17
1993-01-01,83.12
1993-02-01,84.31
1993-03-01,85.04
1993-04-01,83.42
1993-05-01,82.81
1993-06-01,82.32
1993-07-01,82.46
1993-08-01,80.72
1993-09-01,79.7
1993-10-01,79.56
1993-11-01,80.4
1993-12-01,79.57
1994-01-01,80.65
1994-02-01,78.86
1994-03-01,77.29
1994-04-01,76.2
1994-05-01,76.17
1994-06-01,75.82
1994-07-01,75.37
1994-08-01,75.68
1994-09-01,76.84
1994-10-01,76.85
1994-11-01,76.13
1994-12-01,75.09
1995-01-01,73.62
1995-02-01,74.11
1995-03-01,72.97
1995-04-01,73.96
1995-05-01,75.06
1995-06-01,74.07
1995-07-01,75.04
1995-08-01,76.13
1995-09-01,76.83
1995-10-01,76.86
1995-11-01,76.52
1995-12-01,75.76
1996-01-01,76.15
1996-02-01,75.66
1996-03-01,76.27
1996-04-01,76.8
1996-05-01,76.27
1996-06-01,76.55
1996-07-01,76.27
1996-08-01,75.99
1996-09-01,76.3
1996-10-01,77.47
1996-11-01,78.04
1996-12-01,76.94
1997-01-01,78.01
1997-02-01,78.31
1997-03-01,77.51
1997-04-01,76.39
1997-05-01,76.88
1997-06-01,76.5
1997-07-01,77.16
1997-08-01,76.9
1997-09-01,77
1997-10-01,76.95
1997-11-01,75.71
1997-12-01,75.79
1998-01-01,75.48
1998-02-01,75.49
1998-03-01,76.45
1998-04-01,75.76
1998-05-01,75
1998-06-01,74.26
1998-07-01,73.22
1998-08-01,71.13
1998-09-01,70.99
1998-10-01,69.21
1998-11-01,69.49
1998-12-01,69.17
1999-01-01,70.05
1999-02-01,71.51
1999-03-01,70.97
1999-04-01,72.37
1999-05-01,73.89
1999-06-01,73.58
1999-07-01,72.67
1999-08-01,71.97
1999-09-01,72.53
1999-10-01,72.38
1999-11-01,73.07
1999-12-01,72.71
2000-01-01,74.02
2000-02-01,74.33
2000-03-01,73.89
2000-04-01,73.61
2000-05-01,72.73
2000-06-01,73.24
2000-07-01,73.34
2000-08-01,73.39
2000-09-01,73.59
2000-10-01,72.51
2000-11-01,71.16
2000-12-01,71.8
2001-01-01,72.75
2001-02-01,71.93
2001-03-01,70.62
2001-04-01,70.86
2001-05-01,71.71
2001-06-01,72.69
2001-07-01,72.6
2001-08-01,71.62
2001-09-01,70.24
2001-10-01,70.16
2001-11-01,69.3
2001-12-01,70.13
2002-01-01,69.4
2002-02-01,69.77
2002-03-01,69.98
2002-04-01,70.11
2002-05-01,71.03
2002-06-01,71.37
2002-07-01,70.18
2002-08-01,69.3
2002-09-01,69.09
2002-10-01,69.04
2002-11-01,69.03
2002-12-01,69.46
2003-01-01,69.76
2003-02-01,70.97
2003-03-01,72.82
2003-04-01,73.55
2003-05-01,76.93
2003-06-01,78.47
2003-07-01,77.28
2003-08-01,76.52
2003-09-01,78.02
2003-10-01,79.79
2003-11-01,80.51
2003-12-01,79.92
2004-01-01,80.57
2004-02-01,78.42
2004-03-01,78.8
2004-04-01,78.34
2004-05-01,76.47
2004-06-01,77.28
2004-07-01,79.3
2004-08-01,79.91
2004-09-01,81.35
2004-10-01,83.74
2004-11-01,86.67
2004-12-01,84.63
2005-01-01,84.46
2005-02-01,83.53
2005-03-01,84.86
2005-04-01,83.9
2005-05-01,82.75
2005-06-01,84.26
2005-07-01,85.95
2005-08-01,86.87
2005-09-01,88.91
2005-10-01,89.51
2005-11-01,89.51
2005-12-01,90.99
2006-01-01,90.73
2006-02-01,91.74
2006-03-01,91.01
2006-04-01,91.68
2006-05-01,93.7
2006-06-01,93.71
2006-07-01,92.55
2006-08-01,93.12
2006-09-01,93.52
2006-10-01,92.66
2006-11-01,91.65
2006-12-01,90.04
2007-01-01,88.51
2007-02-01,88.84
2007-03-01,88.78
2007-04-01,91.19
2007-05-01,94.59
2007-06-01,97.38
2007-07-01,98.25
2007-08-01,97.53
2007-09-01,100.13
2007-10-01,104.97
2007-11-01,105.57
2007-12-01,101.75
2008-01-01,100.81
2008-02-01,101.72
2008-03-01,100.67
2008-04-01,99.18
2008-05-01,101.09
2008-06-01,99.43
2008-07-01,99.49
2008-08-01,96.79
2008-09-01,97.1
2008-10-01,88.43
2008-11-01,86.19
2008-12-01,84.22
2009-01-01,84.97
2009-02-01,84.24
2009-03-01,83.25
2009-04-01,85.26
2009-05-01,90.03
2009-06-01,91.71
2009-07-01,91.64
2009-08-01,94.36
2009-09-01,94.42
2009-10-01,96.51
2009-11-01,95.76
2009-12-01,96.69
2010-01-01,98
2010-02-01,97.37
2010-03-01,100.61
2010-04-01,102.69
2010-05-01,100.28
2010-06-01,100.8
2010-07-01,99.35
2010-08-01,99.23
2010-09-01,99.47
2010-10-01,99.88
2010-11-01,100.69
2010-12-01,101.63
2011-01-01,102.76
2011-02-01,103.03
2011-03-01,103.83
2011-04-01,105.36
2011-05-01,104.18
2011-06-01,103.06
2011-07-01,105.32
2011-08-01,102.39
2011-09-01,101.11
2011-10-01,99.48
2011-11-01,99.16
2011-12-01,99.82
2012-01-01,100.97
2012-02-01,102.14
2012-03-01,102.81
2012-04-01,102.87
2012-05-01,101.5
2012-06-01,100.1
2012-07-01,101.6
2012-08-01,103.51
2012-09-01,104.42
2012-10-01,103.48
2012-11-01,102.65
2012-12-01,103.19
2013-01-01,103.05
2013-02-01,101.65
2013-03-01,100.66
2013-04-01,101.36
2013-05-01,101.32
2013-06-01,100.04
2013-07-01,99.32
2013-08-01,98.99
2013-09-01,99.4
2013-10-01,98.87
2013-11-01,97.98
2013-12-01,96.48
2014-01-01,94.11
2014-02-01,92.89
2014-03-01,92.27
2014-04-01,93.17
2014-05-01,94.01
2014-06-01,94.62
2014-07-01,95.59
2014-08-01,94.17
2014-09-01,94.16
2014-10-01,92.75
2014-11-01,92.44
2014-12-01,91.19
2015-01-01,87.8
2015-02-01,84.94
2015-03-01,84.92
2015-04-01,86.49
2015-05-01,87.47
2015-06-01,86.25
2015-07-01,83.26
2015-08-01,81.4
2015-09-01,80.56
2015-10-01,81.62
2015-11-01,80.99
2015-12-01,78.31
2016-01-01,75.64
2016-02-01,77.53
2016-03-01,80.66
2016-04-01,82.73
2016-05-01,82.21
2016-06-01,82.41
2016-07-01,81.71
2016-08-01,81.71
2016-09-01,81.07
2016-10-01,80.6
2016-11-01,79.78
2016-12-01,80.89
2017-01-01,81.57
2017-02-01,82.08
2017-03-01,80.28
2017-04-01,79.93
2017-05-01,78.54
2017-06-01,80.12
2017-07-01,83.55
2017-08-01,83.92
2017-09-01,86
2017-10-01,84.2
2017-11-01,83.06
2017-12-01,82.91
2018-01-01,84.53
2018-02-01,83.34
2018-03-01,81.05
2018-04-01,82.37
2018-05-01,82.13
