DATE,PCU3117103117102
1982-12-01,100
1983-01-01,100.4
1983-02-01,101.7
1983-03-01,101.5
1983-04-01,100.8
1983-05-01,100.2
1983-06-01,102.1
1983-07-01,104.3
1983-08-01,103.1
1983-09-01,104.7
1983-10-01,104.7
1983-11-01,104.1
1983-12-01,103.6
1984-01-01,105.2
1984-02-01,103.1
1984-03-01,107.4
1984-04-01,105.3
1984-05-01,103.6
1984-06-01,100.8
1984-07-01,101.5
1984-08-01,103.9
1984-09-01,101.1
1984-10-01,99.7
1984-11-01,102
1984-12-01,102.8
1985-01-01,103.6
1985-02-01,101.6
1985-03-01,100.5
1985-04-01,100.3
1985-05-01,99.8
1985-06-01,100.3
1985-07-01,99.9
1985-08-01,102.3
1985-09-01,103
1985-10-01,101.8
1985-11-01,102.5
1985-12-01,104.2
1986-01-01,105.2
1986-02-01,108.3
1986-03-01,109.5
1986-04-01,109.9
1986-05-01,105.5
1986-06-01,109.2
1986-07-01,110.3
1986-08-01,112.3
1986-09-01,112.2
1986-10-01,111.2
1986-11-01,113.3
1986-12-01,115.7
1987-01-01,119
1987-02-01,119
1987-03-01,117.6
1987-04-01,118.3
1987-05-01,121.7
1987-06-01,118.5
1987-07-01,118.2
1987-08-01,119.5
1987-09-01,119.7
1987-10-01,123.8
1987-11-01,123.2
1987-12-01,124.4
1988-01-01,125.3
1988-02-01,124
1988-03-01,123.8
1988-04-01,122.8
1988-05-01,122.9
1988-06-01,120.2
1988-07-01,118.1
1988-08-01,119
1988-09-01,118.5
1988-10-01,119.7
1988-11-01,122.7
1988-12-01,122
1989-01-01,122.5
1989-02-01,123.7
1989-03-01,124
1989-04-01,124.1
1989-05-01,122.2
1989-06-01,122
1989-07-01,121.3
1989-08-01,122.6
1989-09-01,121.7
1989-10-01,122
1989-11-01,121.5
1989-12-01,123
1990-01-01,125.5
1990-02-01,125.8
1990-03-01,126.4
1990-04-01,127.9
1990-05-01,127.3
1990-06-01,126.1
1990-07-01,125.9
1990-08-01,127.1
1990-09-01,129.8
1990-10-01,130.9
1990-11-01,133.6
1990-12-01,132.9
1991-01-01,134.2
1991-02-01,133.8
1991-03-01,132.8
1991-04-01,134.6
1991-05-01,133.6
1991-06-01,132.3
1991-07-01,133.4
1991-08-01,132.3
1991-09-01,134.9
1991-10-01,135
1991-11-01,132.8
1991-12-01,133.2
1992-01-01,134.3
1992-02-01,134.2
1992-03-01,137.8
1992-04-01,137.5
1992-05-01,134.7
1992-06-01,133
1992-07-01,133.1
1992-08-01,132.6
1992-09-01,132.3
1992-10-01,131.8
1992-11-01,132.9
1992-12-01,133
1993-01-01,131.6
1993-02-01,132.8
1993-03-01,133.3
1993-04-01,134.8
1993-05-01,132.6
1993-06-01,131.1
1993-07-01,130.1
1993-08-01,131.7
1993-09-01,132.4
1993-10-01,132.9
1993-11-01,133.5
1993-12-01,134.7
1994-01-01,134.9
1994-02-01,135.1
1994-03-01,137.9
1994-04-01,138.7
1994-05-01,139.7
1994-06-01,140.7
1994-07-01,140.9
1994-08-01,143.5
1994-09-01,145.3
1994-10-01,148.7
1994-11-01,149.6
1994-12-01,147.8
1995-01-01,150.5
1995-02-01,154.3
1995-03-01,154.2
1995-04-01,153.1
1995-05-01,151.8
