DATE,PIEAFD01CAM661N
1956-05-01,13.47593019
1956-06-01,.
1956-07-01,.
1956-08-01,13.89970158
1956-09-01,13.89970158
1956-10-01,.
1956-11-01,.
1956-12-01,.
1957-01-01,.
1957-02-01,.
1957-03-01,.
1957-04-01,.
1957-05-01,.
1957-06-01,.
1957-07-01,.
1957-08-01,.
1957-09-01,.
1957-10-01,.
1957-11-01,.
1957-12-01,.
1958-01-01,.
1958-02-01,.
1958-03-01,.
1958-04-01,.
1958-05-01,.
1958-06-01,.
1958-07-01,.
1958-08-01,.
1958-09-01,.
1958-10-01,.
1958-11-01,.
1958-12-01,.
1959-01-01,.
1959-02-01,.
1959-03-01,.
1959-04-01,.
1959-05-01,.
1959-06-01,.
1959-07-01,.
1959-08-01,.
1959-09-01,.
1959-10-01,.
1959-11-01,.
1959-12-01,.
1960-01-01,14.40822725
1960-02-01,14.32347297
1960-03-01,14.23871869
1960-04-01,14.40822725
1960-05-01,14.40822725
1960-06-01,14.49298153
1960-07-01,14.74724436
1960-08-01,14.66249008
1960-09-01,14.66249008
1960-10-01,14.66249008
1960-11-01,14.74724436
1960-12-01,14.83199864
1961-01-01,14.91675292
1961-02-01,15.0015072
1961-03-01,14.91675292
1961-04-01,14.91675292
1961-05-01,14.83199864
1961-06-01,14.74724436
1961-07-01,14.83199864
1961-08-01,14.83199864
1961-09-01,14.91675292
1961-10-01,14.83199864
1961-11-01,14.74724436
1961-12-01,14.83199864
1962-01-01,15.0015072
1962-02-01,15.0015072
1962-03-01,15.0015072
1962-04-01,15.0015072
1962-05-01,15.0015072
1962-06-01,15.17101575
1962-07-01,15.34052431
1962-08-01,15.42527858
1962-09-01,15.34052431
1962-10-01,15.34052431
1962-11-01,15.34052431
1962-12-01,15.34052431
1963-01-01,15.42527858
1963-02-01,15.42527858
1963-03-01,15.42527858
1963-04-01,15.42527858
1963-05-01,15.59478714
1963-06-01,15.84904997
1963-07-01,15.93380425
1963-08-01,15.7642957
1963-09-01,15.84904997
1963-10-01,15.84904997
1963-11-01,16.01855853
1963-12-01,15.84904997
1964-01-01,15.93380425
1964-02-01,15.84904997
1964-03-01,15.84904997
1964-04-01,15.84904997
1964-05-01,15.84904997
1964-06-01,15.7642957
1964-07-01,15.84904997
1964-08-01,15.7642957
1964-09-01,15.7642957
1964-10-01,15.7642957
