DATE,PIEAMP02CAM659N
1960-01-01,0.518134715
1960-02-01,0
1960-03-01,0
1960-04-01,0.518134715
1960-05-01,0
1960-06-01,0.518134715
1960-07-01,0.518134715
1960-08-01,0.518134715
1960-09-01,0
1960-10-01,0.518134715
1960-11-01,0
1960-12-01,0.518134715
1961-01-01,0
1961-02-01,0.518134715
1961-03-01,0
1961-04-01,0
1961-05-01,0
1961-06-01,0.515463918
1961-07-01,0
1961-08-01,0
1961-09-01,0
1961-10-01,0
1961-11-01,0.518134715
1961-12-01,0.515463918
1962-01-01,0.515463918
1962-02-01,0.515463918
1962-03-01,1.03626943
1962-04-01,0.515463918
1962-05-01,1.554404145
1962-06-01,1.025641026
1962-07-01,2.06185567
1962-08-01,2.06185567
1962-09-01,2.06185567
1962-10-01,2.06185567
1962-11-01,2.06185567
1962-12-01,1.538461538
1963-01-01,1.538461538
1963-02-01,1.538461538
1963-03-01,1.538461538
1963-04-01,1.538461538
1963-05-01,1.020408163
1963-06-01,1.015228426
1963-07-01,0.505050505
1963-08-01,0.505050505
1963-09-01,0.505050505
1963-10-01,0.505050505
1963-11-01,1.01010101
1963-12-01,0.505050505
1964-01-01,1.01010101
1964-02-01,1.01010101
1964-03-01,1.01010101
1964-04-01,1.01010101
1964-05-01,1.515151515
1964-06-01,0.502512563
1964-07-01,0.502512563
1964-08-01,0.502512563
1964-09-01,0.502512563
1964-10-01,0.502512563
1964-11-01,0
1964-12-01,0.502512563
1965-01-01,0
1965-02-01,1
1965-03-01,1
1965-04-01,1
1965-05-01,0.497512438
1965-06-01,2
1965-07-01,2
1965-08-01,2
1965-09-01,2
1965-10-01,2
1965-11-01,2.5
1965-12-01,3
1966-01-01,3.5
1966-02-01,2.97029703
1966-03-01,3.465346535
1966-04-01,2.97029703
1966-05-01,3.465346535
1966-06-01,2.450980392
1966-07-01,2.450980392
1966-08-01,2.450980392
1966-09-01,2.941176471
1966-10-01,2.450980392
1966-11-01,2.43902439
1966-12-01,1.941747573
1967-01-01,1.93236715
1967-02-01,1.923076923
1967-03-01,1.913875598
1967-04-01,2.403846154
1967-05-01,2.392344498
1967-06-01,2.392344498
1967-07-01,2.392344498
1967-08-01,2.392344498
1967-09-01,1.904761905
1967-10-01,2.392344498
1967-11-01,1.904761905
1967-12-01,2.380952381
1968-01-01,2.369668246
1968-02-01,1.886792453
1968-03-01,1.877934272
1968-04-01,1.408450704
1968-05-01,0.934579439
1968-06-01,1.401869159
1968-07-01,1.401869159
1968-08-01,1.401869159
1968-09-01,1.869158879
1968-10-01,1.869158879
1968-11-01,2.336448598
1968-12-01,2.325581395
1969-01-01,2.777777778
1969-02-01,3.703703704
1969-03-01,3.686635945
1969-04-01,4.166666667
1969-05-01,4.166666667
1969-06-01,4.147465438
1969-07-01,3.686635945
1969-08-01,3.686635945
1969-09-01,3.669724771
1969-10-01,3.669724771
1969-11-01,3.652968037
1969-12-01,4.090909091
1970-01-01,4.054054054
1970-02-01,3.571428571
1970-03-01,3.555555556
1970-04-01,3.555555556
1970-05-01,3.555555556
1970-06-01,2.212389381
1970-07-01,2.222222222
1970-08-01,1.777777778
1970-09-01,1.327433628
1970-10-01,1.769911504
1970-11-01,1.321585903
1970-12-01,0.436681223
1971-01-01,0.432900433
1971-02-01,0.431034483
1971-03-01,0.429184549
1971-04-01,0.429184549
1971-05-01,0.429184549
1971-06-01,1.731601732
1971-07-01,3.043478261
1971-08-01,3.493449782
1971-09-01,3.493449782
1971-10-01,3.043478261
1971-11-01,3.043478261
1971-12-01,3.913043478
1972-01-01,3.879310345
1972-02-01,3.862660944
1972-03-01,4.273504274
1972-04-01,4.700854701
1972-05-01,4.700854701
1972-06-01,4.255319149
1972-07-01,3.797468354
1972-08-01,3.797468354
1972-09-01,4.641350211
1972-10-01,5.063291139
1972-11-01,5.485232068
1972-12-01,5.857740586
1973-01-01,6.22406639
1973-02-01,7.024793388
1973-03-01,7.37704918
1973-04-01,8.163265306
1973-05-01,9.795918367
1973-06-01,10.6122449
1973-07-01,11.78861789
1973-08-01,15.04065041
1973-09-01,13.70967742
1973-10-01,14.0562249
1973-11-01,14.4
1973-12-01,14.62450593
1974-01-01,16.796875
1974-02-01,17.37451737
1974-03-01,17.55725191
1974-04-01,19.24528302
1974-05-01,18.58736059
1974-06-01,18.81918819
1974-07-01,19.63636364
1974-08-01,18.3745583
1974-09-01,19.5035461
1974-10-01,20.42253521
1974-11-01,21.32867133
1974-12-01,19.65517241
1975-01-01,17.72575251
1975-02-01,16.44736842
1975-03-01,14.93506494
1975-04-01,12.97468354
1975-05-01,12.85266458
1975-06-01,11.80124224
1975-07-01,10.3343465
1975-08-01,9.253731343
1975-09-01,9.198813056
1975-10-01,8.479532164
1975-11-01,6.916426513
1975-12-01,7.204610951
1976-01-01,6.25
1976-02-01,5.649717514
1976-03-01,5.93220339
1976-04-01,5.602240896
1976-05-01,5.277777778
1976-06-01,5.833333333
1976-07-01,5.23415978
1976-08-01,4.371584699
1976-09-01,4.619565217
1976-10-01,3.773584906
1976-11-01,4.043126685
1976-12-01,4.838709677
1977-01-01,5.347593583
1977-02-01,6.417112299
1977-03-01,7.466666667
1977-04-01,8.222811671
1977-05-01,8.179419525
1977-06-01,7.611548556
1977-07-01,8.115183246
1977-08-01,8.376963351
1977-09-01,8.311688312
1977-10-01,8.831168831
1977-11-01,8.808290155
1977-12-01,8.205128205
1978-01-01,8.629441624
1978-02-01,8.040201005
1978-03-01,7.94044665
1978-04-01,8.088235294
1978-05-01,8.048780488
1978-06-01,8.780487805
1978-07-01,8.474576271
1978-08-01,9.178743961
1978-09-01,9.352517986
1978-10-01,11.21718377
1978-11-01,11.42857143
1978-12-01,11.37440758
1979-01-01,12.85046729
1979-02-01,14.41860465
1979-03-01,14.02298851
1979-04-01,13.83219955
1979-05-01,14.22121896
1979-06-01,14.12556054
1979-07-01,14.95535714
1979-08-01,14.82300885
1979-09-01,15.57017544
1979-10-01,15.02145923
1979-11-01,14.95726496
1979-12-01,15.53191489
1980-01-01,16.77018634
1980-02-01,15.24390244
1980-03-01,13.70967742
1980-04-01,13.14741036
1980-05-01,12.8458498
1980-06-01,12.96660118
1980-07-01,12.62135922
1980-08-01,13.29479769
1980-09-01,12.71347249
1980-10-01,12.5
1980-11-01,13.01115242
1980-12-01,12.15469613
1981-01-01,9.397163121
1981-02-01,9.523809524
1981-03-01,10.81560284
1981-04-01,11.0915493
1981-05-01,11.38353765
1981-06-01,11.65217391
1981-07-01,11.55172414
1981-08-01,10.88435374
1981-09-01,9.932659933
1981-10-01,9.286898839
1981-11-01,8.223684211
1981-12-01,8.374384236
1982-01-01,8.103727715
1982-02-01,8.212560386
1982-03-01,8.16
1982-04-01,7.923930269
1982-05-01,7.547169811
1982-06-01,7.165109034
1982-07-01,6.491499227
1982-08-01,5.521472393
1982-09-01,6.125574273
1982-10-01,5.31107739
1982-11-01,5.167173252
1982-12-01,5
1983-01-01,3.898050975
1983-02-01,3.125
1983-03-01,3.402366864
1983-04-01,3.230543319
1983-05-01,3.216374269
1983-06-01,3.488372093
1983-07-01,3.628447025
1983-08-01,3.924418605
1983-09-01,3.03030303
1983-10-01,3.314121037
1983-11-01,3.468208092
1983-12-01,3.896103896
1984-01-01,4.761904762
1984-02-01,5.194805195
1984-03-01,5.007153076
1984-04-01,5.120910384
1984-05-01,4.674220963
1984-06-01,3.93258427
1984-07-01,4.481792717
1984-08-01,4.335664336
1984-09-01,4.341736695
1984-10-01,3.905160391
1984-11-01,4.469273743
1984-12-01,4.166666667
1985-01-01,3.856749311
1985-02-01,3.566529492
1985-03-01,3.542234332
1985-04-01,2.841677943
1985-05-01,2.97699594
1985-06-01,2.837837838
1985-07-01,2.010723861
1985-08-01,1.876675603
1985-09-01,2.147651007
1985-10-01,2.55033557
1985-11-01,2.272727273
1985-12-01,2.666666667
1986-01-01,1.98938992
1986-02-01,1.721854305
1986-03-01,0.789473684
1986-04-01,0.657894737
1986-05-01,-0.131406045
1986-06-01,0.131406045
1986-07-01,0.394218134
1986-08-01,1.052631579
1986-09-01,1.051248357
1986-10-01,1.308900524
1986-11-01,1.176470588
1986-12-01,0.25974026
1987-01-01,0.910273082
1987-02-01,0.78125
1987-03-01,1.044386423
1987-04-01,1.830065359
1987-05-01,3.421052632
1987-06-01,3.280839895
1987-07-01,3.534031414
1987-08-01,3.645833333
1987-09-01,3.511053316
1987-10-01,3.22997416
1987-11-01,3.875968992
1987-12-01,4.404145078
1988-01-01,4.768041237
1988-02-01,4.651162791
1988-03-01,4.909560724
1988-04-01,4.749679076
1988-05-01,4.325699746
1988-06-01,4.447268107
1988-07-01,4.424778761
1988-08-01,4.145728643
1988-09-01,4.145728643
1988-10-01,3.879849812
1988-11-01,3.855721393
1988-12-01,3.598014888
1989-01-01,3.44403444
1989-02-01,3.703703704
1989-03-01,3.81773399
1989-04-01,3.18627451
1989-05-01,2.682926829
1989-06-01,2.554744526
1989-07-01,1.937046005
1989-08-01,1.447527141
1989-09-01,1.085645356
1989-10-01,0.843373494
1989-11-01,0
1989-12-01,-0.239520958
1990-01-01,-1.114189417
1990-02-01,-0.294315506
1990-03-01,-0.789070795
1990-04-01,-0.951437043
1990-05-01,-0.391049133
1990-06-01,-0.649140006
1990-07-01,-0.951437043
1990-08-01,-0.553135173
1990-09-01,0.647474044
1990-10-01,1.049589676
1990-11-01,1.574167508
1990-12-01,1.95965369
1991-01-01,2.269503546
1991-02-01,0.985915493
1991-03-01,0.282087447
1991-04-01,0
1991-05-01,-0.843881857
1991-06-01,-0.845070423
1991-07-01,-0.707213579
1991-08-01,-1.551480959
1991-09-01,-2.517482517
1991-10-01,-2.789400279
1991-11-01,-3.059805285
1991-12-01,-3.333333333
1992-01-01,-3.883495146
1992-02-01,-2.510460251
1992-03-01,-1.406469761
1992-04-01,-1.131541726
1992-05-01,0
1992-06-01,0.426136364
1992-07-01,0.712250712
1992-08-01,1.575931232
1992-09-01,2.295552367
1992-10-01,2.869440459
1992-11-01,3.299856528
1992-12-01,3.735632184
