DATE,POLVOILUSDM
1980-01-01,2271.722799
1980-02-01,2256.483179
1980-03-01,2188.113541
1980-04-01,2081.167871
1980-05-01,2044.541259
1980-06-01,2053.293867
1980-07-01,2073.156777
1980-08-01,2063.707648
1980-09-01,2092.630959
1980-10-01,2131.473583
1980-11-01,2267.237157
1980-12-01,2210.018083
1981-01-01,2218.427735
1981-02-01,2058.948173
1981-03-01,2033.036496
1981-04-01,1991.440583
1981-05-01,1908.097439
1981-06-01,1847.875166
1981-07-01,1810.64166
1981-08-01,1793.328844
1981-09-01,1908.115086
1981-10-01,1961.417084
1981-11-01,1981.605397
1981-12-01,1967.39298
1982-01-01,1943.312075
1982-02-01,1876.793458
1982-03-01,1872.15229
1982-04-01,1855.735136
1982-05-01,1926.29075
1982-06-01,1835.884121
1982-07-01,1815.52265
1982-08-01,1833.802438
1982-09-01,1818.286704
1982-10-01,1841.250364
1982-11-01,1855.084311
1982-12-01,1995.187322
1983-01-01,1800.112958
1983-02-01,1851.853792
1983-03-01,1924.115428
1983-04-01,1912.010711
1983-05-01,1918.760938
1983-06-01,1918.085214
1983-07-01,1911.524292
1983-08-01,1849.756295
1983-09-01,1809.149867
1983-10-01,1857.726293
1983-11-01,1855.396636
1983-12-01,1861.207452
1984-01-01,2086.83329
1984-02-01,1852.202627
1984-03-01,1847.490169
1984-04-01,1883.225567
1984-05-01,1842.193667
1984-06-01,1861.139659
1984-07-01,1830.826182
1984-08-01,1837.123308
1984-09-01,1785.742145
1984-10-01,1736.469675
1984-11-01,1804.728302
1984-12-01,1901.105227
1985-01-01,1993.151531
1985-02-01,1911.455799
1985-03-01,1819.324882
1985-04-01,1958.122293
1985-05-01,1922.799958
1985-06-01,1964.669264
1985-07-01,2041.835607
1985-08-01,2032.161814
1985-09-01,1963.386757
1985-10-01,1920.110674
1985-11-01,1834.311055
1985-12-01,1895.089878
1986-01-01,1992.73211
1986-02-01,2063.941515
1986-03-01,2064.26958
1986-04-01,2035.260985
1986-05-01,2087.497227
1986-06-01,2081.229833
1986-07-01,2110.171683
1986-08-01,2158.128432
1986-09-01,2166.07021
1986-10-01,2177.590769
1986-11-01,2141.542728
1986-12-01,2169.951666
1987-01-01,2253.018935
1987-02-01,2283.057966
1987-03-01,2282.370452
1987-04-01,2302.586282
1987-05-01,2304.417718
1987-06-01,2270.511601
1987-07-01,2226.427095
1987-08-01,2200.450347
1987-09-01,2237.077479
1987-10-01,2230.376555
1987-11-01,2349.703717
1987-12-01,2407.489896
1988-01-01,2354.437604
1988-02-01,2284.663648
1988-03-01,2349.832068
1988-04-01,2381.618808
1988-05-01,2354.632817
1988-06-01,2285.433509
1988-07-01,2172.181059
1988-08-01,2119.899529
1988-09-01,2162.386447
1988-10-01,2207.661129
1988-11-01,2393.681809
1988-12-01,2525.528667
1989-01-01,2462.139869
1989-02-01,2445.334588
1989-03-01,2424.273384
1989-04-01,2421.482164
1989-05-01,2328.631015
1989-06-01,2268.997057
1989-07-01,2399.145215
1989-08-01,2368.739685
1989-09-01,2351.403892
1989-10-01,2421.263883
1989-11-01,2577.829728
1989-12-01,2843.95136
1990-01-01,2972.682
1990-02-01,3052.71
1990-03-01,2925.144
1990-04-01,2945.97
1990-05-01,3021.102
1990-06-01,3074.49
1990-07-01,3252.204
1990-08-01,3416.706
1990-09-01,3383.622
1990-10-01,3501.09
1990-11-01,3535.092
1990-12-01,3468.996
1991-01-01,3480.696
1991-02-01,3538.314
1991-03-01,3295.728
1991-04-01,3149.82
1991-05-01,3107.34
1991-06-01,2965.842
1991-07-01,2966.346
1991-08-01,3030.12
1991-09-01,3102.606
1991-10-01,3100.446
1991-11-01,3199.41
1991-12-01,3281.67
1992-01-01,3261.654
1992-02-01,3198.402
1992-03-01,3104.064
1992-04-01,3161.988
1992-05-01,3259.134
1992-06-01,3335.562
1992-07-01,3454.2
1992-08-01,3490.254
1992-09-01,3342.78
1992-10-01,2986.236
1992-11-01,2747.898
1992-12-01,2793.15
1993-01-01,2757.834
1993-02-01,2587.662
1993-03-01,2628.828
1993-04-01,2783.898
1993-05-01,2787.129
1993-06-01,2721.528
1993-07-01,2694.24
1993-08-01,2685.456
1993-09-01,2743.596
1993-10-01,2706.444
1993-11-01,2665.224
1993-12-01,2681.784
1994-01-01,2686.824
1994-02-01,2661.498
1994-03-01,2683.404
1994-04-01,2668.77
1994-05-01,2705.238
1994-06-01,2744.46
1994-07-01,3553.914
1994-08-01,3548.049
1994-09-01,3596.257
1994-10-01,3694.03
1994-11-01,3656.241
1994-12-01,3587.448
1995-01-01,3622.27
1995-02-01,3772.176
1995-03-01,4161.092
1995-04-01,4503.828
1995-05-01,4446.176
1995-06-01,4465.468
1995-07-01,4624.572
1995-08-01,4591.10925
1995-09-01,4749.521
1995-10-01,4973.1255
1995-11-01,5082.285
1995-12-01,5002.53
1996-01-01,5509.116
1996-02-01,6067.6345
1996-03-01,6032.361
1996-04-01,5909.787
1996-05-01,5906.628
1996-06-01,6014.775
1996-07-01,5903.832
1996-08-01,5811.225
1996-09-01,5925.112
1996-10-01,6023.874
1996-11-01,6235.9125
1996-12-01,6241.9125
1997-01-01,6225.9375
1997-02-01,5202.656
1997-03-01,4815.96
1997-04-01,4235.244
1997-05-01,4246.528
1997-06-01,3452.358
1997-07-01,3760.3575
1997-08-01,3607.56
1997-09-01,3839.112
1997-10-01,3914.952
1997-11-01,3881.825
1997-12-01,3655.3
1998-01-01,3475.0975
1998-02-01,3164.0034
1998-03-01,3106.1635
1998-04-01,3093.1075
1998-05-01,3160.6259
1998-06-01,3184.114
1998-07-01,3172.0322
1998-08-01,3148.3897
1998-09-01,3293.4076
1998-10-01,3346.7955
1998-11-01,3281.71925
1998-12-01,3299.119
1999-01-01,3260.9225
1999-02-01,3216.03075
1999-03-01,3767.08125
1999-04-01,3824.24875
1999-05-01,3876.888
1999-06-01,3829.728
1999-07-01,3658.96875
1999-08-01,3736.29825
1999-09-01,3773.35875
1999-10-01,3852.525
1999-11-01,3709.49185
1999-12-01,3299.70975
2000-01-01,3553.8042
