DATE,RNCABIS
1964-01-01,107.44
1964-02-01,107.32
1964-03-01,107.22
1964-04-01,107.66
1964-05-01,108.77
1964-06-01,108.61
1964-07-01,108.99
1964-08-01,109.37
1964-09-01,109.05
1964-10-01,108.86
1964-11-01,108.7
1964-12-01,109.21
1965-01-01,109.03
1965-02-01,108.81
1965-03-01,107.94
1965-04-01,108.27
1965-05-01,108.23
1965-06-01,108.71
1965-07-01,108.63
1965-08-01,109.01
1965-09-01,109.05
1965-10-01,108.8
1965-11-01,109.46
1965-12-01,109.65
1966-01-01,109.55
1966-02-01,109.41
1966-03-01,109.76
1966-04-01,109.61
1966-05-01,109.57
1966-06-01,109.88
1966-07-01,109.73
1966-08-01,109.86
1966-09-01,109.52
1966-10-01,108.58
1966-11-01,108.37
1966-12-01,108.76
1967-01-01,108.88
1967-02-01,108.69
1967-03-01,108.83
1967-04-01,109.04
1967-05-01,109.46
1967-06-01,109.97
1967-07-01,110.54
1967-08-01,110.98
1967-09-01,110.52
1967-10-01,110.44
1967-11-01,110.18
1967-12-01,110.23
1968-01-01,109.73
1968-02-01,109.14
1968-03-01,109.66
1968-04-01,109.77
1968-05-01,109.75
1968-06-01,110.01
1968-07-01,110.94
1968-08-01,111.23
1968-09-01,110.74
1968-10-01,110.2
1968-11-01,111.05
1968-12-01,110.87
1969-01-01,110.47
1969-02-01,109.78
1969-03-01,109.28
1969-04-01,110.48
1969-05-01,110.05
1969-06-01,109.96
1969-07-01,109.76
1969-08-01,110.07
1969-09-01,109.71
1969-10-01,108.77
1969-11-01,108.65
1969-12-01,109.36
1970-01-01,109.52
1970-02-01,108.91
1970-03-01,108.28
1970-04-01,107.98
1970-05-01,107.83
1970-06-01,111.08
1970-07-01,112.22
1970-08-01,113.24
1970-09-01,112.56
1970-10-01,111.28
1970-11-01,110.98
1970-12-01,110.18
1971-01-01,110.95
1971-02-01,111.66
1971-03-01,111.43
1971-04-01,112
1971-05-01,111.32
1971-06-01,109.8
1971-07-01,110.73
1971-08-01,112.17
1971-09-01,110.68
1971-10-01,111.55
1971-11-01,111.57
1971-12-01,111.57
1972-01-01,110.75
1972-02-01,110.4
1972-03-01,111.09
1972-04-01,111.62
1972-05-01,112.06
1972-06-01,112.8
1972-07-01,113.5
1972-08-01,114.25
1972-09-01,114.35
1972-10-01,114.06
1972-11-01,113.37
1972-12-01,112.43
1973-01-01,112.75
1973-02-01,111.79
1973-03-01,109.37
1973-04-01,109.66
1973-05-01,108.94
1973-06-01,108.81
1973-07-01,109.06
1973-08-01,108.71
1973-09-01,108.1
1973-10-01,108.14
1973-11-01,109.45
1973-12-01,109.29
1974-01-01,110.79
1974-02-01,110.84
1974-03-01,110.64
1974-04-01,110.79
1974-05-01,112.19
1974-06-01,112.09
1974-07-01,110.94
1974-08-01,111.05
1974-09-01,109.86
1974-10-01,110.08
1974-11-01,109.22
1974-12-01,109.6
1975-01-01,107.87
1975-02-01,107.17
1975-03-01,106.77
1975-04-01,106.11
1975-05-01,104.54
1975-06-01,105.23
1975-07-01,106.01
1975-08-01,106.95
1975-09-01,107.68
1975-10-01,107.88
1975-11-01,109.53
1975-12-01,109.86
1976-01-01,110.33
1976-02-01,111.86
1976-03-01,113.15
1976-04-01,113.29
1976-05-01,113.7
1976-06-01,114.84
1976-07-01,115.01
1976-08-01,112.66
1976-09-01,114.47
1976-10-01,115
1976-11-01,113.85
1976-12-01,109.45
1977-01-01,110.52
1977-02-01,108.19
1977-03-01,106.23
1977-04-01,105.75
1977-05-01,106.67
1977-06-01,105.23
1977-07-01,105.23
1977-08-01,103.49
1977-09-01,104.15
1977-10-01,101.68
1977-11-01,100.46
1977-12-01,101.26
1978-01-01,100.53
1978-02-01,99.47
1978-03-01,98.18
1978-04-01,95.9
1978-05-01,98.97
1978-06-01,97.99
1978-07-01,97.42
1978-08-01,95.14
1978-09-01,92.06
1978-10-01,90.4
1978-11-01,92.08
1978-12-01,91.48
1979-01-01,90.33
1979-02-01,90.24
1979-03-01,92.12
1979-04-01,94.43
1979-05-01,93.7
1979-06-01,91.88
1979-07-01,91.6
1979-08-01,90.68
1979-09-01,90.98
1979-10-01,90.48
1979-11-01,90.78
1979-12-01,90.74
1980-01-01,90.14
1980-02-01,90.9
1980-03-01,89.76
1980-04-01,88.51
1980-05-01,88.44
1980-06-01,89.68
1980-07-01,90.1
1980-08-01,90.22
1980-09-01,89.19
1980-10-01,88.86
1980-11-01,88.59
1980-12-01,87.6
1981-01-01,88.3
1981-02-01,88.56
1981-03-01,89.73
1981-04-01,90.22
1981-05-01,90.31
1981-06-01,91.38
1981-07-01,91.42
1981-08-01,90.98
1981-09-01,91.96
1981-10-01,92.24
1981-11-01,93.25
1981-12-01,93.57
1982-01-01,93.67
