DATE,RU2000VPR
1980-02-01,200.19
1980-03-01,167.95
1980-04-01,177.81
1980-05-01,191.92
1980-06-01,197.67
1980-07-01,215.56
1980-08-01,225.65
1980-09-01,227.77
1980-10-01,231.5
1980-11-01,237.11
1980-12-01,232.16
1981-01-01,237.72
1981-02-01,242.57
1981-03-01,262.13
1981-04-01,270.78
1981-05-01,274.21
1981-06-01,276.87
1981-07-01,270.45
1981-08-01,254.04
1981-09-01,236.36
1981-10-01,251.09
1981-11-01,261.4
1981-12-01,256.62
1982-01-01,250.66
1982-02-01,242.34
1982-03-01,241.97
1982-04-01,252.03
1982-05-01,245.32
1982-06-01,236.52
1982-07-01,233.69
1982-08-01,252.61
1982-09-01,260.7
1982-10-01,291.72
1982-11-01,311.78
1982-12-01,314.26
1983-01-01,333.93
1983-02-01,349.94
1983-03-01,365.71
1983-04-01,391.39
1983-05-01,414.7
1983-06-01,427.16
1983-07-01,425.7
1983-08-01,414.09
1983-09-01,424.63
1983-10-01,405.39
1983-11-01,424.7
1983-12-01,421.03
1984-01-01,425.47
1984-02-01,404.21
1984-03-01,409.6
1984-04-01,406.5
1984-05-01,386.83
1984-06-01,393.7
1984-07-01,378.89
1984-08-01,415.9
1984-09-01,419.79
1984-10-01,415.44
1984-11-01,410.25
1984-12-01,415.28
1985-01-01,464.59
1985-02-01,472.88
1985-03-01,464.27
1985-04-01,460.91
1985-05-01,474.15
1985-06-01,478.78
1985-07-01,490.45
1985-08-01,486.53
1985-09-01,461.59
1985-10-01,476.13
1985-11-01,506.3
1985-12-01,525.52
1986-01-01,529.32
1986-02-01,564.89
1986-03-01,592.83
1986-04-01,595.04
1986-05-01,612.91
1986-06-01,608.07
1986-07-01,558.58
1986-08-01,580.2
1986-09-01,553.63
1986-10-01,568.83
1986-11-01,566.3
1986-12-01,551.25
1987-01-01,608.1
1987-02-01,650.18
1987-03-01,666.55
1987-04-01,648.31
1987-05-01,647.12
1987-06-01,662.88
1987-07-01,687.52
1987-08-01,706.44
1987-09-01,693.52
1987-10-01,496.8
1987-11-01,474.52
1987-12-01,501.11
1988-01-01,534.32
1988-02-01,579.19
1988-03-01,601.37
1988-04-01,613.45
1988-05-01,598.74
1988-06-01,638.51
1988-07-01,637.15
1988-08-01,624.89
1988-09-01,638.87
1988-10-01,634.06
1988-11-01,614.69
1988-12-01,631.32
1989-01-01,659.69
1989-02-01,666.21
1989-03-01,677.93
1989-04-01,702.16
1989-05-01,727.15
1989-06-01,716.41
1989-07-01,737.48
1989-08-01,749.91
1989-09-01,744.46
1989-10-01,695.71
1989-11-01,696.52
1989-12-01,692.11
1990-01-01,641.82
1990-02-01,655.52
1990-03-01,675.17
1990-04-01,649.84
1990-05-01,681.32
1990-06-01,679.25
1990-07-01,649.3
1990-08-01,567.26
1990-09-01,518.49
1990-10-01,483.14
1990-11-01,510.5
1990-12-01,523.68
1991-01-01,567.78
1991-02-01,627.99
1991-03-01,670.17
1991-04-01,674.18
1991-05-01,703.99
1991-06-01,669.59
1991-07-01,685.81
1991-08-01,704.77
1991-09-01,704.01
1991-10-01,710.9
1991-11-01,680.43
1991-12-01,722.56
1992-01-01,782.03
1992-02-01,817.56
1992-03-01,806.84
1992-04-01,794.58
1992-05-01,814.46
1992-06-01,786.39
1992-07-01,814.82
1992-08-01,797.15
1992-09-01,810.55
1992-10-01,828.3
1992-11-01,877.72
1992-12-01,912.36
1993-01-01,959.67
1993-02-01,961.85
1993-03-01,996.44
1993-04-01,971.33
1993-05-01,1000
1993-06-01,997.1759091
1993-07-01,1018.919524
1993-08-01,1040.090909
1993-09-01,1064.345238
1993-10-01,1096.092857
1993-11-01,1085.418095
1993-12-01,1088.253182
1994-01-01,1124.018571
1994-02-01,1136.497895
1994-03-01,1137.46087
1994-04-01,1087.8875
1994-05-01,1088.144286
1994-06-01,1089.715
1994-07-01,1075.182
1994-08-01,1094.801304
1994-09-01,1111.579048
1994-10-01,1087.237143
1994-11-01,1056.337143
1994-12-01,1032.65381
1995-01-01,1064.675714
1995-02-01,1082.366842
1995-03-01,1088.645217
1995-04-01,1115.525263
1995-05-01,1146.02
1995-06-01,1176.651818
1995-07-01,1214.936
1995-08-01,1242.997826
1995-09-01,1284.6475
1995-10-01,1252.007727
1995-11-01,1254.290952
1995-12-01,1293.478
1996-01-01,1297.189545
1996-02-01,1331.886
1996-03-01,1342.422381
1996-04-01,1371.552857
1996-05-01,1413.139091
1996-06-01,1415.5205
1996-07-01,1349.35
1996-08-01,1370.501364
1996-09-01,1404.948
1996-10-01,1430.423913
1996-11-01,1469.4
1996-12-01,1520.997619
1997-01-01,1561.438182
1997-02-01,1583.935263
1997-03-01,1589.779
1997-04-01,1539.017273
1997-05-01,1631.604762
1997-06-01,1729.548095
1997-07-01,1789.140909
1997-08-01,1832.697619
1997-09-01,1928.729524
1997-10-01,1978.348261
1997-11-01,1931.653158
1997-12-01,1959.462609
1998-01-01,1949.7645
1998-02-01,2033.057895
1998-03-01,2112.389091
1998-04-01,2165.141429
1998-05-01,2127.388
1998-06-01,2045.065455
1998-07-01,2035.357727
1998-08-01,1813.6
1998-09-01,1667.889524
1998-10-01,1627.463636
1998-11-01,1780.311
1998-12-01,1768.625909
1999-01-01,1813.3095
1999-02-01,1698.2675
1999-03-01,1652.473478
1999-04-01,1720.468095
1999-05-01,1833.401429
1999-06-01,1860.708636
1999-07-01,1882.226364
1999-08-01,1812.625
1999-09-01,1767.789524
1999-10-01,1696.662727
1999-11-01,1726.431905
1999-12-01,1700.613182
2000-01-01,1744.5935
2000-02-01,1752.5945
2000-03-01,1810.545652
2000-04-01,1776.2485
2000-05-01,1797.053182
2000-06-01,1838.380455
2000-07-01,1898.3005
2000-08-01,1940.617826
2000-09-01,1963.619048
2000-10-01,1883.936364
2000-11-01,1938.61619
2000-12-01,1992.597
2001-01-01,2106.924762
2001-02-01,2176.814737
2001-03-01,2115.019545
2001-04-01,2116.8905
2001-05-01,2253.653182
2001-06-01,2290.54381
2001-07-01,2271.022381
2001-08-01,2297.334348
