DATE,RU3000GTR
1984-02-01,217.43
1984-03-01,220.85
1984-04-01,221.81
1984-05-01,209.78
1984-06-01,217.79
1984-07-01,212.98
1984-08-01,237.73
1984-09-01,233.52
1984-10-01,234.24
1984-11-01,228.92
1984-12-01,234.55
1985-01-01,257.39
1985-02-01,261.75
1985-03-01,259.35
1985-04-01,255.31
1985-05-01,270.24
1985-06-01,275.1
1985-07-01,274.85
1985-08-01,272.17
1985-09-01,261.57
1985-10-01,272.85
1985-11-01,296.02
1985-12-01,311.23
1986-01-01,314.19
1986-02-01,339
1986-03-01,359.53
1986-04-01,360.78
1986-05-01,380.87
1986-06-01,388.45
1986-07-01,360.38
1986-08-01,376.22
1986-09-01,339.54
1986-10-01,358.85
1986-11-01,364.67
1986-12-01,355.6
1987-01-01,406.15
1987-02-01,434.76
1987-03-01,442.17
1987-04-01,433.24
1987-05-01,437.26
1987-06-01,457.09
1987-07-01,477.95
1987-08-01,499.27
1987-09-01,486.56
1987-10-01,369.61
1987-11-01,338.25
1987-12-01,369.53
1988-01-01,374.07
1988-02-01,395.59
1988-03-01,385.06
1988-04-01,386.41
1988-05-01,384.04
1988-06-01,406.09
1988-07-01,399.35
1988-08-01,384.74
1988-09-01,403.56
1988-10-01,410.21
1988-11-01,401.82
1988-12-01,413.86
1989-01-01,441.9
1989-02-01,432.47
1989-03-01,442.78
1989-04-01,469.06
1989-05-01,490.43
1989-06-01,486.13
1989-07-01,533.24
1989-08-01,542.53
1989-09-01,545.28
1989-10-01,534.15
1989-11-01,547.44
1989-12-01,557.38
1990-01-01,511.69
1990-02-01,516.39
1990-03-01,537.17
1990-04-01,529.53
1990-05-01,584.02
1990-06-01,590.13
1990-07-01,583.5
1990-08-01,525.96
1990-09-01,496.46
1990-10-01,496.9
1990-11-01,530.97
1990-12-01,550.07
1991-01-01,579.42
1991-02-01,626.51
1991-03-01,652.26
1991-04-01,648.94
1991-05-01,678.01
1991-06-01,645.05
1991-07-01,679.36
1991-08-01,702.43
1991-09-01,691.47
1991-10-01,703.3
1991-11-01,684.27
1991-12-01,779.2
1992-01-01,764.81
1992-02-01,766.41
1992-03-01,744.04
1992-04-01,746.47
1992-05-01,751.55
1992-06-01,731
1992-07-01,763.13
1992-08-01,752.53
1992-09-01,762.02
1992-10-01,774.7
1992-11-01,810.87
1992-12-01,819.89
1993-01-01,811.83
1993-02-01,796.79
1993-03-01,812.49
1993-04-01,780.45
1993-05-01,809.14
1993-06-01,802.39
1993-07-01,789.86
1993-08-01,822.69
1993-09-01,819.36
1993-10-01,842.23
1993-11-01,834.13
1993-12-01,850.17
1994-01-01,870.08
1994-02-01,855.31
1994-03-01,812.95
1994-04-01,816.58
1994-05-01,826.17
1994-06-01,800.82
1994-07-01,826.64
1994-08-01,874.13
1994-09-01,863.72
1994-10-01,882.98
1994-11-01,854.01
1994-12-01,868.9
1995-01-01,883.79
1995-02-01,921.2
1995-03-01,948.15
1995-04-01,968.25
1995-05-01,1000
1995-06-01,1024.743636
1995-07-01,1070.954
1995-08-01,1084.171739
1995-09-01,1127.9975
1995-10-01,1129.369091
1995-11-01,1158.64381
1995-12-01,1184.654
1996-01-01,1175.863182
1996-02-01,1255.587
1996-03-01,1254.737619
1996-04-01,1263.108571
1996-05-01,1312.346364
1996-06-01,1331.0715
1996-07-01,1257.349091
1996-08-01,1295.262273
1996-09-01,1332.433
1996-10-01,1382.99087
1996-11-01,1434.594
1996-12-01,1447.865238
1997-01-01,1497.683182
1997-02-01,1548.913684
1997-03-01,1517.682
1997-04-01,1461.193636
1997-05-01,1604.612857
1997-06-01,1688.937143
1997-07-01,1800.422273
1997-08-01,1807.184286
1997-09-01,1832.079524
1997-10-01,1856.578696
1997-11-01,1822.213158
1997-12-01,1839.060435
1998-01-01,1862.483
1998-02-01,2002.557895
1998-03-01,2087.258182
1998-04-01,2150.792381
1998-05-01,2143.3295
1998-06-01,2140.279091
1998-07-01,2268.527727
1998-08-01,2110.291429
1998-09-01,1986.159524
1998-10-01,1980.784091
1998-11-01,2258.5815
1998-12-01,2389.698182
1999-01-01,2561.295
1999-02-01,2559.0395
1999-03-01,2621.448261
1999-04-01,2716.784286
1999-05-01,2659.263333
