DATE,SFTPAGRM158SFRBSF
1971-05-01,0.15499
1971-06-01,0.11348
1971-07-01,0.08099
1971-08-01,0.06779
1971-09-01,0.0676
1971-10-01,0.09578
1971-11-01,0.2296
1971-12-01,0.46059
1972-01-01,0.51582
1972-02-01,0.2794
1972-03-01,0.05231
1972-04-01,-0.03148
1972-05-01,-0.00898
1972-06-01,0.06619
1972-07-01,0.12754
1972-08-01,0.12377
1972-09-01,0.14469
1972-10-01,0.22804
1972-11-01,0.34664
1972-12-01,0.39014
1973-01-01,0.33011
1973-02-01,0.26458
1973-03-01,0.26486
1973-04-01,0.30341
1973-05-01,0.30249
1973-06-01,0.21911
1973-07-01,0.13151
1973-08-01,0.20133
1973-09-01,0.32211
1973-10-01,0.38254
1973-11-01,0.33601
1973-12-01,0.24601
1974-01-01,0.19011
1974-02-01,0.09764
1974-03-01,0.01917
1974-04-01,0.09643
1974-05-01,0.33717
1974-06-01,0.45063
1974-07-01,0.3146
1974-08-01,0.26552
1974-09-01,0.4423
1974-10-01,0.35048
1974-11-01,0.06764
1974-12-01,-0.11022
1975-01-01,-0.16938
1975-02-01,-0.17396
1975-03-01,-0.15958
1975-04-01,-0.18119
1975-05-01,-0.19659
1975-06-01,-0.15982
1975-07-01,-0.06697
1975-08-01,0.00619
1975-09-01,0.02788
1975-10-01,0.01963
1975-11-01,0.05296
1975-12-01,0.1728
1976-01-01,0.30541
1976-02-01,0.41588
1976-03-01,0.51791
1976-04-01,0.59589
1976-05-01,0.59797
1976-06-01,0.536
1976-07-01,0.51951
1976-08-01,0.54601
1976-09-01,0.60859
1976-10-01,0.64128
1976-11-01,0.5863
1976-12-01,0.4581
1977-01-01,0.35412
1977-02-01,0.38179
1977-03-01,0.40788
1977-04-01,0.3967
1977-05-01,0.31866
1977-06-01,0.27176
1977-07-01,0.29192
1977-08-01,0.35881
1977-09-01,0.4095
1977-10-01,0.39375
1977-11-01,0.28772
1977-12-01,0.17291
1978-01-01,0.1776
1978-02-01,0.40654
1978-03-01,0.66511
1978-04-01,0.67129
1978-05-01,0.52424
1978-06-01,0.42255
1978-07-01,0.38933
1978-08-01,0.40051
1978-09-01,0.39023
1978-10-01,0.3727
1978-11-01,0.37042
1978-12-01,0.40231
1979-01-01,0.44412
1979-02-01,0.36895
1979-03-01,0.22666
1979-04-01,0.19368
1979-05-01,0.33679
1979-06-01,0.47783
1979-07-01,0.44709
1979-08-01,0.34407
1979-09-01,0.31613
1979-10-01,0.39769
1979-11-01,0.46938
1979-12-01,0.43453
1980-01-01,0.34164
1980-02-01,0.27288
1980-03-01,0.2372
1980-04-01,0.25951
1980-05-01,0.30378
1980-06-01,0.32927
1980-07-01,0.33567
1980-08-01,0.2917
1980-09-01,0.24911
1980-10-01,0.22381
1980-11-01,0.24066
1980-12-01,0.28243
1981-01-01,0.30793
1981-02-01,0.28571
1981-03-01,0.28678
1981-04-01,0.32895
1981-05-01,0.30709
1981-06-01,0.2555
1981-07-01,0.25065
1981-08-01,0.30814
1981-09-01,0.30417
1981-10-01,0.19504
1981-11-01,0.1327
1981-12-01,0.25826
1982-01-01,0.47461
1982-02-01,0.3784
1982-03-01,0.02387
1982-04-01,-0.15984
1982-05-01,-0.11692
1982-06-01,0.0165
1982-07-01,0.02762
