DATE,SFTPGR12M159SFRBSF
1972-04-01,0.16366
1972-05-01,0.1489
1972-06-01,0.14476
1972-07-01,0.14879
1972-08-01,0.15369
1972-09-01,0.16041
1972-10-01,0.17148
1972-11-01,0.18039
1972-12-01,0.17554
1973-01-01,0.16281
1973-02-01,0.16168
1973-03-01,0.17962
1973-04-01,0.20918
1973-05-01,0.23704
1973-06-01,0.25093
1973-07-01,0.2513
1973-08-01,0.25828
1973-09-01,0.27348
1973-10-01,0.28611
1973-11-01,0.28526
1973-12-01,0.27359
1974-01-01,0.26184
1974-02-01,0.24704
1974-03-01,0.2248
1974-04-01,0.20728
1974-05-01,0.20993
1974-06-01,0.22758
1974-07-01,0.24302
1974-08-01,0.24843
1974-09-01,0.25751
1974-10-01,0.25506
1974-11-01,0.23182
1974-12-01,0.19773
1975-01-01,0.16237
1975-02-01,0.13516
1975-03-01,0.11706
1975-04-01,0.09021
1975-05-01,0.0449
1975-06-01,-0.00159
1975-07-01,-0.02971
1975-08-01,-0.04808
1975-09-01,-0.07457
1975-10-01,-0.09599
1975-11-01,-0.09704
1975-12-01,-0.07601
1976-01-01,-0.04054
1976-02-01,0.00353
1976-03-01,0.05421
1976-04-01,0.11449
1976-05-01,0.18022
1976-06-01,0.24108
1976-07-01,0.29255
1976-08-01,0.33966
1976-09-01,0.3906
1976-10-01,0.44687
1976-11-01,0.49714
1976-12-01,0.52455
1977-01-01,0.52921
1977-02-01,0.52611
1977-03-01,0.51657
1977-04-01,0.49981
1977-05-01,0.47599
1977-06-01,0.45295
1977-07-01,0.43344
1977-08-01,0.41811
1977-09-01,0.40258
1977-10-01,0.3836
1977-11-01,0.35976
1977-12-01,0.33532
1978-01-01,0.31987
1978-02-01,0.32182
1978-03-01,0.34044
1978-04-01,0.36064
1978-05-01,0.37717
1978-06-01,0.39009
1978-07-01,0.39853
1978-08-01,0.40206
1978-09-01,0.40045
1978-10-01,0.39868
1978-11-01,0.40595
1978-12-01,0.42703
1979-01-01,0.4515
1979-02-01,0.44823
1979-03-01,0.41182
1979-04-01,0.37277
1979-05-01,0.35784
1979-06-01,0.36216
1979-07-01,0.36679
1979-08-01,0.36212
1979-09-01,0.35591
1979-10-01,0.35795
1979-11-01,0.36587
1979-12-01,0.36845
1980-01-01,0.36009
1980-02-01,0.35186
1980-03-01,0.35283
1980-04-01,0.35889
1980-05-01,0.35606
1980-06-01,0.34414
1980-07-01,0.3352
1980-08-01,0.33078
1980-09-01,0.325
1980-10-01,0.31041
1980-11-01,0.29207
1980-12-01,0.28005
1981-01-01,0.27734
1981-02-01,0.27841
1981-03-01,0.2826
1981-04-01,0.28835
1981-05-01,0.28862
1981-06-01,0.28251
1981-07-01,0.2755
1981-08-01,0.27684
1981-09-01,0.28144
1981-10-01,0.2789
1981-11-01,0.26924
1981-12-01,0.26723
1982-01-01,0.27996
1982-02-01,0.2874
1982-03-01,0.26312
1982-04-01,0.21576
1982-05-01,0.17667
1982-06-01,0.15615
1982-07-01,0.13738
1982-08-01,0.10754
1982-09-01,0.07681
1982-10-01,0.05642
1982-11-01,0.04923
1982-12-01,0.04394
1983-01-01,0.03127
1983-02-01,0.0248
1983-03-01,0.04566
1983-04-01,0.08638
1983-05-01,0.12411
1983-06-01,0.14773
1983-07-01,0.16473
1983-08-01,0.18759
1983-09-01,0.22797
1983-10-01,0.27779
1983-11-01,0.31494
1983-12-01,0.32753
1984-01-01,0.32626
1984-02-01,0.32842
1984-03-01,0.33616
1984-04-01,0.34617
1984-05-01,0.35455
1984-06-01,0.36024
1984-07-01,0.36917
1984-08-01,0.37916
1984-09-01,0.37187
1984-10-01,0.35409
1984-11-01,0.33588
1984-12-01,0.3188
1985-01-01,0.29755
1985-02-01,0.266
1985-03-01,0.227
1985-04-01,0.18729
1985-05-01,0.15382
1985-06-01,0.12169
1985-07-01,0.08792
1985-08-01,0.06039
1985-09-01,0.04131
1985-10-01,0.02674
1985-11-01,0.01387
1985-12-01,0.002
