DATE,SFTPGRM157SFRBSF
1971-05-01,0.01208
1971-06-01,0.009
1971-07-01,0.00651
1971-08-01,0.00548
1971-09-01,0.00547
1971-10-01,0.00765
1971-11-01,0.01737
1971-12-01,0.03207
1972-01-01,0.03527
1972-02-01,0.02074
1972-03-01,0.00426
1972-04-01,-0.00266
1972-05-01,-0.00075
1972-06-01,0.00536
1972-07-01,0.01005
1972-08-01,0.00977
1972-09-01,0.01133
1972-10-01,0.01727
1972-11-01,0.02511
1972-12-01,0.02783
1973-01-01,0.02406
1973-02-01,0.01975
1973-03-01,0.01977
1973-04-01,0.02233
1973-05-01,0.02227
1973-06-01,0.01665
1973-07-01,0.01035
1973-08-01,0.0154
1973-09-01,0.02354
1973-10-01,0.02736
1973-11-01,0.02443
1973-12-01,0.0185
1974-01-01,0.01461
1974-02-01,0.00779
1974-03-01,0.00158
1974-04-01,0.0077
1974-05-01,0.02451
1974-06-01,0.03149
1974-07-01,0.02306
1974-08-01,0.01982
1974-09-01,0.03099
1974-10-01,0.02535
1974-11-01,0.00547
1974-12-01,-0.00968
1975-01-01,-0.01535
1975-02-01,-0.0158
1975-03-01,-0.01438
1975-04-01,-0.01652
1975-05-01,-0.01808
1975-06-01,-0.01441
1975-07-01,-0.00576
1975-08-01,0.00051
1975-09-01,0.00229
1975-10-01,0.00162
1975-11-01,0.00431
1975-12-01,0.01337
1976-01-01,0.02246
1976-02-01,0.0294
1976-03-01,0.03539
1976-04-01,0.03972
1976-05-01,0.03983
1976-06-01,0.03641
1976-07-01,0.03548
1976-08-01,0.03697
1976-09-01,0.04041
1976-10-01,0.04215
1976-11-01,0.0392
1976-12-01,0.03193
1977-01-01,0.02558
1977-02-01,0.02731
1977-03-01,0.02892
1977-04-01,0.02823
1977-05-01,0.02332
1977-06-01,0.02024
1977-07-01,0.02157
1977-08-01,0.02588
1977-09-01,0.02902
1977-10-01,0.02805
1977-11-01,0.0213
1977-12-01,0.01338
1978-01-01,0.01372
1978-02-01,0.02884
1978-03-01,0.04341
1978-04-01,0.04373
1978-05-01,0.03575
1978-06-01,0.02981
1978-07-01,0.02778
1978-08-01,0.02847
1978-09-01,0.02784
1978-10-01,0.02675
1978-11-01,0.02661
1978-12-01,0.02858
1979-01-01,0.0311
1979-02-01,0.02652
1979-03-01,0.01717
1979-04-01,0.01486
1979-05-01,0.02448
1979-06-01,0.03308
1979-07-01,0.03128
1979-08-01,0.02495
1979-09-01,0.02316
1979-10-01,0.02829
1979-11-01,0.03259
1979-12-01,0.03053
1980-01-01,0.02479
1980-02-01,0.02031
1980-03-01,0.0179
1980-04-01,0.01941
1980-05-01,0.02235
1980-06-01,0.024
1980-07-01,0.02441
1980-08-01,0.02156
1980-09-01,0.01871
1980-10-01,0.01697
1980-11-01,0.01813
1980-12-01,0.02095
1981-01-01,0.02262
1981-02-01,0.02116
1981-03-01,0.02123
1981-04-01,0.02398
1981-05-01,0.02257
1981-06-01,0.01914
1981-07-01,0.01881
1981-08-01,0.02264
1981-09-01,0.02238
1981-10-01,0.01496
1981-11-01,0.01044
1981-12-01,0.01933
1982-01-01,0.0329
1982-02-01,0.0271
1982-03-01,0.00197
1982-04-01,-0.01441
1982-05-01,-0.01031
1982-06-01,0.00136
1982-07-01,0.00227
1982-08-01,-0.00419
1982-09-01,-0.00598
1982-10-01,-0.00427
1982-11-01,0.00357
1982-12-01,0.01419
1983-01-01,0.02036
1983-02-01,0.02066
1983-03-01,0.02236
1983-04-01,0.02397
1983-05-01,0.02407
1983-06-01,0.0224
1983-07-01,0.01712
1983-08-01,0.01535
1983-09-01,0.02781
1983-10-01,0.03613
