DATE,SFTPINDM114SFRBSF
1971-04-01,0.92094
1971-05-01,0.93207
1971-06-01,0.94045
1971-07-01,0.94658
1971-08-01,0.95176
1971-09-01,0.95697
1971-10-01,0.96429
1971-11-01,0.98104
1971-12-01,1.01251
1972-01-01,1.04822
1972-02-01,1.06997
1972-03-01,1.07452
1972-04-01,1.07166
1972-05-01,1.07086
1972-06-01,1.07659
1972-07-01,1.08741
1972-08-01,1.09804
1972-09-01,1.11047
1972-10-01,1.12965
1972-11-01,1.15802
1972-12-01,1.19024
1973-01-01,1.21888
1973-02-01,1.24295
1973-03-01,1.26753
1973-04-01,1.29583
1973-05-01,1.32469
1973-06-01,1.34674
1973-07-01,1.36068
1973-08-01,1.38164
1973-09-01,1.41416
1973-10-01,1.45286
1973-11-01,1.48836
1973-12-01,1.51589
1974-01-01,1.53803
1974-02-01,1.55002
1974-03-01,1.55247
1974-04-01,1.56443
1974-05-01,1.60277
1974-06-01,1.65324
1974-07-01,1.69135
1974-08-01,1.72487
1974-09-01,1.77833
1974-10-01,1.82341
1974-11-01,1.83339
1974-12-01,1.81563
1975-01-01,1.78777
1975-02-01,1.75952
1975-03-01,1.73421
1975-04-01,1.70556
1975-05-01,1.67473
1975-06-01,1.65061
1975-07-01,1.6411
1975-08-01,1.64194
1975-09-01,1.64571
1975-10-01,1.64838
1975-11-01,1.65548
1975-12-01,1.67762
1976-01-01,1.7153
1976-02-01,1.76573
1976-03-01,1.82822
1976-04-01,1.90084
1976-05-01,1.97656
1976-06-01,2.04853
1976-07-01,2.12121
1976-08-01,2.19964
1976-09-01,2.28852
1976-10-01,2.38499
1976-11-01,2.47848
1976-12-01,2.55761
1977-01-01,2.62305
1977-02-01,2.6947
1977-03-01,2.77262
1977-04-01,2.8509
1977-05-01,2.91738
1977-06-01,2.97642
1977-07-01,3.04063
1977-08-01,3.11932
1977-09-01,3.20983
1977-10-01,3.29988
1977-11-01,3.37015
1977-12-01,3.41524
1978-01-01,3.46209
1978-02-01,3.56192
1978-03-01,3.71653
1978-04-01,3.87905
1978-05-01,4.01772
1978-06-01,4.13747
1978-07-01,4.25242
1978-08-01,4.37347
1978-09-01,4.49521
1978-10-01,4.61546
1978-11-01,4.73826
1978-12-01,4.87367
1979-01-01,5.02523
1979-02-01,5.15848
1979-03-01,5.24706
1979-04-01,5.32504
1979-05-01,5.45542
1979-06-01,5.6359
1979-07-01,5.81217
1979-08-01,5.95717
1979-09-01,6.09511
1979-10-01,6.26757
1979-11-01,6.47183
1979-12-01,6.66939
1980-01-01,6.83475
1980-02-01,6.97357
1980-03-01,7.09836
1980-04-01,7.23616
1980-05-01,7.3979
1980-06-01,7.57547
1980-07-01,7.76041
1980-08-01,7.92772
1980-09-01,8.07603
1980-10-01,8.21311
1980-11-01,8.36204
1980-12-01,8.53719
1981-01-01,8.73032
1981-02-01,8.91508
1981-03-01,9.10439
1981-04-01,9.32273
1981-05-01,9.53312
1981-06-01,9.7156
1981-07-01,9.89839
1981-08-01,10.12245
1981-09-01,10.34896
1981-10-01,10.50377
1981-11-01,10.61341
1981-12-01,10.81854
1982-01-01,11.17443
1982-02-01,11.47731
1982-03-01,11.49989
1982-04-01,11.33419
1982-05-01,11.21736
1982-06-01,11.23267
1982-07-01,11.25819
1982-08-01,11.21099
1982-09-01,11.14389
1982-10-01,11.09636
1982-11-01,11.13593
1982-12-01,11.29391
1983-01-01,11.52387
1983-02-01,11.76199
1983-03-01,12.02497
1983-04-01,12.31319
1983-05-01,12.60959
1983-06-01,12.89206
1983-07-01,13.11277
1983-08-01,13.31411
1983-09-01,13.68442
1983-10-01,14.17881
1983-11-01,14.64302
1983-12-01,14.99298
1984-01-01,15.28369
1984-02-01,15.6249
1984-03-01,16.06723
1984-04-01,16.57567
1984-05-01,17.08033
1984-06-01,17.53628
1984-07-01,17.95359
1984-08-01,18.36235
1984-09-01,18.7732
1984-10-01,19.19935
1984-11-01,19.56136
1984-12-01,19.77282
1985-01-01,19.83129
1985-02-01,19.78118
1985-03-01,19.71442
1985-04-01,19.68009
1985-05-01,19.70762
1985-06-01,19.67033
1985-07-01,19.5321
1985-08-01,19.47118
1985-09-01,19.54882
1985-10-01,19.71266
1985-11-01,19.83265
1985-12-01,19.8124
1986-01-01,19.70378
1986-02-01,19.65041
1986-03-01,19.68396
1986-04-01,19.72724
1986-05-01,19.7012
1986-06-01,19.68744
1986-07-01,19.82404
1986-08-01,20.00027
1986-09-01,20.11822
1986-10-01,20.21059
1986-11-01,20.33148
1986-12-01,20.47719
1987-01-01,20.5694
1987-02-01,20.55348
1987-03-01,20.48198
1987-04-01,20.51315
1987-05-01,20.7008
1987-06-01,21.02097
1987-07-01,21.40762
1987-08-01,21.73959
1987-09-01,21.97081
1987-10-01,22.14185
1987-11-01,22.33495
1987-12-01,22.61569
1988-01-01,22.97714
1988-02-01,23.41249
