DATE,SPASTT01CAM661N
1956-07-01,4.782601342
1956-08-01,.
1956-09-01,.
1956-10-01,.
1956-11-01,.
1956-12-01,.
1957-01-01,.
1957-02-01,.
1957-03-01,.
1957-04-01,4.679959034
1957-05-01,.
1957-06-01,.
1957-07-01,.
1957-08-01,.
1957-09-01,.
1957-10-01,.
1957-11-01,.
1957-12-01,.
1958-01-01,.
1958-02-01,.
1958-03-01,.
1958-04-01,.
1958-05-01,3.768356166
1958-06-01,3.922112521
1958-07-01,.
1958-08-01,.
1958-09-01,.
1958-10-01,.
1958-11-01,.
1958-12-01,.
1959-01-01,.
1959-02-01,.
1959-03-01,.
1959-04-01,.
1959-05-01,4.705143265
1959-06-01,.
1959-07-01,.
1959-08-01,.
1959-09-01,.
1959-10-01,.
1959-11-01,.
1959-12-01,.
1960-01-01,4.588583356
1960-02-01,4.382056098
1960-03-01,4.243377145
1960-04-01,4.238406573
1960-05-01,4.173292082
1960-06-01,4.286206905
1960-07-01,4.180085197
1960-08-01,4.104615349
1960-09-01,4.351569924
1960-10-01,4.144794137
1960-11-01,4.151007352
1960-12-01,4.312633778
1961-01-01,4.524380137
1961-02-01,4.776222441
1961-03-01,4.928239096
1961-04-01,5.028561803
1961-05-01,5.252154691
1961-06-01,5.354134256
1961-07-01,5.394975787
1961-08-01,5.490742137
1961-09-01,5.566377672
1961-10-01,5.482375008
1961-11-01,5.520979783
1961-12-01,5.686416981
1962-01-01,5.799580332
1962-02-01,5.658416093
1962-03-01,5.689399324
1962-04-01,5.675813094
1962-05-01,5.510293053
1962-06-01,5.057639648
1962-07-01,4.747558811
1962-08-01,4.86039079
1962-09-01,4.961127712
1962-10-01,4.740517167
1962-11-01,4.827833545
1962-12-01,5.188448529
1963-01-01,5.221834203
1963-02-01,5.457853521
1963-03-01,5.296641309
1963-04-01,5.459013321
1963-05-01,5.713755125
1963-06-01,5.791627417
1963-07-01,5.580626644
1963-08-01,5.438799662
1963-09-01,5.481463737
1963-10-01,5.640439191
1963-11-01,5.680535137
1963-12-01,5.635137248
1964-01-01,5.82816112
1964-02-01,5.974130245
1964-03-01,5.936685271
1964-04-01,6.167071274
1964-05-01,6.39323229
1964-06-01,6.603156106
1964-07-01,6.59777132
1964-08-01,6.739515459
1964-09-01,6.713751329
1964-10-01,6.989700906
1964-11-01,7.015299351
1964-12-01,7.043714453
1965-01-01,7.089775085
1965-02-01,7.465798842
1965-03-01,7.431916111
1965-04-01,7.377405506
1965-05-01,7.548310334
1965-06-01,7.507965859
1965-07-01,7.014388079
1965-08-01,6.953415732
1965-09-01,7.121006845
1965-10-01,7.241460368
1965-11-01,7.354126662
1965-12-01,7.161848376
1966-01-01,7.314030716
1966-02-01,7.593542537
1966-03-01,7.411785295
1966-04-01,7.318504231
1966-05-01,7.37202072
1966-06-01,7.13707836
