DATE,TRESEGCAM052N
1950-12-01,1265010000
1951-01-01,.
1951-02-01,.
1951-03-01,.
1951-04-01,.
1951-05-01,.
1951-06-01,.
1951-07-01,.
1951-08-01,.
1951-09-01,.
1951-10-01,.
1951-11-01,.
1951-12-01,1064010000
1952-01-01,.
1952-02-01,.
1952-03-01,.
1952-04-01,.
1952-05-01,.
1952-06-01,.
1952-07-01,.
1952-08-01,.
1952-09-01,.
1952-10-01,.
1952-11-01,.
1952-12-01,1058910000
1953-01-01,.
1953-02-01,.
1953-03-01,.
1953-04-01,.
1953-05-01,.
1953-06-01,.
1953-07-01,.
1953-08-01,.
1953-09-01,.
1953-10-01,.
1953-11-01,.
1953-12-01,922610000
1954-01-01,.
1954-02-01,.
1954-03-01,.
1954-04-01,.
1954-05-01,.
1954-06-01,.
1954-07-01,.
1954-08-01,.
1954-09-01,.
1954-10-01,.
1954-11-01,.
1954-12-01,964310000
1955-01-01,.
1955-02-01,.
1955-03-01,.
1955-04-01,.
1955-05-01,.
1955-06-01,.
1955-07-01,.
1955-08-01,.
1955-09-01,.
1955-10-01,.
1955-11-01,.
1955-12-01,859510000
1956-01-01,.
1956-02-01,.
1956-03-01,.
1956-04-01,.
1956-05-01,.
1956-06-01,.
1956-07-01,.
1956-08-01,.
1956-09-01,.
1956-10-01,.
1956-11-01,.
1956-12-01,940410000
1957-01-01,934620000
1957-02-01,929020000
1957-03-01,929020000
1957-04-01,905220000
1957-05-01,934320000
1957-06-01,951120000
1957-07-01,977020000
1957-08-01,950720000
1957-09-01,897520000
1957-10-01,927320000
1957-11-01,898720000
1957-12-01,835820000
1958-01-01,862720000
1958-02-01,888020000
1958-03-01,886120000
1958-04-01,888320000
1958-05-01,926220000
1958-06-01,950920000
1958-07-01,958120000
1958-08-01,951820000
1958-09-01,917720000
1958-10-01,950220000
1958-11-01,957810000
1958-12-01,968210000
1959-01-01,932610000
1959-02-01,910510000
1959-03-01,923610000
1959-04-01,947110000
1959-05-01,950110000
1959-06-01,966910000
1959-07-01,962410000
1959-08-01,978010000
1959-09-01,1006810000
1959-10-01,1076810000
1959-11-01,1071710000
1959-12-01,1077210000
1960-01-01,1079810000
1960-02-01,1075210000
1960-03-01,1074910000
1960-04-01,1065910000
1960-05-01,986710000
1960-06-01,1031710000
1960-07-01,1084210000
1960-08-01,1101710000
1960-09-01,1089920000
1960-10-01,1125720000
1960-11-01,1123620000
1960-12-01,1112520000
1961-01-01,1168820000
1961-02-01,1196720000
1961-03-01,1221440000
1961-04-01,1228740000
1961-05-01,1234440000
1961-06-01,1263440000
1961-07-01,1233340000
1961-08-01,1233740000
1961-09-01,1233640000
1961-10-01,1414540000
1961-11-01,1373240000
1961-12-01,1345840000
1962-01-01,1207640000
1962-02-01,1020340000
1962-03-01,969740000
1962-04-01,838040000
1962-05-01,765140000
1962-06-01,1163200000
1962-07-01,1466400000
1962-08-01,1668800000
1962-09-01,1778200000
1962-10-01,1941400000
1962-11-01,1925800000
1962-12-01,1852000000
1963-01-01,1969700000
1963-02-01,1890000000
1963-03-01,1889900000
1963-04-01,1954900000
1963-05-01,1987700000
1963-06-01,1959500000
1963-07-01,1760700000
1963-08-01,1725000000
1963-09-01,1815200000
1963-10-01,1818000000
1963-11-01,1850900000
1963-12-01,1796100000
1964-01-01,1763800000
1964-02-01,1711950000
1964-03-01,1643750000
1964-04-01,1627050000
1964-05-01,1638250000
1964-06-01,1645750000
1964-07-01,1627150000
1964-08-01,1654550000
1964-09-01,1733050000
1964-10-01,1839200000
1964-11-01,1891500000
1964-12-01,1863800000
1965-01-01,1847400000
1965-02-01,1838200000
1965-03-01,1780700000
1965-04-01,1787000000
1965-05-01,1762500000
1965-06-01,1736600000
1965-07-01,1753800000
1965-08-01,1863300000
1965-09-01,1921200000
1965-10-01,1925200000
1965-11-01,1924700000
1965-12-01,1886100000
1966-01-01,1884700000
1966-02-01,1873050000
1966-03-01,1827310000
1966-04-01,1786160000
1966-05-01,1817870000
1966-06-01,1774070000
1966-07-01,1788770000
1966-08-01,1748860000
1966-09-01,1709210000
1966-10-01,1677570000
1966-11-01,1678270000
1966-12-01,1656270000
1967-01-01,1667570000
1967-02-01,1609970000
1967-03-01,1604970000
1967-04-01,1627580000
1967-05-01,1607380000
1967-06-01,1572890000
1967-07-01,1575220000
1967-08-01,1578770000
1967-09-01,1589870000
1967-10-01,1666380000
1967-11-01,1613780000
1967-12-01,1701990000
1968-01-01,1592790000
1968-02-01,1473590000
1968-03-01,1284690000
1968-04-01,1480590000
1968-05-01,1822790000
1968-06-01,1784610000
1968-07-01,1722910000
1968-08-01,1798910000
1968-09-01,1874400000
1968-10-01,1864790000
1968-11-01,2022390000
1968-12-01,2182700000
1969-01-01,2226800000
1969-02-01,2181600000
1969-03-01,2147600000
1969-04-01,2167710000
1969-05-01,2148810000
1969-06-01,2095110000
1969-07-01,2068620000
1969-08-01,2100820000
1969-09-01,2084100000
1969-10-01,2177990000
1969-11-01,2202990000
1969-12-01,2233990000
1970-01-01,2441310000
1970-02-01,2544810000
1970-03-01,2718410000
1970-04-01,2943320000
1970-05-01,3204370000
1970-06-01,3453770000
1970-07-01,3564330000
1970-08-01,3735700000
1970-09-01,3673000000
1970-10-01,3726990000
1970-11-01,3764090000
1970-12-01,3888290000
1971-01-01,4008390000
1971-02-01,4059100000
1971-03-01,4053600000
1971-04-01,4063110000
1971-05-01,4086990000
1971-06-01,4060180000
1971-07-01,4132190000
1971-08-01,4200360000
1971-09-01,4199820000
1971-10-01,4279620000
1971-11-01,4481860000
1971-12-01,4839011900
1972-01-01,4935037900
1972-02-01,4946535700
1972-03-01,5028019200
1972-04-01,5079985800
1972-05-01,5211750400
1972-06-01,5383665200
1972-07-01,5357050900
1972-08-01,5365279500
1972-09-01,5387019000
1972-10-01,5394749800
1972-11-01,5212379000
1972-12-01,5215740700
1973-01-01,5130458400
1973-02-01,5311103700
1973-03-01,5225593000
1973-04-01,5165806600
1973-05-01,5207888500
1973-06-01,5119077700
1973-07-01,5049204400
1973-08-01,4846951000
1973-09-01,4792655500
1973-10-01,4845890400
1973-11-01,4808823500
1973-12-01,4841436200
1974-01-01,4927200000
1974-02-01,5270366300
1974-03-01,5174557800
1974-04-01,5308087000
1974-05-01,5303060000
1974-06-01,5195974600
1974-07-01,5090126800
1974-08-01,4942826100
1974-09-01,4896362300
1974-10-01,4891002200
1974-11-01,4869264800
1974-12-01,4884633000
1975-01-01,4850371900
1975-02-01,4926933800
1975-03-01,4868091200
1975-04-01,4581104900
1975-05-01,4440380400
1975-06-01,4379827300
1975-07-01,4310457700
1975-08-01,4279198300
1975-09-01,4322988100
1975-10-01,4390529400
1975-11-01,4514568300
1975-12-01,4426225300
1976-01-01,4701458300
1976-02-01,4979427400
1976-03-01,4949789600
1976-04-01,4930618800
1976-05-01,4944137200
1976-06-01,5114949600
1976-07-01,4922987300
1976-08-01,4705663100
1976-09-01,4962252500
1976-10-01,4963971600
1976-11-01,4209526200
1976-12-01,4964359800
1977-01-01,4797246600
1977-02-01,4386775700
1977-03-01,4207582300
1977-04-01,4297789700
1977-05-01,4342863400
1977-06-01,4205594700
1977-07-01,4113207500
1977-08-01,3956578500
1977-09-01,3891494700
1977-10-01,3273379500
1977-11-01,3290664200
1977-12-01,3671868400
1978-01-01,3469462500
1978-02-01,2753969000
1978-03-01,3018470600
1978-04-01,3638371500
1978-05-01,3800419700
1978-06-01,3785217500
1978-07-01,3618554200
1978-08-01,3211673400
1978-09-01,2677797400
1978-10-01,4059226200
1978-11-01,3504881100
1978-12-01,3557136000
1979-01-01,3404563000
1979-02-01,3115127600
1979-03-01,4425080700
1979-04-01,4159115300
1979-05-01,3095758700
1979-06-01,3179436500
1979-07-01,3234433100
1979-08-01,3271353500
1979-09-01,3494974800
1979-10-01,2931349100
1979-11-01,2965761900
1979-12-01,2864351500
1980-01-01,3056251800
1980-02-01,3471501600
1980-03-01,2715402900
1980-04-01,2989265200
1980-05-01,3236138100
1980-06-01,3319099400
1980-07-01,3040738300
1980-08-01,3292601200
1980-09-01,2979811400
1980-10-01,2726724800
1980-11-01,2527626000
1980-12-01,3092942400
1981-01-01,2523140100
1981-02-01,2443919000
1981-03-01,2816045800
1981-04-01,2269404400
1981-05-01,2321623400
1981-06-01,2212371000
1981-07-01,1482940100
1981-08-01,2465930100
1981-09-01,2165715700
1981-10-01,1971475200
1981-11-01,3701604000
1981-12-01,3537478700
1982-01-01,3476201700
1982-02-01,2695775300
1982-03-01,2175821000
1982-04-01,2638947300
1982-05-01,2069486200
1982-06-01,2148142900
1982-07-01,2491980900
1982-08-01,3091687100
1982-09-01,3027186400
1982-10-01,2841800900
1982-11-01,2897936600
1982-12-01,3011047300
1983-01-01,3340484700
1983-02-01,3852129500
1983-03-01,3489014800
1983-04-01,3634757900
1983-05-01,3471411200
1983-06-01,3624747700
1983-07-01,3617708700
1983-08-01,3776628500
1983-09-01,3838835200
1983-10-01,3999290800
1983-11-01,3785155600
1983-12-01,3466462100
1984-01-01,3546622300
1984-02-01,3416169300
1984-03-01,2901470400
1984-04-01,2539801600
1984-05-01,2935576600
1984-06-01,2155708000
1984-07-01,3478005700
1984-08-01,2914995000
1984-09-01,2660043000
1984-10-01,2829275500
1984-11-01,2385830500
1984-12-01,2491295500
1985-01-01,2290453200
1985-02-01,2094859500
1985-03-01,3075627400
1985-04-01,2708997400
1985-05-01,2406136700
1985-06-01,2332831000
1985-07-01,2798918700
1985-08-01,2518180200
1985-09-01,2466955100
1985-10-01,2368307000
1985-11-01,2629712200
1985-12-01,2502701700
1986-01-01,2452665400
1986-02-01,3670995600
1986-03-01,2479168700
1986-04-01,2639181300
1986-05-01,2641556800
1986-06-01,2503434800
1986-07-01,2622303300
1986-08-01,2383270300
1986-09-01,2255520600
1986-10-01,2880388400
1986-11-01,3048912000
1986-12-01,3251239400
1987-01-01,5201968600
1987-02-01,5681214800
1987-03-01,6897893700
1987-04-01,5294942600
1987-05-01,4865796300
1987-06-01,5492289700
1987-07-01,5578536200
1987-08-01,6387480100
1987-09-01,6699948300
1987-10-01,7075212200
1987-11-01,7007292600
1987-12-01,7277355400
1988-01-01,8649139800
1988-02-01,9586996600
1988-03-01,11689334600
1988-04-01,12761448600
1988-05-01,12535561600
1988-06-01,15415699900
1988-07-01,14573116600
1988-08-01,13072118500
1988-09-01,13914806400
1988-10-01,15381754400
1988-11-01,15255024300
1988-12-01,15390642900
1989-01-01,15823412500
1989-02-01,15385264200
1989-03-01,15424199700
1989-04-01,15366593200
1989-05-01,14770054100
1989-06-01,15143611000
1989-07-01,15418836100
1989-08-01,15947295100
1989-09-01,15693543000
1989-10-01,15666854900
1989-11-01,15538290300
1989-12-01,16055317400
1990-01-01,14909770500
1990-02-01,12936390800
1990-03-01,13788559400
1990-04-01,14243352200
1990-05-01,13244151000
1990-06-01,13870322300
1990-07-01,15265081600
1990-08-01,17717220700
1990-09-01,17545569100
1990-10-01,17371463600
1990-11-01,17711499100
1990-12-01,17845377600
1991-01-01,18137693100
1991-02-01,16784411300
1991-03-01,16959834500
1991-04-01,15834917800
1991-05-01,17215953700
1991-06-01,16478546100
1991-07-01,16738045400
1991-08-01,18001010000
1991-09-01,18074961600
1991-10-01,16909496200
1991-11-01,17334615300
1991-12-01,16252483200
1992-01-01,16117553300
1992-02-01,16025686900
1992-03-01,14681262000
1992-04-01,14896538900
1992-05-01,14816009300
1992-06-01,14651947100
1992-07-01,15082729800
