DATE,TWEXMPA
1973-01-01,108.28
1973-02-01,103.495
1973-03-01,100
1973-04-01,100.702
1973-05-01,99.321
1973-06-01,97.414
1973-07-01,94.73
1973-08-01,96.88
1973-09-01,96.617
1973-10-01,96.307
1973-11-01,98.712
1973-12-01,99.643
1974-01-01,102.908
1974-02-01,100.198
1974-03-01,98.099
1974-04-01,96.319
1974-05-01,95.288
1974-06-01,96.342
1974-07-01,96.58
1974-08-01,98.44
1974-09-01,99.359
1974-10-01,98.241
1974-11-01,97.49
1974-12-01,96.415
1975-01-01,95.476
1975-02-01,94.106
1975-03-01,93.081
1975-04-01,93.961
1975-05-01,93.221
1975-06-01,93.172
1975-07-01,95.791
1975-08-01,97.239
1975-09-01,97.933
1975-10-01,97.556
1975-11-01,97.259
1975-12-01,97.801
1976-01-01,97.026
1976-02-01,96.156
1976-03-01,96.536
1976-04-01,96.496
1976-05-01,96.514
1976-06-01,96.657
1976-07-01,96.241
1976-08-01,96.112
1976-09-01,95.07
1976-10-01,95.227
1976-11-01,95.417
1976-12-01,95.723
1977-01-01,94.882
1977-02-01,95.453
1977-03-01,95.312
1977-04-01,94.729
1977-05-01,94.282
1977-06-01,94.079
1977-07-01,92.97
1977-08-01,93.71
1977-09-01,93.585
1977-10-01,92.391
1977-11-01,91.402
1977-12-01,89.654
1978-01-01,89.014
1978-02-01,88.809
1978-03-01,87.919
1978-04-01,87.961
1978-05-01,89.046
1978-06-01,87.607
1978-07-01,85.349
1978-08-01,83.48
1978-09-01,84.286
1978-10-01,82.473
1978-11-01,84.699
1978-12-01,84.956
1979-01-01,85.2
1979-02-01,86.153
1979-03-01,86.323
1979-04-01,87.365
1979-05-01,88.493
1979-06-01,88.603
1979-07-01,86.525
1979-08-01,87.482
1979-09-01,87.57
1979-10-01,89.064
1979-11-01,90.625
1979-12-01,89.362
1980-01-01,88.949
1980-02-01,89.87
1980-03-01,93.491
1980-04-01,94.266
1980-05-01,90.372
1980-06-01,88.36
1980-07-01,87.684
1980-08-01,88.78
1980-09-01,87.947
1980-10-01,88.521
1980-11-01,90.645
1980-12-01,91.805
1981-01-01,91.105
1981-02-01,94.256
1981-03-01,94.434
1981-04-01,96.22
1981-05-01,99.409
1981-06-01,101.563
1981-07-01,104.48
1981-08-01,106.194
1981-09-01,103.55
1981-10-01,102.523
1981-11-01,100.101
1981-12-01,99.715
1982-01-01,101.112
1982-02-01,104.066
1982-03-01,105.221
1982-04-01,106.136
1982-05-01,104.395
1982-06-01,109.939
1982-07-01,111.407
1982-08-01,111.142
1982-09-01,111.374
1982-10-01,113.102
1982-11-01,112.681
1982-12-01,108.097
1983-01-01,106.506
1983-02-01,107.702
1983-03-01,108.295
1983-04-01,109.217
1983-05-01,108.843
1983-06-01,110.644
1983-07-01,111.447
1983-08-01,113.012
1983-09-01,112.661
1983-10-01,110.589
1983-11-01,112.125
1983-12-01,113.526
1984-01-01,114.819
1984-02-01,113.168
1984-03-01,111.2
1984-04-01,112.609
1984-05-01,115.217
1984-06-01,115.999
1984-07-01,119.951
1984-08-01,119.934
1984-09-01,122.825
1984-10-01,123.889
1984-11-01,122.071
1984-12-01,124.42
1985-01-01,126.74
1985-02-01,131.127
1985-03-01,131.551
1985-04-01,126.315
1985-05-01,126.519
1985-06-01,124.975
1985-07-01,120.378
1985-08-01,118.637
1985-09-01,119.891
1985-10-01,113.616
1985-11-01,111.812
1985-12-01,111.063
1986-01-01,109.954
1986-02-01,105.448
1986-03-01,102.689
1986-04-01,101.328
1986-05-01,99.019
1986-06-01,99.944
1986-07-01,97.202
1986-08-01,95.491
1986-09-01,95.551
1986-10-01,95.662
1986-11-01,97.028
1986-12-01,96.206
1987-01-01,92.738
1987-02-01,91.42
1987-03-01,90.659
1987-04-01,88.526
1987-05-01,88.021
1987-06-01,89.61
1987-07-01,91.101
1987-08-01,90.848
1987-09-01,89.046
1987-10-01,88.826
1987-11-01,85.283
1987-12-01,82.62
1988-01-01,82.871
1988-02-01,83.725
1988-03-01,82.304
1988-04-01,81.661
1988-05-01,82.029
1988-06-01,83.676
1988-07-01,86.369
1988-08-01,87.58
1988-09-01,87.72
1988-10-01,85.159
1988-11-01,82.911
1988-12-01,82.656
1989-01-01,84.753
1989-02-01,85.213
1989-03-01,86.608
1989-04-01,86.957
1989-05-01,89.71
1989-06-01,91.896
1989-07-01,89.255
1989-08-01,89.669
1989-09-01,90.831
1989-10-01,89
1989-11-01,89.007
1989-12-01,87.359
1990-01-01,87.006
1990-02-01,87.061
1990-03-01,88.955
1990-04-01,88.901
1990-05-01,87.536
1990-06-01,87.851
1990-07-01,85.629
1990-08-01,83.697
1990-09-01,82.74
1990-10-01,80.223
1990-11-01,79.54
