DATE,TWEXOMTH
1973-01-01,2.1287
1973-02-01,2.0559
1973-03-01,2.017
1973-04-01,2.0113
1973-05-01,2.0072
1973-06-01,1.9985
1973-07-01,1.9979
1973-08-01,1.9987
1973-09-01,2.0077
1973-10-01,2.007
1973-11-01,2.0779
1973-12-01,2.0797
1974-01-01,2.1027
1974-02-01,2.1033
1974-03-01,2.1061
1974-04-01,2.1086
1974-05-01,2.114
1974-06-01,2.1227
1974-07-01,2.1376
1974-08-01,2.1461
1974-09-01,2.155
1974-10-01,2.1696
1974-11-01,2.1778
1974-12-01,2.2288
1975-01-01,2.2533
1975-02-01,2.2547
1975-03-01,2.2707
1975-04-01,2.3031
1975-05-01,2.3276
1975-06-01,2.3577
1975-07-01,2.4067
1975-08-01,2.452
1975-09-01,2.4852
1975-10-01,2.5115
1975-11-01,2.5299
1975-12-01,2.5484
1976-01-01,2.5608
1976-02-01,2.5778
1976-03-01,2.6007
1976-04-01,2.6231
1976-05-01,2.6426
1976-06-01,2.6572
1976-07-01,2.6561
1976-08-01,2.6597
1976-09-01,2.8153
1976-10-01,2.8525
1976-11-01,2.9272
1976-12-01,2.8865
1977-01-01,2.9194
1977-02-01,2.9635
1977-03-01,2.9764
1977-04-01,2.9883
1977-05-01,3.0031
1977-06-01,3.0188
1977-07-01,3.0301
1977-08-01,3.0429
1977-09-01,3.0613
1977-10-01,3.0718
1977-11-01,3.1084
1977-12-01,3.1078
1978-01-01,3.123
1978-02-01,3.1329
1978-03-01,3.1462
1978-04-01,3.1644
1978-05-01,3.1836
1978-06-01,3.1922
1978-07-01,3.1817
1978-08-01,3.1724
1978-09-01,3.1815
1978-10-01,3.1769
1978-11-01,3.2262
1978-12-01,3.2634
1979-01-01,3.2733
1979-02-01,3.2899
1979-03-01,3.3199
1979-04-01,3.3637
1979-05-01,3.3864
1979-06-01,3.4033
1979-07-01,3.4108
1979-08-01,3.4284
1979-09-01,3.4473
1979-10-01,3.474
1979-11-01,3.5132
1979-12-01,3.5494
1980-01-01,3.615
