DATE,TWEXOPA
1973-01-01,105.753
1973-02-01,101.783
1973-03-01,100
1973-04-01,99.453
1973-05-01,98.452
1973-06-01,97.042
1973-07-01,94.518
1973-08-01,94.707
1973-09-01,93.09
1973-10-01,94.976
1973-11-01,95.321
1973-12-01,94.519
1974-01-01,92.041
1974-02-01,89.703
1974-03-01,89.235
1974-04-01,88.458
1974-05-01,88.756
1974-06-01,88.831
1974-07-01,88.283
1974-08-01,88.529
1974-09-01,88.695
1974-10-01,88.691
1974-11-01,88.564
1974-12-01,89.573
1975-01-01,90.269
1975-02-01,89.292
1975-03-01,89.886
1975-04-01,89.478
1975-05-01,89.03
1975-06-01,90.093
1975-07-01,91.474
1975-08-01,91.674
1975-09-01,92.237
1975-10-01,92.283
1975-11-01,92.506
1975-12-01,92.288
1976-01-01,91.4
1976-02-01,90.336
1976-03-01,89.086
1976-04-01,88.682
1976-05-01,88.481
1976-06-01,88.195
1976-07-01,87.664
1976-08-01,87.194
1976-09-01,91.728
1976-10-01,91.49
1976-11-01,92.694
1976-12-01,91.175
1977-01-01,90.72
1977-02-01,91.205
1977-03-01,91.191
1977-04-01,91.336
1977-05-01,91.3
1977-06-01,90.927
1977-07-01,90.498
1977-08-01,89.501
1977-09-01,89.263
1977-10-01,89.155
1977-11-01,89.838
1977-12-01,89.662
1978-01-01,89.031
1978-02-01,88.87
1978-03-01,89.288
1978-04-01,89.475
1978-05-01,90.195
1978-06-01,90.239
1978-07-01,89.391
1978-08-01,88.355
1978-09-01,88.206
1978-10-01,87.612
1978-11-01,88.557
1978-12-01,89.318
1979-01-01,88.734
1979-02-01,88.981
1979-03-01,89.247
1979-04-01,89.649
1979-05-01,90.166
1979-06-01,90.543
1979-07-01,89.991
1979-08-01,89.185
1979-09-01,88.788
1979-10-01,88.782
1979-11-01,89.091
1979-12-01,90.011
1980-01-01,88.616
1980-02-01,88.884
1980-03-01,89.658
1980-04-01,90.016
1980-05-01,89.172
1980-06-01,89.101
1980-07-01,88.01
1980-08-01,87.872
1980-09-01,87.727
1980-10-01,87.011
1980-11-01,87.425
1980-12-01,87.662
1981-01-01,86.649
1981-02-01,87.298
1981-03-01,87.425
1981-04-01,88.388
1981-05-01,89.308
1981-06-01,90.882
1981-07-01,91.429
1981-08-01,92.48
1981-09-01,91.73
1981-10-01,91.68
1981-11-01,91.536
1981-12-01,91.515
1982-01-01,91.691
1982-02-01,94.087
1982-03-01,98.77
1982-04-01,98.142
1982-05-01,98.12
1982-06-01,99.923
1982-07-01,101.659
1982-08-01,107.809
1982-09-01,108.487
1982-10-01,105.522
1982-11-01,103.791
1982-12-01,104.344
1983-01-01,105.316
1983-02-01,105.563
1983-03-01,106.311
1983-04-01,108.586
1983-05-01,109.668
1983-06-01,110.173
1983-07-01,110.699
1983-08-01,112.125
1983-09-01,113.117
1983-10-01,114.111
1983-11-01,113.821
1983-12-01,114.152
1984-01-01,113.942
1984-02-01,114.197
1984-03-01,115.456
1984-04-01,114.996
1984-05-01,115.382
1984-06-01,115.964
1984-07-01,116.946
1984-08-01,117.694
1984-09-01,119.218
1984-10-01,120.573
1984-11-01,120.183
1984-12-01,120.884
1985-01-01,119.956
1985-02-01,120.92
1985-03-01,121.557
1985-04-01,121.805
1985-05-01,123.304
1985-06-01,123.962
1985-07-01,124.739
1985-08-01,127.489
1985-09-01,127.53
1985-10-01,127.699
1985-11-01,128.221
1985-12-01,128.363
1986-01-01,128.09
1986-02-01,128.345
1986-03-01,128.246
1986-04-01,127.896
1986-05-01,128.152
1986-06-01,128.727
1986-07-01,130.101
1986-08-01,129.837
1986-09-01,130.31
1986-10-01,130.635
1986-11-01,130.381
1986-12-01,131.187
