DATE,USPHCI
1979-01-01,46.7
1979-02-01,46.84
1979-03-01,47.09
1979-04-01,47.16
1979-05-01,47.38
1979-06-01,47.52
1979-07-01,47.64
1979-08-01,47.7
1979-09-01,47.8
1979-10-01,47.89
1979-11-01,48.01
1979-12-01,48.07
1980-01-01,48.12
1980-02-01,48.22
1980-03-01,48.31
1980-04-01,48.22
1980-05-01,48.07
1980-06-01,47.99
1980-07-01,47.9
1980-08-01,47.99
1980-09-01,48.09
1980-10-01,48.21
1980-11-01,48.34
1980-12-01,48.53
1981-01-01,48.57
1981-02-01,48.71
1981-03-01,48.8
1981-04-01,48.93
1981-05-01,48.94
1981-06-01,49.08
1981-07-01,49.23
1981-08-01,49.24
1981-09-01,49.25
1981-10-01,49.21
1981-11-01,49.14
1981-12-01,49.08
1982-01-01,49.01
1982-02-01,48.98
1982-03-01,48.96
1982-04-01,48.86
1982-05-01,48.87
1982-06-01,48.79
1982-07-01,48.69
1982-08-01,48.69
1982-09-01,48.59
1982-10-01,48.49
1982-11-01,48.4
1982-12-01,48.44
1983-01-01,48.59
1983-02-01,48.62
1983-03-01,48.74
1983-04-01,48.9
1983-05-01,49.06
1983-06-01,49.26
1983-07-01,49.6
1983-08-01,49.58
1983-09-01,50.04
1983-10-01,50.3
1983-11-01,50.58
1983-12-01,50.84
1984-01-01,51.13
1984-02-01,51.43
1984-03-01,51.64
1984-04-01,51.88
1984-05-01,52.15
1984-06-01,52.42
1984-07-01,52.56
1984-08-01,52.77
1984-09-01,53.02
1984-10-01,53.19
1984-11-01,53.45
1984-12-01,53.58
1985-01-01,53.77
1985-02-01,53.94
1985-03-01,54.14
1985-04-01,54.28
1985-05-01,54.49
1985-06-01,54.59
1985-07-01,54.76
1985-08-01,54.97
1985-09-01,55.13
1985-10-01,55.29
1985-11-01,55.47
1985-12-01,55.62
1986-01-01,55.83
1986-02-01,55.84
1986-03-01,55.99
1986-04-01,56.15
1986-05-01,56.26
1986-06-01,56.34
1986-07-01,56.56
1986-08-01,56.7
1986-09-01,56.88
1986-10-01,57.04
1986-11-01,57.21
1986-12-01,57.44
1987-01-01,57.58
1987-02-01,57.76
1987-03-01,57.94
1987-04-01,58.21
1987-05-01,58.38
1987-06-01,58.57
1987-07-01,58.79
1987-08-01,58.97
1987-09-01,59.17
1987-10-01,59.39
1987-11-01,59.63
1987-12-01,59.86
1988-01-01,60.02
1988-02-01,60.27
1988-03-01,60.48
1988-04-01,60.73
1988-05-01,60.88
1988-06-01,61.16
1988-07-01,61.34
1988-08-01,61.46
1988-09-01,61.71
1988-10-01,61.9
1988-11-01,62.15
1988-12-01,62.36
1989-01-01,62.53
1989-02-01,62.79
1989-03-01,63
1989-04-01,63.11
1989-05-01,63.27
1989-06-01,63.37
1989-07-01,63.5
1989-08-01,63.61
1989-09-01,63.74
1989-10-01,63.87
1989-11-01,64.02
1989-12-01,64.16
1990-01-01,64.36
1990-02-01,64.56
1990-03-01,64.75
1990-04-01,64.83
1990-05-01,64.98
1990-06-01,65.14
1990-07-01,65.16
1990-08-01,65.15
1990-09-01,65.14
1990-10-01,65.17
1990-11-01,65.12
1990-12-01,65.11
1991-01-01,65.1
1991-02-01,65.01
1991-03-01,64.95
1991-04-01,64.94
1991-05-01,64.9
1991-06-01,64.96
1991-07-01,65.04
1991-08-01,65.08
1991-09-01,65.15
1991-10-01,65.22
1991-11-01,65.27
1991-12-01,65.27
1992-01-01,65.38
1992-02-01,65.4
1992-03-01,65.51
1992-04-01,65.65
1992-05-01,65.72
1992-06-01,65.81
1992-07-01,65.95
1992-08-01,66.11
1992-09-01,66.21
1992-10-01,66.43
1992-11-01,66.52
1992-12-01,66.73
1993-01-01,66.96
1993-02-01,67.22
1993-03-01,67.34
1993-04-01,67.52
1993-05-01,67.71
1993-06-01,67.91
1993-07-01,68.14
1993-08-01,68.33
1993-09-01,68.56
1993-10-01,68.71
1993-11-01,68.98
1993-12-01,69.25
1994-01-01,69.43
1994-02-01,69.65
1994-03-01,69.92
1994-04-01,70.17
1994-05-01,70.48
1994-06-01,70.73
1994-07-01,70.99
1994-08-01,71.27
1994-09-01,71.54
1994-10-01,71.77
1994-11-01,72.09
1994-12-01,72.35
1995-01-01,72.57
1995-02-01,72.83
1995-03-01,73.04
1995-04-01,73.11
1995-05-01,73.31
1995-06-01,73.48
1995-07-01,73.6
1995-08-01,73.79
1995-09-01,74.03
1995-10-01,74.21
1995-11-01,74.35
1995-12-01,74.54
1996-01-01,74.63
1996-02-01,74.91
1996-03-01,75.11
1996-04-01,75.26
1996-05-01,75.5
1996-06-01,75.82
1996-07-01,75.98
1996-08-01,76.3
1996-09-01,76.47
1996-10-01,76.7
1996-11-01,76.87
1996-12-01,77.07
1997-01-01,77.33
1997-02-01,77.58
1997-03-01,77.83
1997-04-01,78.11
1997-05-01,78.41
1997-06-01,78.62
1997-07-01,78.9
1997-08-01,79.06
1997-09-01,79.34
1997-10-01,79.68
1997-11-01,79.94
1997-12-01,80.19
1998-01-01,80.49
1998-02-01,80.71
1998-03-01,80.9
1998-04-01,81.27
1998-05-01,81.5
1998-06-01,81.73
1998-07-01,81.93
1998-08-01,82.19
1998-09-01,82.39
1998-10-01,82.65
1998-11-01,82.92
1998-12-01,83.19
1999-01-01,83.43
1999-02-01,83.68
1999-03-01,83.96
1999-04-01,84.19
1999-05-01,84.47
1999-06-01,84.67
1999-07-01,84.93
1999-08-01,85.17
1999-09-01,85.4
1999-10-01,85.71
1999-11-01,85.95
1999-12-01,86.27
2000-01-01,86.47
2000-02-01,86.68
2000-03-01,87.07
2000-04-01,87.41
2000-05-01,87.59
2000-06-01,87.73
2000-07-01,87.93
2000-08-01,88.06
2000-09-01,88.29
2000-10-01,88.41
2000-11-01,88.62
2000-12-01,88.77
2001-01-01,88.79
2001-02-01,88.92
2001-03-01,88.99
2001-04-01,88.98
2001-05-01,89.1
2001-06-01,89.06
2001-07-01,89.07
2001-08-01,89
2001-09-01,88.96
2001-10-01,88.81
2001-11-01,88.71
2001-12-01,88.64
2002-01-01,88.67
2002-02-01,88.67
2002-03-01,88.73
2002-04-01,88.71
2002-05-01,88.84
2002-06-01,88.93
2002-07-01,89.02
2002-08-01,89.13
2002-09-01,89.18
2002-10-01,89.31
2002-11-01,89.34
2002-12-01,89.33
2003-01-01,89.55
2003-02-01,89.53
2003-03-01,89.53
2003-04-01,89.56
2003-05-01,89.6
2003-06-01,89.63
2003-07-01,89.79
2003-08-01,89.92
2003-09-01,90.03
2003-10-01,90.26
2003-11-01,90.45
2003-12-01,90.66
2004-01-01,90.83
2004-02-01,91.03
2004-03-01,91.21
2004-04-01,91.5
2004-05-01,91.73
2004-06-01,91.92
2004-07-01,92.12
2004-08-01,92.33
2004-09-01,92.54
2004-10-01,92.78
2004-11-01,92.98
2004-12-01,93.15
2005-01-01,93.38
2005-02-01,93.55
2005-03-01,93.83
2005-04-01,94.07
2005-05-01,94.32
2005-06-01,94.59
2005-07-01,94.86
2005-08-01,95.11
2005-09-01,95.24
2005-10-01,95.45
2005-11-01,95.71
2005-12-01,95.97
2006-01-01,96.28
2006-02-01,96.52
2006-03-01,96.86
2006-04-01,97.1
2006-05-01,97.33
2006-06-01,97.51
2006-07-01,97.69
2006-08-01,97.91
2006-09-01,98.18
2006-10-01,98.34
2006-11-01,98.52
2006-12-01,98.78
2007-01-01,98.97
2007-02-01,99.2
2007-03-01,99.5
2007-04-01,99.66
2007-05-01,99.92
2007-06-01,100
2007-07-01,100.11
2007-08-01,100.27
2007-09-01,100.38
2007-10-01,100.55
2007-11-01,100.7
2007-12-01,100.75
2008-01-01,100.89
2008-02-01,101.03
2008-03-01,101.02
2008-04-01,101.11
2008-05-01,100.99
2008-06-01,100.93
2008-07-01,100.86
2008-08-01,100.73
2008-09-01,100.62
2008-10-01,100.33
2008-11-01,99.99
2008-12-01,99.6
2009-01-01,99.14
2009-02-01,98.72
2009-03-01,98.2
2009-04-01,97.76
2009-05-01,97.44
2009-06-01,97.2
2009-07-01,97.06
2009-08-01,96.95
2009-09-01,96.78
2009-10-01,96.67
2009-11-01,96.76
2009-12-01,96.71
2010-01-01,96.81
2010-02-01,96.87
2010-03-01,96.96
2010-04-01,97.14
2010-05-01,97.58
2010-06-01,97.74
2010-07-01,97.86
2010-08-01,97.94
2010-09-01,98.07
2010-10-01,98.31
2010-11-01,98.35
2010-12-01,98.73
2011-01-01,98.91
2011-02-01,99.14
2011-03-01,99.37
2011-04-01,99.61
2011-05-01,99.83
2011-06-01,100.03
2011-07-01,100.22
2011-08-01,100.41
2011-09-01,100.64
2011-10-01,100.95
2011-11-01,101.23
2011-12-01,101.44
2012-01-01,101.78
2012-02-01,102.02
2012-03-01,102.37
2012-04-01,102.56
2012-05-01,102.79
2012-06-01,102.97
2012-07-01,103.19
2012-08-01,103.46
2012-09-01,103.78
2012-10-01,103.98
2012-11-01,104.21
2012-12-01,104.4
2013-01-01,104.64
2013-02-01,105.04
2013-03-01,105.31
2013-04-01,105.47
2013-05-01,105.76
2013-06-01,106
2013-07-01,106.3
2013-08-01,106.59
2013-09-01,106.84
2013-10-01,107.08
2013-11-01,107.46
2013-12-01,107.73
2014-01-01,108.01
2014-02-01,108.16
2014-03-01,108.47
2014-04-01,108.94
2014-05-01,109.19
2014-06-01,109.58
2014-07-01,109.8
2014-08-01,110.08
2014-09-01,110.5
2014-10-01,110.88
2014-11-01,111.12
2014-12-01,111.55
2015-01-01,111.79
2015-02-01,112.2
2015-03-01,112.43
2015-04-01,112.8
2015-05-01,113.07
2015-06-01,113.44
2015-07-01,113.76
2015-08-01,114.04
2015-09-01,114.32
2015-10-01,114.63
2015-11-01,114.91
2015-12-01,115.23
2016-01-01,115.52
2016-02-01,115.84
2016-03-01,116.04
2016-04-01,116.29
2016-05-01,116.63
2016-06-01,116.83
2016-07-01,117.13
2016-08-01,117.42
2016-09-01,117.67
2016-10-01,117.97
2016-11-01,118.38
2016-12-01,118.52
2017-01-01,118.73
2017-02-01,119.04
