DATE,VALEXPCAM052N
1957-01-01,416363069
1957-02-01,358969008
1957-03-01,382805146.3
1957-04-01,385537147.4
1957-05-01,462536626.7
1957-06-01,410197230.8
1957-07-01,466926070.5
1957-08-01,456751055.3
1957-09-01,436822352.4
1957-10-01,416709858.4
1957-11-01,446799668
1957-12-01,459382034.4
1958-01-01,391997563.1
1958-02-01,329255861.7
1958-03-01,382686995.2
1958-04-01,386358953.6
1958-05-01,498500362.5
1958-06-01,442919526.3
1958-07-01,436458333.8
1958-08-01,429193448.5
1958-09-01,404381654.8
1958-10-01,466673535
1958-11-01,418258804.5
1958-12-01,464441219.6
1959-01-01,359913124.8
1959-02-01,331316032.8
1959-03-01,392864508.6
1959-04-01,418266736.3
1959-05-01,448644719.5
1959-06-01,538172716.5
1959-07-01,449133069.2
1959-08-01,429589271.2
1959-09-01,476040353.6
1959-10-01,493827161
1959-11-01,522992739.7
1959-12-01,508830950.9
1960-01-01,441716504.5
1960-02-01,451823054
1960-03-01,461667894.1
1960-04-01,381140305.7
1960-05-01,496881709.9
1960-06-01,465187296.4
1960-07-01,475265740.5
1960-08-01,494947412.3
1960-09-01,459640103.3
1960-10-01,492590700.6
1960-11-01,487355380.9
1960-12-01,448900651.9
1961-01-01,461275053.3
1961-02-01,371867421.6
1961-03-01,445659880.9
1961-04-01,455051067.3
1961-05-01,466835443.5
1961-06-01,505221283.4
1961-07-01,512522966.8
1961-08-01,506059137.7
1961-09-01,514163756.8
1961-10-01,543531010.9
1961-11-01,525248624.6
1961-12-01,510213868.3
1962-01-01,481339713.4
1962-02-01,402364607.2
1962-03-01,448827901.7
1962-04-01,439131263.5
1962-05-01,568286823.1
1962-06-01,498207556.3
1962-07-01,519974048.1
1962-08-01,515033407.6
1962-09-01,456909361.5
1962-10-01,574349442.4
1962-11-01,559063893.5
1962-12-01,470260223
1963-01-01,507845140.2
1963-02-01,406458797.3
1963-03-01,465677180.4
1963-04-01,490341753.8
1963-05-01,618269588.4
1963-06-01,512891856.8
1963-07-01,562193201.8
1963-08-01,515283036.8
1963-09-01,557510650.6
1963-10-01,593747100.8
1963-11-01,636599851.5
1963-12-01,605948300.4
1964-01-01,586928347.1
1964-02-01,509259259.3
1964-03-01,555298473.4
1964-04-01,619853825.5
1964-05-01,633731150
1964-06-01,736423350.9
1964-07-01,728752428.3
1964-08-01,642439974.6
1964-09-01,689526996.3
1964-10-01,640751418.8
1964-11-01,674178228.9
1964-12-01,681183696.9
1965-01-01,546656733.6
1965-02-01,517754229.9
1965-03-01,653038572.4
1965-04-01,616197183.7
1965-05-01,709587772.8
1965-06-01,680957221.4
1965-07-01,729118597.8
1965-08-01,652818991.7
1965-09-01,667967299
1965-10-01,735745512
1965-11-01,860545167.8
1965-12-01,761293921.5
1966-01-01,690489485.1
1966-02-01,642943417.3
1966-03-01,746143840.1
1966-04-01,718662953.3
1966-05-01,866536640.5
1966-06-01,810032513.5
1966-07-01,794566431
1966-08-01,878988001.1
1966-09-01,844638543.8
1966-10-01,834800334.3
1966-11-01,903881701.4
1966-12-01,869725787.1
1967-01-01,881889764.6
1967-02-01,767166389
1967-03-01,789279113.5
1967-04-01,834257207
1967-05-01,988818039.9
1967-06-01,960755276.7
1967-07-01,895342364.9
1967-08-01,842163971.8
1967-09-01,798846834.2
1967-10-01,909345010.7
1967-11-01,974793042.5
1967-12-01,944269580.6
1968-01-01,894256477.3
1968-02-01,938103560.1
1968-03-01,962300672.9
1968-04-01,1033237664
1968-05-01,1178216903
1968-06-01,1054977713
1968-07-01,1057190760
1968-08-01,958418796.3
1968-09-01,1107176142
1968-10-01,1208166309
1968-11-01,1143522833
1968-12-01,1165781382
1969-01-01,1059942202
1969-02-01,1029411766
1969-03-01,1115445343
1969-04-01,1114105186
1969-05-01,1254410400
1969-06-01,1205187588
1969-07-01,1118822876
1969-08-01,956312031.3
1969-09-01,1198293452
1969-10-01,1255218480
1969-11-01,1185164530
1969-12-01,1319121206
1970-01-01,1251864282
1970-02-01,1166713262
1970-03-01,1246387620
1970-04-01,1364653245
1970-05-01,1383801385
1970-06-01,1459938368
1970-07-01,1429263567
1970-08-01,1183669474
1970-09-01,1346589233
1970-10-01,1419620131
1970-11-01,1500000000
1970-12-01,1357381562
1971-01-01,1283115857
1971-02-01,1245657569
1971-03-01,1516446389
1971-04-01,1418221518
1971-05-01,1547536435
1971-06-01,1607912260
1971-07-01,1411223192
1971-08-01,1412217509
1971-09-01,1461151150
1971-10-01,1540223020
1971-11-01,1628972801
1971-12-01,1577261811
1972-01-01,1364946814
1972-02-01,1496964268
1972-03-01,1563501604
1972-04-01,1538770592
1972-05-01,1963183981
1972-06-01,1931794978
1972-07-01,1489988822
1972-08-01,1558745675
1972-09-01,1561705160
1972-10-01,2019132915
1972-11-01,2104886528
1972-12-01,1776863652
1973-01-01,1882694427
1973-02-01,1799095933
1973-03-01,1959662856
1973-04-01,2054767142
1973-05-01,2363818093
1973-06-01,2236802567
1973-07-01,2122273366
1973-08-01,1830045828
1973-09-01,1889693485
1973-10-01,2469777203
1973-11-01,2614136967
1973-12-01,2197318393
1974-01-01,2356263872
1974-02-01,2286270096
1974-03-01,2559670785
1974-04-01,2644474313
1974-05-01,3261615220
1974-06-01,2820778149
1974-07-01,2851142304
1974-08-01,2639314148
1974-09-01,2749670488
1974-10-01,3171922689
1974-11-01,3059157215
1974-12-01,2780082990
1975-01-01,2730197027
1975-02-01,2528735635
1975-03-01,2500249928
1975-04-01,2616951835
1975-05-01,2954965473
1975-06-01,3046570538
1975-07-01,2635102358
1975-08-01,2223510094
1975-09-01,2707074647
1975-10-01,2967804878
1975-11-01,2923941998
1975-12-01,2928585520
1976-01-01,2847774248
1976-02-01,2989835970
1976-03-01,3042199232
1976-04-01,3162819082
1976-05-01,3444897963
1976-06-01,3756162699
1976-07-01,3182472746
1976-08-01,3130011167
1976-09-01,3337435901
1976-10-01,3312769899
1976-11-01,3491934669
1976-12-01,3338568764
1977-01-01,3126916612
1977-02-01,3191944742
1977-03-01,3716106939
1977-04-01,3353629534
1977-05-01,3808297568
1977-06-01,3879905441
1977-07-01,3368520264
1977-08-01,3293329615
1977-09-01,3302897606
1977-10-01,3745904627
1977-11-01,3332131269
1977-12-01,3750455705
1978-01-01,3204976844
1978-02-01,3700143733
1978-03-01,3638059705
1978-04-01,4111772950
1978-05-01,4234516043
1978-06-01,4111091302
1978-07-01,3519786575
1978-08-01,3487678684
1978-09-01,4020406417
1978-10-01,4098249767
1978-11-01,4531889495
1978-12-01,3910131415
1979-01-01,4253656077
1979-02-01,3846089502
1979-03-01,4635829287
1979-04-01,4305155722
1979-05-01,5056247841
1979-06-01,4561119171
1979-07-01,4393157989
1979-08-01,4701008034
1979-09-01,4884140062
1979-10-01,5382455543
1979-11-01,5140725670
1979-12-01,4892270866
1980-01-01,5092361891
1980-02-01,5350346021
1980-03-01,5580939396
1980-04-01,5320512825
1980-05-01,5184553751
1980-06-01,5720364747
1980-07-01,5237433810
1980-08-01,4800276076
1980-09-01,5367508157
1980-10-01,6209580844
1980-11-01,5807757167
1980-12-01,5457052144
1981-01-01,5601746876
1981-02-01,5313646985
1981-03-01,5912525185
1981-04-01,5903594227
1981-05-01,6096261143
1981-06-01,6697674424
1981-07-01,5557573261
1981-08-01,4897792318
1981-09-01,5682518531
1981-10-01,6024276693
1981-11-01,6452753922
1981-12-01,5788541051
1982-01-01,5039416307
1982-02-01,5581548604
1982-03-01,6255326128
1982-04-01,5867080344
1982-05-01,6084771862
1982-06-01,6237747986
1982-07-01,5380738645
1982-08-01,5209220143
1982-09-01,6128614238
1982-10-01,5424018217
1982-11-01,5706246942
1982-12-01,5579066391
1983-01-01,5213285579
1983-02-01,5558543148
1983-03-01,6074049915
1983-04-01,5991722128
1983-05-01,6503092453
