DATE,WILLLRGCAP
1978-07-01,1056.89
1978-08-01,1095.37
1978-09-01,1088.56
1978-10-01,986.28
1978-11-01,1017.18
1978-12-01,1035.2
1979-01-01,1078.64
1979-02-01,1049.45
1979-03-01,1112.43
1979-04-01,1119.66
1979-05-01,1106.39
1979-06-01,1156.59
1979-07-01,1169.9
1979-08-01,1245.29
1979-09-01,1250.23
1979-10-01,1166.78
1979-11-01,1238.86
1979-12-01,1267.74
1980-01-01,1347.91
1980-02-01,1354.36
1980-03-01,1207.58
1980-04-01,1267.35
1980-05-01,1338.18
1980-06-01,1384.76
1980-07-01,1473.82
1980-08-01,1499.92
1980-09-01,1543.55
1980-10-01,1571.5
1980-11-01,1747.61
1980-12-01,1684.92
1981-01-01,1606.49
1981-02-01,1634.44
1981-03-01,1698.22
1981-04-01,1665.02
1981-05-01,1678.02
1981-06-01,1666.96
1981-07-01,1666.73
1981-08-01,1577.29
1981-09-01,1480.92
1981-10-01,1564.49
1981-11-01,1638.58
1981-12-01,1590.57
1982-01-01,1549.23
1982-02-01,1467.48
1982-03-01,1452.35
1982-04-01,1509.69
1982-05-01,1470.21
1982-06-01,1435.06
1982-07-01,1402.25
1982-08-01,1579.61
1982-09-01,1599.94
1982-10-01,1782.31
1982-11-01,1860.49
1982-12-01,1888.49
1983-01-01,1954.62
1983-02-01,2005.4
1983-03-01,2070.42
1983-04-01,2221.89
1983-05-01,2225.22
1983-06-01,2308.53
1983-07-01,2231.08
1983-08-01,2260.62
1983-09-01,2295.3
1983-10-01,2248.36
1983-11-01,2304.26
1983-12-01,2283.73
1984-01-01,2255.91
1984-02-01,2175.58
1984-03-01,2207.01
1984-04-01,2219.84
1984-05-01,2103.96
1984-06-01,2152.88
1984-07-01,2118
1984-08-01,2358.86
1984-09-01,2359.83
1984-10-01,2365.85
1984-11-01,2343.91
1984-12-01,2403.24
1985-01-01,2591.32
1985-02-01,2629.1
1985-03-01,2636.3
1985-04-01,2633.24
1985-05-01,2786.73
1985-06-01,2832.21
1985-07-01,2816.24
1985-08-01,2803.26
1985-09-01,2701.81
1985-10-01,2829.01
1985-11-01,3029.05
1985-12-01,3166.42
1986-01-01,3187.54
1986-02-01,3426.19
1986-03-01,3617.47
1986-04-01,3570.55
1986-05-01,3760.72
1986-06-01,3822.06
1986-07-01,3615.24
1986-08-01,3874.96
1986-09-01,3553.61
1986-10-01,3742.91
1986-11-01,3815.23
1986-12-01,3711.38
1987-01-01,4205.14
1987-02-01,4383.65
1987-03-01,4483.2
1987-04-01,4416.53
1987-05-01,4447.01
1987-06-01,4668.91
1987-07-01,4886.16
1987-08-01,5081.8
1987-09-01,4974.52
1987-10-01,3909.23
1987-11-01,3601.1
1987-12-01,3860.92
1988-01-01,4030.61
1988-02-01,4227.18
1988-03-01,4115.54
1988-04-01,4153.98
1988-05-01,4178.16
1988-06-01,4383.77
1988-07-01,4352.12
1988-08-01,4225.73
1988-09-01,4399.87
1988-10-01,4497.15
1988-11-01,4435.05
1988-12-01,4524.46
1989-01-01,4840.08
1989-02-01,4735.2
1989-03-01,4843.73
1989-04-01,5090.71
1989-05-01,5298.01
1989-06-01,5277.4
1989-07-01,5724.13
1989-08-01,5847.54
1989-09-01,5835.73
1989-10-01,5694.8
1989-11-01,5804.14
1989-12-01,5931.77
1990-01-01,5509.25
1990-02-01,5589.02
1990-03-01,5719.75
1990-04-01,5565.89
1990-05-01,6093.93
1990-06-01,6056.14
1990-07-01,6018.78
1990-08-01,5482.99
1990-09-01,5214.37
1990-10-01,5175.53
1990-11-01,5526.07
1990-12-01,5692.68
1991-01-01,5955.22
1991-02-01,6385.84
1991-03-01,6548.17
1991-04-01,6567.36
1991-05-01,6836.88
1991-06-01,6526.35
1991-07-01,6840.4
1991-08-01,7015.72
1991-09-01,6919.88
1991-10-01,7037.25
1991-11-01,6776.23
1991-12-01,7540.73
1992-01-01,7431.12
1992-02-01,7511.62
1992-03-01,7338.19
1992-04-01,7497.88
1992-05-01,7545.25
1992-06-01,7414.6
1992-07-01,7720.28
1992-08-01,7564.21
1992-09-01,7648.61
1992-10-01,7713.21
1992-11-01,7986.11
1992-12-01,8106.49
1993-01-01,8165.29
1993-02-01,8237.43
1993-03-01,8430.33
1993-04-01,8200.04
1993-05-01,8356.59
1993-06-01,8399.62
1993-07-01,8368.13
1993-08-01,8691.47
1993-09-01,8660.24
1993-10-01,8785.4
1993-11-01,8663.24
1993-12-01,8802.54
1994-01-01,9073.1
1994-02-01,8832.56
1994-03-01,8453.61
1994-04-01,8562.44
1994-05-01,8675.12
1994-06-01,8447.82
1994-07-01,8721.9
1994-08-01,9081.64
1994-09-01,8872.16
1994-10-01,9052.55
1994-11-01,8731.41
1994-12-01,8840.86
1995-01-01,9080.86
1995-02-01,9449.29
1995-03-01,9699.28
1995-04-01,9950.43
1995-05-01,10329.37
1995-06-01,10609.24
1995-07-01,10985.85
1995-08-01,11069.22
1995-09-01,11529.98
1995-10-01,11480.5
1995-11-01,11993.69
1995-12-01,12166.05
1996-01-01,12576.89
1996-02-01,12755.21
1996-03-01,12867.82
1996-04-01,13075.64
1996-05-01,13386.5
1996-06-01,13401.52
1996-07-01,12766.08
1996-08-01,13096.1
1996-09-01,13842.63
1996-10-01,14134.82
1996-11-01,15173.69
1996-12-01,14905.81
1997-01-01,15813.13
1997-02-01,15880.92
1997-03-01,15181.62
1997-04-01,16022.73
1997-05-01,17045.58
1997-06-01,17773.57
1997-07-01,19221.33
1997-08-01,18271.2
1997-09-01,19261.59
1997-10-01,18647.76
1997-11-01,19445.6
1997-12-01,19820.56
1998-01-01,19982.15
1998-02-01,21431.1
1998-03-01,22538.99
1998-04-01,22797.95
1998-05-01,22313.97
1998-06-01,23249.32
1998-07-01,22953.23
1998-08-01,19539.82
1998-09-01,20842.4
1998-10-01,22490.3
1998-11-01,23901.67
1998-12-01,25486.74
1999-01-01,25899.18632
1999-02-01,25837.54789
1999-03-01,26540.72957
1999-04-01,27624.50476
1999-05-01,27579.134
1999-06-01,27307.33091
1999-07-01,28483.22762
1999-08-01,27288.68091
1999-09-01,27195.62762
1999-10-01,26916.08619
1999-11-01,28998.81905
1999-12-01,30125.745
2000-01-01,30242.9965
2000-02-01,29763.257
2000-03-01,31152.55304
2000-04-01,30777.59421
2000-05-01,29787.35318
2000-06-01,30976.63773
2000-07-01,31339.922
2000-08-01,31608.73957
2000-09-01,31488.4825
2000-10-01,29643.73455
2000-11-01,29125.94048
2000-12-01,28069.368
2001-01-01,28107.71429
2001-02-01,27404.01789
2001-03-01,24773.67955
2001-04-01,24841.3615
2001-05-01,26609.45136
2001-06-01,25979.67857
2001-07-01,25277.48286
2001-08-01,24698.80435
2001-09-01,21889.98533
2001-10-01,22565.03913
2001-11-01,23673.85095
2001-12-01,24089.55
2002-01-01,24066.98762
2002-02-01,23316.21421
2002-03-01,24480.8295
2002-04-01,23686.91955
2002-05-01,23084.60682
2002-06-01,21740.5285
2002-07-01,19407.53091
2002-08-01,19666.99818
2002-09-01,18768.5425
2002-10-01,18481.55261
2002-11-01,19667.1895
2002-12-01,19490.53905
2003-01-01,19439.78619
2003-02-01,18234.56842
2003-03-01,18480.34571
2003-04-01,19428.92
2003-05-01,20472.52667
2003-06-01,21645.85286
2003-07-01,21809.09636
2003-08-01,21796.3019
2003-09-01,22490.89857
2003-10-01,22968.01217
2003-11-01,23285.30684
2003-12-01,23955.55273
2004-01-01,25101.5225
2004-02-01,25396.21632
2004-03-01,25045.89261
2004-04-01,25275.08619
2004-05-01,24612.1765
2004-06-01,25309.7581
2004-07-01,24755.95524
2004-08-01,24390.57136
2004-09-01,25112.59095
2004-10-01,25186.13381
2004-11-01,26368.49333
2004-12-01,27155.35545
2005-01-01,26802.547
2005-02-01,27291.41474
2005-03-01,27268.74273
2005-04-01,26646.66429
2005-05-01,27044.89905
2005-06-01,27718.53318
2005-07-01,28275.458
2005-08-01,28373.31043
2005-09-01,28482.29905
2005-10-01,27738.59762
2005-11-01,28885.5081
2005-12-01,29526.02143
2006-01-01,30007.334
2006-02-01,29963.86684
2006-03-01,30396.09652
2006-04-01,30673.77316
2006-05-01,30422.85227
2006-06-01,29575.84182
2006-07-01,29766.2565
2006-08-01,30414.41087
2006-09-01,31176.6565
2006-10-01,32298.44455
2006-11-01,33003.2119
2006-12-01,33759.6945
2007-01-01,34023.104
2007-02-01,34636.58474
2007-03-01,33809.26773
2007-04-01,35203.7555
2007-05-01,36353.31045
2007-06-01,36519.4381
2007-07-01,36738.85667
2007-08-01,35171.72087
2007-09-01,36291.68895
2007-10-01,37444.55826
2007-11-01,35718.71286
2007-12-01,36204.2545
2008-01-01,33774.63667
2008-02-01,33325.008
2008-03-01,32407.2845
2008-04-01,33817.72045
2008-05-01,34759.83952
2008-06-01,33481.32762
2008-07-01,31389.95182
2008-08-01,31982.17333
