DATE,XTIMVA01CAM664N
1960-01-01,399500000
1960-02-01,452900000
1960-03-01,473900000
1960-04-01,476900000
1960-05-01,516000000
1960-06-01,486600000
1960-07-01,423800000
1960-08-01,444500000
1960-09-01,427500000
1960-10-01,447400000
1960-11-01,513400000
1960-12-01,428800000
1961-01-01,429500000
1961-02-01,393500000
1961-03-01,458400000
1961-04-01,437300000
1961-05-01,548300000
1961-06-01,495100000
1961-07-01,459100000
1961-08-01,489700000
1961-09-01,463000000
1961-10-01,553600000
1961-11-01,567700000
1961-12-01,473400000
1962-01-01,492200000
1962-02-01,447600000
1962-03-01,530100000
1962-04-01,497800000
1962-05-01,650200000
1962-06-01,529200000
1962-07-01,559000000
1962-08-01,521400000
1962-09-01,468900000
1962-10-01,568700000
1962-11-01,555300000
1962-12-01,437400000
1963-01-01,504700000
1963-02-01,431200000
1963-03-01,478200000
1963-04-01,554500000
1963-05-01,609100000
1963-06-01,532900000
1963-07-01,585200000
1963-08-01,524900000
1963-09-01,542700000
1963-10-01,620100000
1963-11-01,618200000
1963-12-01,556400000
1964-01-01,566000000
1964-02-01,512600000
1964-03-01,576000000
1964-04-01,703500000
1964-05-01,657700000
1964-06-01,686000000
1964-07-01,637600000
1964-08-01,566200000
1964-09-01,616300000
1964-10-01,636700000
1964-11-01,673200000
1964-12-01,656000000
1965-01-01,559500000
1965-02-01,551000000
1965-03-01,729900000
1965-04-01,698200000
1965-05-01,736900000
1965-06-01,794700000
1965-07-01,732200000
1965-08-01,660500000
1965-09-01,724700000
1965-10-01,763500000
1965-11-01,895400000
1965-12-01,786700000
1966-01-01,706600000
1966-02-01,667700000
1966-03-01,830400000
1966-04-01,822300000
1966-05-01,938400000
1966-06-01,900500000
1966-07-01,792900000
1966-08-01,818100000
1966-09-01,825700000
1966-10-01,936200000
1966-11-01,961000000
1966-12-01,872100000
1967-01-01,873700000
1967-02-01,766500000
1967-03-01,851900000
1967-04-01,944600000
1967-05-01,1053900000
1967-06-01,977400000
1967-07-01,915900000
1967-08-01,841700000
1967-09-01,868200000
1967-10-01,924700000
1967-11-01,974000000
1967-12-01,880300000
1968-01-01,942900000
1968-02-01,964689000
1968-03-01,902354000
1968-04-01,1089284000
1968-05-01,1127164000
1968-06-01,984495000
1968-07-01,977831000
1968-08-01,876255000
1968-09-01,1031844000
1968-10-01,1212288000
1968-11-01,1161560000
1968-12-01,1089524000
1969-01-01,1115380000
