"Consumer Price Index, by province (monthly) (Canada)",,,,,
,,,,,

,December 2016,November 2017,December 2017,November 2017 to December 2017,December 2016 to December 2017,
,2002=100,,,% change,,
Canada,,,,,,
All-items,128.4,131.3,130.8,-0.4,1.9,
Food,140.6,142.9,143.4,0.3,2.0,
Shelter,137.3,138.9,139.2,0.2,1.4,
Household operations and furnishings,121.3,122.7,120.9,-1.5,-0.3,
Clothing and footwear,91.9,95.3,92.4,-3.0,0.5,
Transportation,129.4,135.7,135.7,0.0,4.9,
Health and personal care,122.6,124.2,124.4,0.2,1.5,
"Recreation, education and reading",110.2,113.0,111.2,-1.6,0.9,
Alcoholic beverages and tobacco products,157.8,162.5,162.2,-0.2,2.8,
Special aggregates,,,,,,
All items excluding food,126.0,129.1,128.4,-0.5,1.9,
All items excluding energy,126.6,129.2,128.7,-0.4,1.7,
Energy,149.1,157.9,155.8,-1.3,4.5,
"Source: Statistics Canada, CANSIM, table 326-0020 and Catalogue nos. 62-001-X and 62-010-X. Last modified: 2018-01-26.",,,,,, 
