"Consumer Price Index, historical summary (1998 to 2017)",,
,,

,All-items,Change from previous year,
,2002=100,%,
1998,91.3,1.0,
1999,92.9,1.8,
2000,95.4,2.7,
2001,97.8,2.5,
2002,100.0,2.2,
2003,102.8,2.8,
2004,104.7,1.8,
2005,107.0,2.2,
2006,109.1,2.0,
2007,111.5,2.2,
2008,114.1,2.3,
2009,114.4,0.3,
2010,116.5,1.8,
2011,119.9,2.9,
2012,121.7,1.5,
2013,122.8,0.9,
2014,125.2,2.0,
2015,126.6,1.1,
2016,128.4,1.4,
2017,130.4,1.6,
"Note: Annual average indexes are obtained by averaging the indexes for the 12 months of the calendar year. Source: Statistics Canada, CANSIM, table 326-0021 and Catalogue nos. 62-001-X, 62-010-X and 62-557-X. Last modified: 2018-01-26.",,, 
