"Consumer Price Index, historical summary (1917 to 1937)",,
,,

,All-items,Change from previous year,
,2002=100,%,
1917,7.9,17.9,
1918,8.9,12.7,
1919,9.8,10.1,
1920,11.4,16.3,
1921,10.0,-12.3,
1922,9.2,-8.0,
1923,9.2,0.0,
1924,9.0,-2.2,
1925,9.1,1.1,
1926,9.2,1.1,
1927,9.1,-1.1,
1928,9.1,0.0,
1929,9.2,1.1,
1930,9.1,-1.1,
1931,8.2,-9.9,
1932,7.5,-8.5,
1933,7.1,-5.3,
1934,7.2,1.4,
1935,7.3,1.4,
1936,7.4,1.4,
1937,7.7,4.1,
"Note: Annual average indexes are obtained by averaging the indexes for the 12 months of the calendar year. Source: Statistics Canada, CANSIM, table 326-0021 and Catalogue nos. 62-001-X, 62-010-X and 62-557-X. Last modified: 2018-01-26.",,, 
